"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"0","0","0","0"
"1","0.0105","0.0105","0.0105"
"2","0.0685","0.0685","0.0685"
"3","0.05","0.05","0.05"
"4","0.05","0.05","0.05"
"5","0.0505","0.0505","0.0505"
"6","0.0835","0.0835","0.0835"
"7","0.089","0.089","0.089"
"8","0.1115","0.1115","0.1115"
"9","0.137","0.137","0.137"
"10","0.1525","0.1525","0.1525"
"11","0.1505","0.1505","0.1505"
"12","0.156","0.156","0.156"
"13","0.1395","0.1395","0.1395"
"14","0.145","0.145","0.145"
"15","0.1685","0.1685","0.1685"
"16","0.169","0.169","0.169"
"17","0.1645","0.1645","0.1645"
"18","0.158","0.158","0.158"
"19","0.1605","0.1605","0.1605"
"20","0.1575","0.1575","0.1575"
"21","0.163","0.163","0.163"
"22","0.151","0.151","0.151"
"23","0.16","0.16","0.16"
"24","0.15","0.15","0.15"
"25","0","0","0"
"26","0","0","0"
"27","0","0","0"
"28","0","0","0"
"29","0.0255","0.0255","0.0255"
"30","0.063","0.063","0.063"
"31","0.0755","0.0755","0.0755"
"32","0.0905","0.0905","0.0905"
"33","0.092","0.092","0.092"
"34","0.1065","0.1065","0.1065"
"35","0.101","0.101","0.101"
"36","0.107","0.107","0.107"
"37","0.1055","0.1055","0.1055"
"38","0.109","0.109","0.109"
"39","0.1125","0.1125","0.1125"
"40","0.1145","0.1145","0.1145"
"41","0.113","0.113","0.113"
"42","0.117","0.117","0.117"
"43","0.1165","0.1165","0.1165"
"44","0.1185","0.1185","0.1185"
"45","0.1175","0.1175","0.1175"
"46","0.122","0.122","0.122"
"47","0.127","0.127","0.127"
"48","0.117","0.117","0.117"
"49","0.125","0.125","0.125"
"50","0","0","0"
"51","0","0","0"
"52","0","0","0"
"53","0.03","0.03","0.03"
"54","0.0515","0.0515","0.0515"
"55","0.072","0.072","0.072"
"56","0.079","0.079","0.079"
"57","0.101","0.101","0.101"
"58","0.1065","0.1065","0.1065"
"59","0.1195","0.1195","0.1195"
"60","0.121","0.121","0.121"
"61","0.1315","0.1315","0.1315"
"62","0.1315","0.1315","0.1315"
"63","0.1375","0.1375","0.1375"
"64","0.1415","0.1415","0.1415"
"65","0.136","0.136","0.136"
"66","0.1395","0.1395","0.1395"
"67","0.146","0.146","0.146"
"68","0.15","0.15","0.15"
"69","0.149","0.149","0.149"
"70","0.146","0.146","0.146"
"71","0.143","0.143","0.143"
"72","0.1555","0.1555","0.1555"
"73","0.158","0.158","0.158"
"74","0.158","0.158","0.158"
"75","0","0","0"
"76","0","0","0"
"77","0.009","0.009","0.009"
"78","0.116","0.116","0.116"
"79","0.1165","0.1165","0.1165"
"80","0.122","0.122","0.122"
"81","0.1305","0.1305","0.1305"
"82","0.145","0.145","0.145"
"83","0.163","0.163","0.163"
"84","0.165","0.165","0.165"
"85","0.166","0.166","0.166"
"86","0.165","0.165","0.165"
"87","0.1735","0.1735","0.1735"
"88","0.173","0.173","0.173"
"89","0.1705","0.1705","0.1705"
"90","0.1755","0.1755","0.1755"
"91","0.182","0.182","0.182"
"92","0.1875","0.1875","0.1875"
"93","0.183","0.183","0.183"
"94","0.191","0.191","0.191"
"95","0.185","0.185","0.185"
"96","0.1865","0.1865","0.1865"
"97","0.193","0.193","0.193"
"98","0.188","0.188","0.188"
"99","0.204","0.204","0.204"
"100","0","0","0"
"101","0.026","0.026","0.026"
"102","0.0355","0.0355","0.0355"
"103","0.0535","0.0535","0.0535"
"104","0.085","0.085","0.085"
"105","0.1005","0.1005","0.1005"
"106","0.124","0.124","0.124"
"107","0.1385","0.1385","0.1385"
"108","0.1545","0.1545","0.1545"
"109","0.1585","0.1585","0.1585"
"110","0.16","0.16","0.16"
"111","0.1535","0.1535","0.1535"
"112","0.1575","0.1575","0.1575"
"113","0.1585","0.1585","0.1585"
"114","0.1635","0.1635","0.1635"
"115","0.163","0.163","0.163"
"116","0.1685","0.1685","0.1685"
"117","0.1655","0.1655","0.1655"
"118","0.1645","0.1645","0.1645"
"119","0.1625","0.1625","0.1625"
"120","0.1695","0.1695","0.1695"
"121","0.1725","0.1725","0.1725"
"122","0.1725","0.1725","0.1725"
"123","0.1665","0.1665","0.1665"
"124","0.173","0.173","0.173"
"125","0","0","0"
"126","0","0","0"
"127","0.001","0.001","0.001"
"128","0.042","0.042","0.042"
"129","0.08","0.08","0.08"
"130","0.0845","0.0845","0.0845"
"131","0.09","0.09","0.09"
"132","0.0895","0.0895","0.0895"
"133","0.1","0.1","0.1"
"134","0.118","0.118","0.118"
"135","0.137","0.137","0.137"
"136","0.1395","0.1395","0.1395"
"137","0.1405","0.1405","0.1405"
"138","0.144","0.144","0.144"
"139","0.1505","0.1505","0.1505"
"140","0.1595","0.1595","0.1595"
"141","0.1635","0.1635","0.1635"
"142","0.1725","0.1725","0.1725"
"143","0.178","0.178","0.178"
"144","0.1805","0.1805","0.1805"
"145","0.169","0.169","0.169"
"146","0.176","0.176","0.176"
"147","0.178","0.178","0.178"
"148","0.1805","0.1805","0.1805"
"149","0.1785","0.1785","0.1785"
"150","0","0","0"
"151","0","0","0"
"152","0","0","0"
"153","0.0115","0.0115","0.0115"
"154","0.081","0.081","0.081"
"155","0.11","0.11","0.11"
"156","0.1315","0.1315","0.1315"
"157","0.1535","0.1535","0.1535"
"158","0.1735","0.1735","0.1735"
"159","0.1805","0.1805","0.1805"
"160","0.179","0.179","0.179"
"161","0.1885","0.1885","0.1885"
"162","0.1975","0.1975","0.1975"
"163","0.1975","0.1975","0.1975"
"164","0.1975","0.1975","0.1975"
"165","0.196","0.196","0.196"
"166","0.2035","0.2035","0.2035"
"167","0.2015","0.2015","0.2015"
"168","0.2045","0.2045","0.2045"
"169","0.2125","0.2125","0.2125"
"170","0.215","0.215","0.215"
"171","0.217","0.217","0.217"
"172","0.218","0.218","0.218"
"173","0.2165","0.2165","0.2165"
"174","0.2145","0.2145","0.2145"
"175","0.0055","0.0055","0.0055"
"176","0.029","0.029","0.029"
"177","0.038","0.038","0.038"
"178","0.047","0.047","0.047"
"179","0.093","0.093","0.093"
"180","0.139","0.139","0.139"
"181","0.1465","0.1465","0.1465"
"182","0.157","0.157","0.157"
"183","0.1695","0.1695","0.1695"
"184","0.1765","0.1765","0.1765"
"185","0.183","0.183","0.183"
"186","0.1835","0.1835","0.1835"
"187","0.1865","0.1865","0.1865"
"188","0.191","0.191","0.191"
"189","0.187","0.187","0.187"
"190","0.1835","0.1835","0.1835"
"191","0.1825","0.1825","0.1825"
"192","0.1865","0.1865","0.1865"
"193","0.1825","0.1825","0.1825"
"194","0.184","0.184","0.184"
"195","0.1895","0.1895","0.1895"
"196","0.1905","0.1905","0.1905"
"197","0.1945","0.1945","0.1945"
"198","0.193","0.193","0.193"
"199","0.194","0.194","0.194"
"200","0","0","0"
"201","0","0","0"
"202","0","0","0"
"203","0.0135","0.0135","0.0135"
"204","0.0555","0.0555","0.0555"
"205","0.102","0.102","0.102"
"206","0.1115","0.1115","0.1115"
"207","0.121","0.121","0.121"
"208","0.1195","0.1195","0.1195"
"209","0.131","0.131","0.131"
"210","0.136","0.136","0.136"
"211","0.148","0.148","0.148"
"212","0.146","0.146","0.146"
"213","0.1525","0.1525","0.1525"
"214","0.1545","0.1545","0.1545"
"215","0.153","0.153","0.153"
"216","0.1565","0.1565","0.1565"
"217","0.1585","0.1585","0.1585"
"218","0.1615","0.1615","0.1615"
"219","0.1615","0.1615","0.1615"
"220","0.1645","0.1645","0.1645"
"221","0.1635","0.1635","0.1635"
"222","0.165","0.165","0.165"
"223","0.1665","0.1665","0.1665"
"224","0.1705","0.1705","0.1705"
"225","0","0","0"
"226","0","0","0"
"227","0","0","0"
"228","0","0","0"
"229","0.087","0.087","0.087"
"230","0.113","0.113","0.113"
"231","0.1345","0.1345","0.1345"
"232","0.1555","0.1555","0.1555"
"233","0.163","0.163","0.163"
"234","0.1625","0.1625","0.1625"
"235","0.1575","0.1575","0.1575"
"236","0.1595","0.1595","0.1595"
"237","0.16","0.16","0.16"
"238","0.164","0.164","0.164"
"239","0.1645","0.1645","0.1645"
"240","0.1725","0.1725","0.1725"
"241","0.171","0.171","0.171"
"242","0.1745","0.1745","0.1745"
"243","0.176","0.176","0.176"
"244","0.181","0.181","0.181"
"245","0.1785","0.1785","0.1785"
