"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Local/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Local/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Local/Averaged Test Accuracy__MAX"
"0","0.606","0.606","0.606"
"1","0.5755","0.5755","0.5755"
"2","0.676","0.676","0.676"
"3","0.573","0.573","0.573"
"4","0.587","0.587","0.587"
"5","0.5525","0.5525","0.5525"
"6","0.616","0.616","0.616"
"7","0.5985","0.5985","0.5985"
"8","0.644","0.644","0.644"
"9","0.628","0.628","0.628"
"10","0.6295","0.6295","0.6295"
"11","0.6795","0.6795","0.6795"
"12","0.6675","0.6675","0.6675"
"13","0.658","0.658","0.658"
"14","0.6745","0.6745","0.6745"
"15","0.707","0.707","0.707"
"16","0.6435","0.6435","0.6435"
"17","0.696","0.696","0.696"
"18","0.7115","0.7115","0.7115"
"19","0.727","0.727","0.727"
"20","0.7005","0.7005","0.7005"
"21","0.6875","0.6875","0.6875"
"22","0.7205","0.7205","0.7205"
"23","0.7165","0.7165","0.7165"
"24","0.731","0.731","0.731"
"25","0.5495","0.5495","0.5495"
"26","0.5595","0.5595","0.5595"
"27","0.5645","0.5645","0.5645"
"28","0.57","0.57","0.57"
"29","0.5745","0.5745","0.5745"
"30","0.5895","0.5895","0.5895"
"31","0.5815","0.5815","0.5815"
"32","0.567","0.567","0.567"
"33","0.608","0.608","0.608"
"34","0.586","0.586","0.586"
"35","0.581","0.581","0.581"
"36","0.6125","0.6125","0.6125"
"37","0.594","0.594","0.594"
"38","0.591","0.591","0.591"
"39","0.599","0.599","0.599"
"40","0.608","0.608","0.608"
"41","0.6075","0.6075","0.6075"
"42","0.6","0.6","0.6"
"43","0.6135","0.6135","0.6135"
"44","0.592","0.592","0.592"
"45","0.6225","0.6225","0.6225"
"46","0.629","0.629","0.629"
"47","0.6265","0.6265","0.6265"
"48","0.6215","0.6215","0.6215"
"49","0.644","0.644","0.644"
"50","0.5845","0.5845","0.5845"
"51","0.615","0.615","0.615"
"52","0.601","0.601","0.601"
"53","0.6015","0.6015","0.6015"
"54","0.6155","0.6155","0.6155"
"55","0.631","0.631","0.631"
