"Step","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MAX"
"11","0.125","0.125","0.125"
"21","0.184","0.184","0.184"
"22","0.1925","0.1925","0.1925"
"30","0.2075","0.2075","0.2075"
"32","0.215","0.215","0.215"
"37","0.2205","0.2205","0.2205"
"39","0.223","0.223","0.223"
"50","0.2615","0.2615","0.2615"
"53","0.2645","0.2645","0.2645"
"54","0.265","0.265","0.265"
"58","0.2755","0.2755","0.2755"
"59","0.278","0.278","0.278"
"62","0.275","0.275","0.275"
"70","0.295","0.295","0.295"
"73","0.298","0.298","0.298"
"76","0.303","0.303","0.303"
"91","0.3255","0.3255","0.3255"
"93","0.325","0.325","0.325"
"96","0.329","0.329","0.329"
"98","0.33","0.33","0.33"
"101","0","0","0"
"102","0","0","0"
"104","0","0","0"
"106","0.0845","0.0845","0.0845"
"109","0.157","0.157","0.157"
"117","0.1895","0.1895","0.1895"
"120","0.198","0.198","0.198"
"124","0.2105","0.2105","0.2105"
"130","0.226","0.226","0.226"
"137","0.238","0.238","0.238"
"138","0.2355","0.2355","0.2355"
"153","0.2475","0.2475","0.2475"
"156","0.2465","0.2465","0.2465"
"157","0.2505","0.2505","0.2505"
"162","0.25","0.25","0.25"
"167","0.257","0.257","0.257"
"170","0.2585","0.2585","0.2585"
"179","0.2665","0.2665","0.2665"
"192","0.265","0.265","0.265"
"193","0.263","0.263","0.263"
"197","0.267","0.267","0.267"
"202","0.006","0.006","0.006"
"207","0.092","0.092","0.092"
"217","0.2305","0.2305","0.2305"
"219","0.254","0.254","0.254"
"236","0.336","0.336","0.336"
"246","0.355","0.355","0.355"
"253","0.3655","0.3655","0.3655"
"258","0.3665","0.3665","0.3665"
"259","0.3635","0.3635","0.3635"
"273","0.3725","0.3725","0.3725"
"274","0.3695","0.3695","0.3695"
"283","0.3735","0.3735","0.3735"
"286","0.3725","0.3725","0.3725"
"295","0.383","0.383","0.383"
"296","0.384","0.384","0.384"
"302","0.0225","0.0225","0.0225"
"308","0.1675","0.1675","0.1675"
"311","0.221","0.221","0.221"
"312","0.2315","0.2315","0.2315"
"323","0.3475","0.3475","0.3475"
"330","0.3695","0.3695","0.3695"
"334","0.3745","0.3745","0.3745"
"335","0.373","0.373","0.373"
"336","0.3735","0.3735","0.3735"
"341","0.3775","0.3775","0.3775"
"342","0.3765","0.3765","0.3765"
"344","0.3765","0.3765","0.3765"
"347","0.377","0.377","0.377"
"353","0.3755","0.3755","0.3755"
"359","0.378","0.378","0.378"
"360","0.383","0.383","0.383"
"361","0.381","0.381","0.381"
"364","0.3865","0.3865","0.3865"
"367","0.3845","0.3845","0.3845"
"369","0.3855","0.3855","0.3855"
"372","0.383","0.383","0.383"
"376","0.3835","0.3835","0.3835"
"385","0.389","0.389","0.389"
"390","0.3945","0.3945","0.3945"
"398","0.401","0.401","0.401"
"402","0.046","0.046","0.046"
"414","0.227","0.227","0.227"
"417","0.254","0.254","0.254"
"425","0.277","0.277","0.277"
"434","0.292","0.292","0.292"
"436","0.29","0.29","0.29"
"437","0.2905","0.2905","0.2905"
"443","0.3005","0.3005","0.3005"
"446","0.3","0.3","0.3"
"455","0.3015","0.3015","0.3015"
"464","0.3065","0.3065","0.3065"
"469","0.305","0.305","0.305"
"477","0.3115","0.3115","0.3115"
"488","0.31","0.31","0.31"
"495","0.311","0.311","0.311"
"497","0.3105","0.3105","0.3105"
"502","0.02","0.02","0.02"
"506","0.0865","0.0865","0.0865"
"507","0.1045","0.1045","0.1045"
"517","0.2515","0.2515","0.2515"
"518","0.261","0.261","0.261"
"525","0.2835","0.2835","0.2835"
"526","0.2845","0.2845","0.2845"
"527","0.292","0.292","0.292"
"531","0.304","0.304","0.304"
"532","0.306","0.306","0.306"
"534","0.3075","0.3075","0.3075"
"537","0.3185","0.3185","0.3185"
"542","0.3225","0.3225","0.3225"
"559","0.347","0.347","0.347"
"563","0.348","0.348","0.348"
"581","0.3465","0.3465","0.3465"
"582","0.35","0.35","0.35"
"599","0.3545","0.3545","0.3545"
"602","0.0125","0.0125","0.0125"
"607","0.1225","0.1225","0.1225"
"611","0.211","0.211","0.211"
"613","0.25","0.25","0.25"
"620","0.323","0.323","0.323"
"630","0.352","0.352","0.352"
"633","0.364","0.364","0.364"
"636","0.363","0.363","0.363"
"645","0.374","0.374","0.374"
"646","0.375","0.375","0.375"
"654","0.375","0.375","0.375"
"655","0.376","0.376","0.376"
"658","0.382","0.382","0.382"
"661","0.3885","0.3885","0.3885"
"664","0.385","0.385","0.385"
"666","0.385","0.385","0.385"
"668","0.3855","0.3855","0.3855"
"675","0.39","0.39","0.39"
"684","0.389","0.389","0.389"
"688","0.3885","0.3885","0.3885"
"689","0.3875","0.3875","0.3875"
"698","0.393","0.393","0.393"
"700","0.015","0.015","0.015"
"708","0.128","0.128","0.128"
"727","0.322","0.322","0.322"
"729","0.3255","0.3255","0.3255"
"731","0.3235","0.3235","0.3235"
"732","0.326","0.326","0.326"
"736","0.333","0.333","0.333"
"740","0.3355","0.3355","0.3355"
"741","0.3385","0.3385","0.3385"
"751","0.344","0.344","0.344"
"757","0.3475","0.3475","0.3475"
"764","0.346","0.346","0.346"
"767","0.3475","0.3475","0.3475"
"768","0.346","0.346","0.346"
"769","0.3465","0.3465","0.3465"
"774","0.3565","0.3565","0.3565"
"777","0.3575","0.3575","0.3575"
"793","0.361","0.361","0.361"
"795","0.3635","0.3635","0.3635"
"799","0.3625","0.3625","0.3625"
"805","0.052","0.052","0.052"
"812","0.207","0.207","0.207"
"816","0.26","0.26","0.26"
"820","0.2885","0.2885","0.2885"
"830","0.3225","0.3225","0.3225"
"831","0.322","0.322","0.322"
"835","0.332","0.332","0.332"
"840","0.3365","0.3365","0.3365"
"843","0.3365","0.3365","0.3365"
"846","0.3385","0.3385","0.3385"
"847","0.3365","0.3365","0.3365"
"850","0.339","0.339","0.339"
"852","0.3415","0.3415","0.3415"
"858","0.345","0.345","0.345"
"867","0.348","0.348","0.348"
"873","0.35","0.35","0.35"
"878","0.358","0.358","0.358"
"879","0.354","0.354","0.354"
"881","0.352","0.352","0.352"
"887","0.358","0.358","0.358"
"892","0.3595","0.3595","0.3595"
"898","0.359","0.359","0.359"
"899","0.3535","0.3535","0.3535"
"902","0.0035","0.0035","0.0035"
"903","0.014","0.014","0.014"
"913","0.2795","0.2795","0.2795"
"915","0.2935","0.2935","0.2935"
"916","0.3","0.3","0.3"
"922","0.3205","0.3205","0.3205"
"923","0.325","0.325","0.325"
"925","0.331","0.331","0.331"
"935","0.357","0.357","0.357"
"936","0.3575","0.3575","0.3575"
"950","0.368","0.368","0.368"
"956","0.3755","0.3755","0.3755"
"962","0.382","0.382","0.382"
"971","0.38","0.38","0.38"
"980","0.3855","0.3855","0.3855"
"986","0.389","0.389","0.389"
"988","0.388","0.388","0.388"
