"Step","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Local/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Local/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Local/Averaged Test Accuracy__MAX"
"5","0.776","0.776","0.776"
"11","0.798","0.798","0.798"
"14","0.774","0.774","0.774"
"20","0.78","0.78","0.78"
"21","0.8045","0.8045","0.8045"
"24","0.815","0.815","0.815"
"28","0.807","0.807","0.807"
"31","0.8015","0.8015","0.8015"
"33","0.831","0.831","0.831"
"36","0.822","0.822","0.822"
"56","0.834","0.834","0.834"
"65","0.8505","0.8505","0.8505"
"74","0.8495","0.8495","0.8495"
"79","0.8695","0.8695","0.8695"
"84","0.8625","0.8625","0.8625"
"95","0.873","0.873","0.873"
"97","0.876","0.876","0.876"
"113","0.7585","0.7585","0.7585"
"124","0.745","0.745","0.745"
"125","0.737","0.737","0.737"
"135","0.753","0.753","0.753"
"137","0.78","0.78","0.78"
"139","0.78","0.78","0.78"
"143","0.793","0.793","0.793"
"150","0.7955","0.7955","0.7955"
"155","0.7875","0.7875","0.7875"
"159","0.7975","0.7975","0.7975"
"164","0.768","0.768","0.768"
"166","0.7875","0.7875","0.7875"
"177","0.7955","0.7955","0.7955"
"179","0.797","0.797","0.797"
"181","0.81","0.81","0.81"
"185","0.8155","0.8155","0.8155"
"188","0.804","0.804","0.804"
"190","0.8015","0.8015","0.8015"
"194","0.8025","0.8025","0.8025"
"199","0.7965","0.7965","0.7965"
"201","0.807","0.807","0.807"
"210","0.845","0.845","0.845"
"213","0.8265","0.8265","0.8265"
"217","0.844","0.844","0.844"
"219","0.8175","0.8175","0.8175"
"222","0.8375","0.8375","0.8375"
"225","0.845","0.845","0.845"
"226","0.8415","0.8415","0.8415"
"237","0.8575","0.8575","0.8575"
"243","0.8505","0.8505","0.8505"
"245","0.844","0.844","0.844"
"246","0.851","0.851","0.851"
