"Step","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MAX"
"5","0.19","0.19","0.19"
"12","0.1655","0.1655","0.1655"
"27","0","0","0"
"28","0","0","0"
"32","0.084","0.084","0.084"
"35","0.0925","0.0925","0.0925"
"40","0.0935","0.0935","0.0935"
"60","0.0755","0.0755","0.0755"
"61","0.0795","0.0795","0.0795"
"67","0.094","0.094","0.094"
"81","0.104","0.104","0.104"
"82","0.1205","0.1205","0.1205"
"88","0.1205","0.1205","0.1205"
"90","0.1215","0.1215","0.1215"
"92","0.1205","0.1205","0.1205"
"102","0.006","0.006","0.006"
"106","0.069","0.069","0.069"
"112","0.091","0.091","0.091"
"113","0.092","0.092","0.092"
"118","0.0975","0.0975","0.0975"
"119","0.1025","0.1025","0.1025"
"130","0.0475","0.0475","0.0475"
"134","0.065","0.065","0.065"
"135","0.0635","0.0635","0.0635"
"136","0.066","0.066","0.066"
"150","0","0","0"
"154","0.0095","0.0095","0.0095"
"170","0.094","0.094","0.094"
"185","0.0695","0.0695","0.0695"
"187","0.0795","0.0795","0.0795"
"191","0.088","0.088","0.088"
"192","0.089","0.089","0.089"
"200","0","0","0"
"202","0","0","0"
"215","0.049","0.049","0.049"
"229","0.002","0.002","0.002"
"234","0.0385","0.0385","0.0385"
"235","0.039","0.039","0.039"
"237","0.041","0.041","0.041"
"245","0.0555","0.0555","0.0555"
"250","0","0","0"
"252","0","0","0"
"253","0","0","0"
"257","0.0375","0.0375","0.0375"
"261","0.039","0.039","0.039"
"263","0.0415","0.0415","0.0415"
"270","0.054","0.054","0.054"
"272","0.0535","0.0535","0.0535"
"273","0.059","0.059","0.059"
"281","0.0345","0.0345","0.0345"
"284","0.0545","0.0545","0.0545"
"288","0.0485","0.0485","0.0485"
"300","0.009","0.009","0.009"
"307","0.031","0.031","0.031"
"308","0.0325","0.0325","0.0325"
"311","0.0315","0.0315","0.0315"
"314","0.0455","0.0455","0.0455"
"316","0.043","0.043","0.043"
"320","0.0555","0.0555","0.0555"
"321","0.056","0.056","0.056"
"323","0.0675","0.0675","0.0675"
"324","0.063","0.063","0.063"
"342","0.1025","0.1025","0.1025"
"346","0.108","0.108","0.108"
"352","0","0","0"
"353","0","0","0"
"359","0.0305","0.0305","0.0305"
"365","0.0325","0.0325","0.0325"
"367","0.062","0.062","0.062"
"374","0.0575","0.0575","0.0575"
"379","0.039","0.039","0.039"
"381","0.028","0.028","0.028"
"385","0.0315","0.0315","0.0315"
"386","0.0305","0.0305","0.0305"
"402","0","0","0"
"405","0.0375","0.0375","0.0375"
"406","0.04","0.04","0.04"
"414","0.0375","0.0375","0.0375"
"422","0.0455","0.0455","0.0455"
"424","0.042","0.042","0.042"
"427","0","0","0"
"433","0.03","0.03","0.03"
"435","0.031","0.031","0.031"
"438","0.0415","0.0415","0.0415"
"442","0.057","0.057","0.057"
"446","0.061","0.061","0.061"
"467","0.0615","0.0615","0.0615"
"471","0.083","0.083","0.083"
"481","0.029","0.029","0.029"
"487","0.052","0.052","0.052"
"490","0.0605","0.0605","0.0605"
"491","0.075","0.075","0.075"
"494","0.0855","0.0855","0.0855"
"501","0.0215","0.0215","0.0215"
"502","0.028","0.028","0.028"
"504","0.0585","0.0585","0.0585"
"505","0.065","0.065","0.065"
"513","0.072","0.072","0.072"
"523","0.1245","0.1245","0.1245"
"542","0.1255","0.1255","0.1255"
"556","0.0655","0.0655","0.0655"
"594","0.1555","0.1555","0.1555"
"597","0.166","0.166","0.166"
"605","0.0395","0.0395","0.0395"
