"Step","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Local/Averaged Test Accuracy","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Local/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Local/Averaged Test Accuracy__MAX"
"2","0.756","0.756","0.756"
"11","0.81","0.81","0.81"
"17","0.827","0.827","0.827"
"20","0.83","0.83","0.83"
"22","0.837","0.837","0.837"
"28","0.6965","0.6965","0.6965"
"30","0.709","0.709","0.709"
"31","0.702","0.702","0.702"
"43","0.727","0.727","0.727"
"53","0.7515","0.7515","0.7515"
"58","0.77","0.77","0.77"
"60","0.768","0.768","0.768"
"63","0.7745","0.7745","0.7745"
"82","0.7915","0.7915","0.7915"
"87","0.8035","0.8035","0.8035"
"88","0.7945","0.7945","0.7945"
"90","0.8045","0.8045","0.8045"
"99","0.8075","0.8075","0.8075"
"116","0.7505","0.7505","0.7505"
"123","0.7495","0.7495","0.7495"
"127","0.76","0.76","0.76"
"131","0.764","0.764","0.764"
"132","0.7685","0.7685","0.7685"
"143","0.784","0.784","0.784"
"144","0.782","0.782","0.782"
"145","0.7865","0.7865","0.7865"
"146","0.78","0.78","0.78"
"149","0.79","0.79","0.79"
"153","0.7785","0.7785","0.7785"
"154","0.781","0.781","0.781"
"159","0.782","0.782","0.782"
"163","0.79","0.79","0.79"
"169","0.7925","0.7925","0.7925"
"172","0.7945","0.7945","0.7945"
"176","0.782","0.782","0.782"
"183","0.798","0.798","0.798"
"212","0.807","0.807","0.807"
"219","0.8155","0.8155","0.8155"
"224","0.807","0.807","0.807"
"228","0.8435","0.8435","0.8435"
"230","0.8445","0.8445","0.8445"
"247","0.8445","0.8445","0.8445"
"249","0.85","0.85","0.85"
"250","0.8365","0.8365","0.8365"
"251","0.845","0.845","0.845"
"252","0.849","0.849","0.849"
"254","0.857","0.857","0.857"
"259","0.8535","0.8535","0.8535"
"266","0.86","0.86","0.86"
"270","0.8585","0.8585","0.8585"
"274","0.8455","0.8455","0.8455"
"275","0.847","0.847","0.847"
"280","0.859","0.859","0.859"
"281","0.853","0.853","0.853"
"294","0.8515","0.8515","0.8515"
"306","0.8295","0.8295","0.8295"
"311","0.827","0.827","0.827"
"336","0.8685","0.8685","0.8685"
"339","0.866","0.866","0.866"
"346","0.868","0.868","0.868"
"349","0.8665","0.8665","0.8665"
"354","0.8135","0.8135","0.8135"
"355","0.8135","0.8135","0.8135"
"357","0.819","0.819","0.819"
"358","0.825","0.825","0.825"
"360","0.8215","0.8215","0.8215"
"363","0.8155","0.8155","0.8155"
"364","0.811","0.811","0.811"
"385","0.7985","0.7985","0.7985"
"390","0.8","0.8","0.8"
"402","0.821","0.821","0.821"
"403","0.8285","0.8285","0.8285"
"408","0.824","0.824","0.824"
"409","0.828","0.828","0.828"
"421","0.8195","0.8195","0.8195"
"430","0.847","0.847","0.847"
"441","0.8465","0.8465","0.8465"
"446","0.8515","0.8515","0.8515"
"450","0.813","0.813","0.813"
"452","0.812","0.812","0.812"
"464","0.8145","0.8145","0.8145"
"466","0.8125","0.8125","0.8125"
"475","0.866","0.866","0.866"
"495","0.8725","0.8725","0.8725"
"499","0.8685","0.8685","0.8685"
"500","0.8515","0.8515","0.8515"
"501","0.8575","0.8575","0.8575"
"502","0.845","0.845","0.845"
"503","0.8505","0.8505","0.8505"
"504","0.851","0.851","0.851"
"508","0.848","0.848","0.848"
"529","0.8","0.8","0.8"
"530","0.799","0.799","0.799"
"531","0.8075","0.8075","0.8075"
"537","0.8035","0.8035","0.8035"
"548","0.809","0.809","0.809"
"566","0.8605","0.8605","0.8605"
"574","0.8615","0.8615","0.8615"
"577","0.848","0.848","0.848"
"581","0.851","0.851","0.851"
"586","0.8475","0.8475","0.8475"
"592","0.8445","0.8445","0.8445"
"602","0.819","0.819","0.819"
"613","0.834","0.834","0.834"
"616","0.8315","0.8315","0.8315"
"626","0.8385","0.8385","0.8385"
"633","0.847","0.847","0.847"
"638","0.8485","0.8485","0.8485"
"639","0.851","0.851","0.851"
"648","0.845","0.845","0.845"
"653","0.8335","0.8335","0.8335"
"654","0.8455","0.8455","0.8455"
"656","0.849","0.849","0.849"
"659","0.848","0.848","0.848"
"687","0.8425","0.8425","0.8425"
"691","0.841","0.841","0.841"
"702","0.8245","0.8245","0.8245"
"714","0.8355","0.8355","0.8355"
"720","0.824","0.824","0.824"
"722","0.84","0.84","0.84"
"728","0.84","0.84","0.84"
"734","0.8335","0.8335","0.8335"
"738","0.837","0.837","0.837"
"743","0.8385","0.8385","0.8385"
"750","0.8435","0.8435","0.8435"
"752","0.859","0.859","0.859"
"755","0.8515","0.8515","0.8515"
"766","0.8535","0.8535","0.8535"
"768","0.851","0.851","0.851"
"776","0.893","0.893","0.893"
"786","0.879","0.879","0.879"
"788","0.8765","0.8765","0.8765"
"789","0.881","0.881","0.881"
"798","0.875","0.875","0.875"
"807","0.843","0.843","0.843"
"814","0.839","0.839","0.839"
"817","0.8435","0.8435","0.8435"
"824","0.8505","0.8505","0.8505"
"830","0.8505","0.8505","0.8505"
"845","0.848","0.848","0.848"
"861","0.8455","0.8455","0.8455"
"872","0.841","0.841","0.841"
"880","0.859","0.859","0.859"
"891","0.867","0.867","0.867"
"894","0.8685","0.8685","0.8685"
"898","0.863","0.863","0.863"
"899","0.8705","0.8705","0.8705"
"902","0.836","0.836","0.836"
"908","0.8335","0.8335","0.8335"
"911","0.8265","0.8265","0.8265"
"914","0.8275","0.8275","0.8275"
"923","0.8275","0.8275","0.8275"
"924","0.812","0.812","0.812"
"925","0.84","0.84","0.84"
"931","0.8555","0.8555","0.8555"
"932","0.8625","0.8625","0.8625"
"949","0.8665","0.8665","0.8665"
"957","0.876","0.876","0.876"
"963","0.8825","0.8825","0.8825"
"972","0.874","0.874","0.874"
"983","0.832","0.832","0.832"
"986","0.832","0.832","0.832"
"989","0.831","0.831","0.831"
"993","0.8315","0.8315","0.8315"
"994","0.8245","0.8245","0.8245"
"995","0.8225","0.8225","0.8225"
"996","0.8315","0.8315","0.8315"
"997","0.8225","0.8225","0.8225"
"998","0.8335","0.8335","0.8335"
"1002","0.8105","0.8105","0.8105"
"1012","0.824","0.824","0.824"
"1017","0.8145","0.8145","0.8145"
"1021","0.814","0.814","0.814"
"1029","0.877","0.877","0.877"
"1030","0.872","0.872","0.872"
"1032","0.871","0.871","0.871"
"1043","0.8685","0.8685","0.8685"
"1049","0.866","0.866","0.866"
"1053","0.89","0.89","0.89"
"1060","0.8805","0.8805","0.8805"
"1071","0.8735","0.8735","0.8735"
"1076","0.8825","0.8825","0.8825"
"1084","0.893","0.893","0.893"
"1091","0.888","0.888","0.888"
"1092","0.888","0.888","0.888"
"1102","0.863","0.863","0.863"
"1108","0.87","0.87","0.87"
"1128","0.872","0.872","0.872"
"1135","0.859","0.859","0.859"
"1141","0.8665","0.8665","0.8665"
"1146","0.85","0.85","0.85"
"1150","0.88","0.88","0.88"
"1164","0.874","0.874","0.874"
