"Step","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_20classes - Global/Averaged Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_20classes - Global/Averaged Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_20classes - Global/Averaged Angle__MAX","IMAGENET1k_AFFCLModel_PreciseFCL_adam_lr0.001_20classes - Global/Averaged Angle","IMAGENET1k_AFFCLModel_PreciseFCL_adam_lr0.001_20classes - Global/Averaged Angle__MIN","IMAGENET1k_AFFCLModel_PreciseFCL_adam_lr0.001_20classes - Global/Averaged Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Angle__MAX","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_20classes - Global/Averaged Angle","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_20classes - Global/Averaged Angle__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_20classes - Global/Averaged Angle__MAX","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Angle","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Angle__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Angle__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.4989111691713333","0.4989111691713333","0.4989111691713333","0.8327293872833252","0.8327293872833252","0.8327293872833252","0.7054126560688019","0.7054126560688019","0.7054126560688019","0.38096652626991273","0.38096652626991273","0.38096652626991273","0.46712252497673035","0.46712252497673035","0.46712252497673035"
"2","0.7889516234397889","0.7889516234397889","0.7889516234397889","0.7395733773708344","0.7395733773708344","0.7395733773708344","0.5031633734703064","0.5031633734703064","0.5031633734703064","0.40486312210559844","0.40486312210559844","0.40486312210559844","0.4471475422382355","0.4471475422382355","0.4471475422382355"
"3","0.5114889502525329","0.5114889502525329","0.5114889502525329","0.5305341958999634","0.5305341958999634","0.5305341958999634","0.3954270571470261","0.3954270571470261","0.3954270571470261","0.3935484439134598","0.3935484439134598","0.3935484439134598","0.408175653219223","0.408175653219223","0.408175653219223"
"4","0.49057323634624483","0.49057323634624483","0.49057323634624483","0.4604198127985001","0.4604198127985001","0.4604198127985001","0.38190588653087615","0.38190588653087615","0.38190588653087615","0.37789206504821776","0.37789206504821776","0.37789206504821776","0.3634608566761017","0.3634608566761017","0.3634608566761017"
"5","0.5290652334690094","0.5290652334690094","0.5290652334690094","0.4315845310688019","0.4315845310688019","0.4315845310688019","0.39303621649742126","0.39303621649742126","0.39303621649742126","0.3760712265968323","0.3760712265968323","0.3760712265968323","0.3249001383781433","0.3249001383781433","0.3249001383781433"
"6","0.4954789698123932","0.4954789698123932","0.4954789698123932","0.43748057186603545","0.43748057186603545","0.43748057186603545","0.36483657360076904","0.36483657360076904","0.36483657360076904","0.3784857660531998","0.3784857660531998","0.3784857660531998","0.2960457980632782","0.2960457980632782","0.2960457980632782"
"7","0.5736782252788544","0.5736782252788544","0.5736782252788544","0.45355311334133147","0.45355311334133147","0.45355311334133147","0.32569355666637423","0.32569355666637423","0.32569355666637423","0.3824576050043106","0.3824576050043106","0.3824576050043106","0.2730053275823593","0.2730053275823593","0.2730053275823593"
"8","0.5108608484268189","0.5108608484268189","0.5108608484268189","0.4908098965883255","0.4908098965883255","0.4908098965883255","0.3023365944623947","0.3023365944623947","0.3023365944623947","0.38472879230976104","0.38472879230976104","0.38472879230976104","0.25622800290584563","0.25622800290584563","0.25622800290584563"
"9","0.5674704790115357","0.5674704790115357","0.5674704790115357","0.5026815861463547","0.5026815861463547","0.5026815861463547","0.290530326962471","0.290530326962471","0.290530326962471","0.38574983179569244","0.38574983179569244","0.38574983179569244","0.2423861801624298","0.2423861801624298","0.2423861801624298"
"10","0.5619358241558075","0.5619358241558075","0.5619358241558075","0.5019422769546509","0.5019422769546509","0.5019422769546509","0.28500408083200457","0.28500408083200457","0.28500408083200457","0.39195541441440584","0.39195541441440584","0.39195541441440584","0.23296720981597902","0.23296720981597902","0.23296720981597902"
"11","0.6048977971076965","0.6048977971076965","0.6048977971076965","0.41905162632465365","0.41905162632465365","0.41905162632465365","0.2832223951816559","0.2832223951816559","0.2832223951816559","0.3936733454465866","0.3936733454465866","0.3936733454465866","0.22331676483154297","0.22331676483154297","0.22331676483154297"
"12","0.5614058464765549","0.5614058464765549","0.5614058464765549","0.3986471056938171","0.3986471056938171","0.3986471056938171","0.2825637757778168","0.2825637757778168","0.2825637757778168","0.3911234974861145","0.3911234974861145","0.3911234974861145","0.21564084589481353","0.21564084589481353","0.21564084589481353"
"13","0.5973709285259247","0.5973709285259247","0.5973709285259247","0.3711628794670105","0.3711628794670105","0.3711628794670105","0.28336813747882844","0.28336813747882844","0.28336813747882844","0.3844314068555832","0.3844314068555832","0.3844314068555832","0.2110946238040924","0.2110946238040924","0.2110946238040924"
"14","0.5713592112064362","0.5713592112064362","0.5713592112064362","0.36245618760585785","0.36245618760585785","0.36245618760585785","0.28561827838420867","0.28561827838420867","0.28561827838420867","0.3729682773351669","0.3729682773351669","0.3729682773351669","0.2054784417152405","0.2054784417152405","0.2054784417152405"
"15","0.586052417755127","0.586052417755127","0.586052417755127","0.3545943468809128","0.3545943468809128","0.3545943468809128","0.28887290358543394","0.28887290358543394","0.28887290358543394","0.36264959573745725","0.36264959573745725","0.36264959573745725","0.20298238694667817","0.20298238694667817","0.20298238694667817"
"16","0.5425888359546661","0.5425888359546661","0.5425888359546661","0.3531384766101837","0.3531384766101837","0.3531384766101837","0.2940323919057846","0.2940323919057846","0.2940323919057846","0.3548971742391586","0.3548971742391586","0.3548971742391586","0.19875671565532685","0.19875671565532685","0.19875671565532685"
"17","0.5907621324062348","0.5907621324062348","0.5907621324062348","0.38487879633903505","0.38487879633903505","0.38487879633903505","0.30121119916439054","0.30121119916439054","0.30121119916439054","0.34797092974185945","0.34797092974185945","0.34797092974185945","0.1966211050748825","0.1966211050748825","0.1966211050748825"
"18","0.557648304104805","0.557648304104805","0.557648304104805","0.41560700833797454","0.41560700833797454","0.41560700833797454","0.3115236937999725","0.3115236937999725","0.3115236937999725","0.3412854313850403","0.3412854313850403","0.3412854313850403","0.19290168285369874","0.19290168285369874","0.19290168285369874"
"19","0.6258319735527038","0.6258319735527038","0.6258319735527038","0.4288415014743805","0.4288415014743805","0.4288415014743805","0.32529864013195037","0.32529864013195037","0.32529864013195037","0.33544856309890747","0.33544856309890747","0.33544856309890747","0.1913392275571823","0.1913392275571823","0.1913392275571823"
"20","0.5928836524486542","0.5928836524486542","0.5928836524486542","0.4335474014282227","0.4335474014282227","0.4335474014282227","0.3428045481443405","0.3428045481443405","0.3428045481443405","0.3293545782566071","0.3293545782566071","0.3293545782566071","0.19005348682403564","0.19005348682403564","0.19005348682403564"
"21","0.5655307233333587","0.5655307233333587","0.5655307233333587","0.3670762926340103","0.3670762926340103","0.3670762926340103","0.3575626164674759","0.3575626164674759","0.3575626164674759","0.32293917834758756","0.32293917834758756","0.32293917834758756","0.1893087863922119","0.1893087863922119","0.1893087863922119"
"22","0.5899078667163848","0.5899078667163848","0.5899078667163848","0.3531762227416039","0.3531762227416039","0.3531762227416039","0.35889791548252103","0.35889791548252103","0.35889791548252103","0.3161281019449234","0.3161281019449234","0.3161281019449234","0.18781565129756927","0.18781565129756927","0.18781565129756927"
"23","0.5776559114456177","0.5776559114456177","0.5776559114456177","0.36000816822052","0.36000816822052","0.36000816822052","0.34508255422115325","0.34508255422115325","0.34508255422115325","0.30847598910331725","0.30847598910331725","0.30847598910331725","0.1823904037475586","0.1823904037475586","0.1823904037475586"
"24","0.6331952393054963","0.6331952393054963","0.6331952393054963","0.35632855594158175","0.35632855594158175","0.35632855594158175","0.3262792259454727","0.3262792259454727","0.3262792259454727","0.29988456666469576","0.29988456666469576","0.29988456666469576","0.18414601385593415","0.18414601385593415","0.18414601385593415"
"25","0.6084865868091583","0.6084865868091583","0.6084865868091583","0.3719121187925339","0.3719121187925339","0.3719121187925339","0.3102364271879196","0.3102364271879196","0.3102364271879196","0.29186520278453826","0.29186520278453826","0.29186520278453826","0.18632005155086517","0.18632005155086517","0.18632005155086517"
"26","0.5854987800121307","0.5854987800121307","0.5854987800121307","0.3729939192533493","0.3729939192533493","0.3729939192533493","0.38489376902580263","0.38489376902580263","0.38489376902580263","0.35164948403835294","0.35164948403835294","0.35164948403835294","0.5213356673717499","0.5213356673717499","0.5213356673717499"
"27","0.5202295780181885","0.5202295780181885","0.5202295780181885","0.37333651483058927","0.37333651483058927","0.37333651483058927","0.34164278507232665","0.34164278507232665","0.34164278507232665","0.3297799229621887","0.3297799229621887","0.3297799229621887","0.4847808003425598","0.4847808003425598","0.4847808003425598"
"28","0.5230104506015778","0.5230104506015778","0.5230104506015778","0.37575889825820924","0.37575889825820924","0.37575889825820924","0.3229245752096176","0.3229245752096176","0.3229245752096176","0.31729933619499207","0.31729933619499207","0.31729933619499207","0.4422392427921295","0.4422392427921295","0.4422392427921295"
