"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MAX","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.1957965387776494","0.1957965387776494","0.1957965387776494","0.12017333971802145","0.12017333971802145","0.12017333971802145","0.49760947465896604","0.49760947465896604","0.49760947465896604","0.41202826380729674","0.41202826380729674","0.41202826380729674"
"2","0.3464249435067177","0.3464249435067177","0.3464249435067177","0.09723344084515702","0.09723344084515702","0.09723344084515702","0.2533558531105518","0.2533558531105518","0.2533558531105518","0.40828911900520326","0.40828911900520326","0.40828911900520326"
"3","0.4599379330873489","0.4599379330873489","0.4599379330873489","0.08458283055166248","0.08458283055166248","0.08458283055166248","0.15665685234591364","0.15665685234591364","0.15665685234591364","0.07862936174671631","0.07862936174671631","0.07862936174671631"
"4","0.2776435083150864","0.2776435083150864","0.2776435083150864","0.07710020403377711","0.07710020403377711","0.07710020403377711","0.1463029452878982","0.1463029452878982","0.1463029452878982","0.038526411298662425","0.038526411298662425","0.038526411298662425"
"5","0.09222154096525628","0.09222154096525628","0.09222154096525628","0.07330403012223542","0.07330403012223542","0.07330403012223542","0.1548524476401508","0.1548524476401508","0.1548524476401508","0.030465775895863773","0.030465775895863773","0.030465775895863773"
"6","0.04798198642209172","0.04798198642209172","0.04798198642209172","0.06694801904261112","0.06694801904261112","0.06694801904261112","0.13324532628059388","0.13324532628059388","0.13324532628059388","0.025709282271564007","0.025709282271564007","0.025709282271564007"
"7","0.044366329126060006","0.044366329126060006","0.044366329126060006","0.05783478654921055","0.05783478654921055","0.05783478654921055","0.10614508967863913","0.10614508967863913","0.10614508967863913","0.024750661589205265","0.024750661589205265","0.024750661589205265"
"8","0.04093844156712294","0.04093844156712294","0.04093844156712294","0.05409491009922931","0.05409491009922931","0.05409491009922931","0.09146263824004564","0.09146263824004564","0.09146263824004564","0.023569514453411104","0.023569514453411104","0.023569514453411104"
"9","0.03858376525342464","0.03858376525342464","0.03858376525342464","0.0499956944026053","0.0499956944026053","0.0499956944026053","0.08446057947585359","0.08446057947585359","0.08446057947585359","0.0221505206823349","0.0221505206823349","0.0221505206823349"
"10","0.03519056568853557","0.03519056568853557","0.03519056568853557","0.04492477202787995","0.04492477202787995","0.04492477202787995","0.081283575258567","0.081283575258567","0.081283575258567","0.021420786045491694","0.021420786045491694","0.021420786045491694"
"11","0.03272495664656162","0.03272495664656162","0.03272495664656162","0.04167211461812258","0.04167211461812258","0.04167211461812258","0.08026866658459766","0.08026866658459766","0.08026866658459766","0.022451430819928647","0.022451430819928647","0.022451430819928647"
