"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.41275835007429124","0.41275835007429124","0.41275835007429124","0.10363518428406678","0.10363518428406678","0.10363518428406678","0.10614616782127996","0.10614616782127996","0.10614616782127996","0.19576866921037436","0.19576866921037436","0.19576866921037436"
"2","0.4120026618242264","0.4120026618242264","0.4120026618242264","0.0962352947006002","0.0962352947006002","0.0962352947006002","0.09799059901211876","0.09799059901211876","0.09799059901211876","0.3464610332250595","0.3464610332250595","0.3464610332250595"
"3","0.0746991213504225","0.0746991213504225","0.0746991213504225","0.08492037539952435","0.08492037539952435","0.08492037539952435","0.09131790318526328","0.09131790318526328","0.09131790318526328","0.4599724817276001","0.4599724817276001","0.4599724817276001"
"4","0.03691258413717151","0.03691258413717151","0.03691258413717151","0.07331753942416981","0.07331753942416981","0.07331753942416981","0.08262683536857367","0.08262683536857367","0.08262683536857367","0.2760182997584343","0.2760182997584343","0.2760182997584343"
"5","0.029165183771401645","0.029165183771401645","0.029165183771401645","0.06286528419703245","0.06286528419703245","0.06286528419703245","0.07165070854127407","0.07165070854127407","0.07165070854127407","0.09219862134661526","0.09219862134661526","0.09219862134661526"
"6","0.026202584579586984","0.026202584579586984","0.026202584579586984","0.054372415114194154","0.054372415114194154","0.054372415114194154","0.0631663228943944","0.0631663228943944","0.0631663228943944","0.04880092576146126","0.04880092576146126","0.04880092576146126"
"7","0.02432838819921017","0.02432838819921017","0.02432838819921017","0.04643491579452529","0.04643491579452529","0.04643491579452529","0.05415720790624619","0.05415720790624619","0.05415720790624619","0.04296179920434952","0.04296179920434952","0.04296179920434952"
"8","0.023351091593503952","0.023351091593503952","0.023351091593503952","0.04180192522704601","0.04180192522704601","0.04180192522704601","0.04931634724140167","0.04931634724140167","0.04931634724140167","0.04137953665107488","0.04137953665107488","0.04137953665107488"
"9","0.023333026245236397","0.023333026245236397","0.023333026245236397","0.03743226422462612","0.03743226422462612","0.03743226422462612","0.042654098793864254","0.042654098793864254","0.042654098793864254","0.03836382864043117","0.03836382864043117","0.03836382864043117"
"10","0.021587859988212586","0.021587859988212586","0.021587859988212586","0.03427064040675759","0.03427064040675759","0.03427064040675759","0.03853773280978203","0.03853773280978203","0.03853773280978203","0.036141011491417886","0.036141011491417886","0.036141011491417886"
"11","0.02137598242610693","0.02137598242610693","0.02137598242610693","0.031766901239752766","0.031766901239752766","0.031766901239752766","0.035023342445492746","0.035023342445492746","0.035023342445492746","0.0322774120233953","0.0322774120233953","0.0322774120233953"
"12","0.021651638820767403","0.021651638820767403","0.021651638820767403","0.02920785179361701","0.02920785179361701","0.02920785179361701","0.03342397272586822","0.03342397272586822","0.03342397272586822","0.0287588207796216","0.0287588207796216","0.0287588207796216"
"13","0.022737698815762996","0.022737698815762996","0.022737698815762996","0.028409330826252698","0.028409330826252698","0.028409330826252698","0.029011198803782463","0.029011198803782463","0.029011198803782463","0.026155991181731224","0.026155991181731224","0.026155991181731224"
"14","0.023555607683956623","0.023555607683956623","0.023555607683956623","0.027830553469248117","0.027830553469248117","0.027830553469248117","0.02825271673500538","0.02825271673500538","0.02825271673500538","0.024123672023415567","0.024123672023415567","0.024123672023415567"
"15","0.02401316795498133","0.02401316795498133","0.02401316795498133","0.026317038852721453","0.026317038852721453","0.026317038852721453","0.02661378338932991","0.02661378338932991","0.02661378338932991","0.021623752489686014","0.021623752489686014","0.021623752489686014"
"16","0.025386008471250533","0.025386008471250533","0.025386008471250533","0.02565028443466872","0.02565028443466872","0.02565028443466872","0.024687581807374955","0.024687581807374955","0.024687581807374955","0.019685440361499787","0.019685440361499787","0.019685440361499787"
"17","0.027936555966734885","0.027936555966734885","0.027936555966734885","0.024549623392522334","0.024549623392522334","0.024549623392522334","0.024123320057988167","0.024123320057988167","0.024123320057988167","0.017961225509643554","0.017961225509643554","0.017961225509643554"
"18","0.028791138529777528","0.028791138529777528","0.028791138529777528","0.023678767681121825","0.023678767681121825","0.023678767681121825","0.0224583999812603","0.0224583999812603","0.0224583999812603","0.016382708102464675","0.016382708102464675","0.016382708102464675"
"19","0.029713803566992283","0.029713803566992283","0.029713803566992283","0.022839460959658026","0.022839460959658026","0.022839460959658026","0.0222139710187912","0.0222139710187912","0.0222139710187912","0.016003856286406517","0.016003856286406517","0.016003856286406517"
"20","0.030256575495004653","0.030256575495004653","0.030256575495004653","0.02254106417298317","0.02254106417298317","0.02254106417298317","0.020382031202316284","0.020382031202316284","0.020382031202316284","0.015589323565363885","0.015589323565363885","0.015589323565363885"
"21","0.03295871002599597","0.03295871002599597","0.03295871002599597","0.02109139393083751","0.02109139393083751","0.02109139393083751","0.01928324595093727","0.01928324595093727","0.01928324595093727","0.014966909289360047","0.014966909289360047","0.014966909289360047"
"22","0.03282329172827304","0.03282329172827304","0.03282329172827304","0.020545455805913663","0.020545455805913663","0.020545455805913663","0.019476668238639833","0.019476668238639833","0.019476668238639833","0.01519723355770111","0.01519723355770111","0.01519723355770111"
"23","0.032545496004167944","0.032545496004167944","0.032545496004167944","0.019729336872696877","0.019729336872696877","0.019729336872696877","0.0193088436126709","0.0193088436126709","0.0193088436126709","0.01348081074655056","0.01348081074655056","0.01348081074655056"
"24","0.029683431945741176","0.029683431945741176","0.029683431945741176","0.019097206443548204","0.019097206443548204","0.019097206443548204","0.01912162572145462","0.01912162572145462","0.01912162572145462","0.014090477898716926","0.014090477898716926","0.014090477898716926"
"25","0.029227137360721828","0.029227137360721828","0.029227137360721828","0.01896918663289398","0.01896918663289398","0.01896918663289398","0.0176876200735569","0.0176876200735569","0.0176876200735569","0.013429044038057327","0.013429044038057327","0.013429044038057327"
"26","0.18939065519720316","0.18939065519720316","0.18939065519720316","0.11749271399341524","0.11749271399341524","0.11749271399341524","0.15083702832460402","0.15083702832460402","0.15083702832460402","0.16371272683143615","0.16371272683143615","0.16371272683143615"
