"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy__MAX"
"0","0.00015","0.00015","0.00015","0.00015","0.00015","0.00015","0","0","0"
"1","0.015","0.015","0.015","0.0515","0.0515","0.0515","0.0785","0.0785","0.0785"
"2","0.015","0.015","0.015","0.0572","0.0572","0.0572","0.0505","0.0505","0.0505"
"3","0.01575","0.01575","0.01575","0.0746","0.0746","0.0746","0.0875","0.0875","0.0875"
"4","0.0272","0.0272","0.0272","0.0908","0.0908","0.0908","0.0915","0.0915","0.0915"
"5","0.03715","0.03715","0.03715","0.12025","0.12025","0.12025","0.1625","0.1625","0.1625"
"6","0.0376","0.0376","0.0376","0.1333","0.1333","0.1333","0.132","0.132","0.132"
"7","0.03935","0.03935","0.03935","0.14935","0.14935","0.14935","0.2","0.2","0.2"
"8","0.04355","0.04355","0.04355","0.1617","0.1617","0.1617","0.1705","0.1705","0.1705"
"9","0.04595","0.04595","0.04595","0.16835","0.16835","0.16835","0.223","0.223","0.223"
"10","0.0481","0.0481","0.0481","0.17555","0.17555","0.17555","0.1915","0.1915","0.1915"
"11","0.0508","0.0508","0.0508","0.18545","0.18545","0.18545","0.2165","0.2165","0.2165"
"12","0.05225","0.05225","0.05225","0.1944","0.1944","0.1944","0.173","0.173","0.173"
"13","0.0546","0.0546","0.0546","0.19935","0.19935","0.19935","0.2425","0.2425","0.2425"
"14","0.05735","0.05735","0.05735","0.204","0.204","0.204","0.202","0.202","0.202"
"15","0.0583","0.0583","0.0583","0.2135","0.2135","0.2135","0.2385","0.2385","0.2385"
"16","0.06155","0.06155","0.06155","0.2284","0.2284","0.2284","0.1895","0.1895","0.1895"
"17","0.065","0.065","0.065","0.2363","0.2363","0.2363","0.2535","0.2535","0.2535"
"18","0.06835","0.06835","0.06835","0.24765","0.24765","0.24765","0.2545","0.2545","0.2545"
"19","0.0704","0.0704","0.0704","0.25435","0.25435","0.25435","0.2615","0.2615","0.2615"
