"Step","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"0","0","0","0","0.0385","0.0385","0.0385","0.0375","0.0375","0.0375"
"1","0.52","0.52","0.52","0.531","0.531","0.531","0.0955","0.0955","0.0955"
"2","0.604","0.604","0.604","0.573","0.573","0.573","0.1","0.1","0.1"
"3","0.559","0.559","0.559","0.54","0.54","0.54","0.1","0.1","0.1"
"4","0.614","0.614","0.614","0.652","0.652","0.652","0.109","0.109","0.109"
"5","0.6455","0.6455","0.6455","0.711","0.711","0.711","0.1","0.1","0.1"
"6","0.675","0.675","0.675","0.7175","0.7175","0.7175","0.1285","0.1285","0.1285"
"7","0.654","0.654","0.654","0.695","0.695","0.695","0.1045","0.1045","0.1045"
"8","0.7125","0.7125","0.7125","0.7605","0.7605","0.7605","0.1475","0.1475","0.1475"
"9","0.6765","0.6765","0.6765","0.7645","0.7645","0.7645","0.1565","0.1565","0.1565"
"10","0.6335","0.6335","0.6335","0.75","0.75","0.75","0.1575","0.1575","0.1575"
"11","0.7345","0.7345","0.7345","0.7955","0.7955","0.7955","0.151","0.151","0.151"
"12","0.6575","0.6575","0.6575","0.817","0.817","0.817","0.1535","0.1535","0.1535"
"13","0.7145","0.7145","0.7145","0.7965","0.7965","0.7965","0.194","0.194","0.194"
"14","0.7275","0.7275","0.7275","0.8035","0.8035","0.8035","0.1795","0.1795","0.1795"
"15","0.7385","0.7385","0.7385","0.8085","0.8085","0.8085","0.2","0.2","0.2"
"16","0.7465","0.7465","0.7465","0.7755","0.7755","0.7755","0.1925","0.1925","0.1925"
"17","0.7275","0.7275","0.7275","0.789","0.789","0.789","0.2175","0.2175","0.2175"
"18","0.757","0.757","0.757","0.802","0.802","0.802","0.2205","0.2205","0.2205"
"19","0.709","0.709","0.709","0.808","0.808","0.808","0.2285","0.2285","0.2285"
"20","0.7385","0.7385","0.7385","0.82","0.82","0.82","0.2285","0.2285","0.2285"
"21","0.758","0.758","0.758","0.798","0.798","0.798","0.2355","0.2355","0.2355"
"22","0.779","0.779","0.779","0.805","0.805","0.805","0.239","0.239","0.239"
