"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX"
"0","0","0","0","0.00015","0.00015","0.00015","0.00015","0.00015","0.00015"
"1","0.501","0.501","0.501","0.015","0.015","0.015","0.015","0.015","0.015"
"2","0.501","0.501","0.501","0.015","0.015","0.015","0.015","0.015","0.015"
"3","0.5165","0.5165","0.5165","0.0158","0.0158","0.0158","0.01575","0.01575","0.01575"
"4","0.527","0.527","0.527","0.02705","0.02705","0.02705","0.0272","0.0272","0.0272"
"5","0.5","0.5","0.5","0.03315","0.03315","0.03315","0.03715","0.03715","0.03715"
"6","0.5","0.5","0.5","0.0362","0.0362","0.0362","0.0376","0.0376","0.0376"
"7","0.5","0.5","0.5","0.03925","0.03925","0.03925","0.03935","0.03935","0.03935"
"8","0.5","0.5","0.5","0.0426","0.0426","0.0426","0.04355","0.04355","0.04355"
"9","0.5","0.5","0.5","0.0446","0.0446","0.0446","0.04595","0.04595","0.04595"
"10","0.5005","0.5005","0.5005","0.0466","0.0466","0.0466","0.0481","0.0481","0.0481"
"11","0.5115","0.5115","0.5115","0.0489","0.0489","0.0489","0.0508","0.0508","0.0508"
