"Step","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"0","0","0","0","0.0375","0.0375","0.0375","0.0375","0.0375","0.0375"
"1","0.0795","0.0795","0.0795","0.1","0.1","0.1","0.3545","0.3545","0.3545"
"2","0.094","0.094","0.094","0.102","0.102","0.102","0.3635","0.3635","0.3635"
"3","0.094","0.094","0.094","0.1","0.1","0.1","0.544","0.544","0.544"
"4","0.0965","0.0965","0.0965","0.105","0.105","0.105","0.526","0.526","0.526"
"5","0.1025","0.1025","0.1025","0.1545","0.1545","0.1545","0.501","0.501","0.501"
"6","0.1075","0.1075","0.1075","0.2065","0.2065","0.2065","0.5035","0.5035","0.5035"
"7","0.125","0.125","0.125","0.147","0.147","0.147","0.5035","0.5035","0.5035"
"8","0.139","0.139","0.139","0.1925","0.1925","0.1925","0.5025","0.5025","0.5025"
"9","0.1475","0.1475","0.1475","0.169","0.169","0.169","0.5035","0.5035","0.5035"
"10","0.165","0.165","0.165","0.2185","0.2185","0.2185","0.5085","0.5085","0.5085"
"11","0.1685","0.1685","0.1685","0.217","0.217","0.217","0.5105","0.5105","0.5105"
"12","0.185","0.185","0.185","0.229","0.229","0.229","0.527","0.527","0.527"
"13","0.187","0.187","0.187","0.2365","0.2365","0.2365","0.527","0.527","0.527"
"14","0.1925","0.1925","0.1925","0.247","0.247","0.247","0.5355","0.5355","0.5355"
"15","0.2015","0.2015","0.2015","0.2295","0.2295","0.2295","0.5305","0.5305","0.5305"
"16","0.2005","0.2005","0.2005","0.254","0.254","0.254","0.552","0.552","0.552"
"17","0.208","0.208","0.208","0.2535","0.2535","0.2535","0.559","0.559","0.559"
"18","0.215","0.215","0.215","0.267","0.267","0.267","0.568","0.568","0.568"
"19","0.218","0.218","0.218","0.2615","0.2615","0.2615","0.6095","0.6095","0.6095"
"20","0.22","0.22","0.22","0.2735","0.2735","0.2735","0.639","0.639","0.639"
"21","0.217","0.217","0.217","0.2815","0.2815","0.2815","0.64","0.64","0.64"
"22","0.224","0.224","0.224","0.2765","0.2765","0.2765","0.666","0.666","0.666"
"23","0.217","0.217","0.217","0.272","0.272","0.272","0.674","0.674","0.674"
"24","0.222","0.222","0.222","0.281","0.281","0.281","0.679","0.679","0.679"
"25","0","0","0","0.032","0.032","0.032","0","0","0"
"26","0","0","0","0.081","0.081","0.081","0.0545","0.0545","0.0545"
"27","0","0","0","0.0855","0.0855","0.0855","0.1135","0.1135","0.1135"
"28","0.0345","0.0345","0.0345","0.1375","0.1375","0.1375","0.1325","0.1325","0.1325"
"29","0.076","0.076","0.076","0.131","0.131","0.131","0.131","0.131","0.131"
"30","0.114","0.114","0.114","0.129","0.129","0.129","0.1325","0.1325","0.1325"
"31","0.123","0.123","0.123","0.1355","0.1355","0.1355","0.1465","0.1465","0.1465"
"32","0.131","0.131","0.131","0.15","0.15","0.15","0.1505","0.1505","0.1505"
"33","0.133","0.133","0.133","0.1525","0.1525","0.1525","0.1535","0.1535","0.1535"
"34","0.1415","0.1415","0.1415","0.1545","0.1545","0.1545","0.1555","0.1555","0.1555"
"35","0.141","0.141","0.141","0.165","0.165","0.165","0.1555","0.1555","0.1555"
"36","0.1475","0.1475","0.1475","0.1635","0.1635","0.1635","0.1605","0.1605","0.1605"
"37","0.144","0.144","0.144","0.1625","0.1625","0.1625","0.161","0.161","0.161"
"38","0.151","0.151","0.151","0.1675","0.1675","0.1675","0.166","0.166","0.166"
"39","0.1505","0.1505","0.1505","0.168","0.168","0.168","0.1655","0.1655","0.1655"
"40","0.148","0.148","0.148","0.174","0.174","0.174","0.166","0.166","0.166"
"41","0.1485","0.1485","0.1485","0.1745","0.1745","0.1745","0.1675","0.1675","0.1675"
"42","0.153","0.153","0.153","0.1805","0.1805","0.1805","0.1795","0.1795","0.1795"
"43","0.1545","0.1545","0.1545","0.1815","0.1815","0.1815","0.177","0.177","0.177"
"44","0.154","0.154","0.154","0.181","0.181","0.181","0.1825","0.1825","0.1825"
"45","0.156","0.156","0.156","0.1885","0.1885","0.1885","0.175","0.175","0.175"
"46","0.16","0.16","0.16","0.19","0.19","0.19","0.1865","0.1865","0.1865"
"47","0.1565","0.1565","0.1565","0.193","0.193","0.193","0.188","0.188","0.188"
