"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"2","0.199","0.199","0.199","","","","0.0695","0.0695","0.0695","","",""
"3","","","","","","","","","","0.4975","0.4975","0.4975"
"5","0.13","0.13","0.13","","","","0.059","0.059","0.059","","",""
"6","","","","","","","","","","0.5","0.5","0.5"
"7","","","","","","","","","","0.5","0.5","0.5"
"12","0.351","0.351","0.351","","","","0.1495","0.1495","0.1495","","",""
"14","","","","","","","","","","0.52","0.52","0.52"
"16","0.3825","0.3825","0.3825","","","","0.1625","0.1625","0.1625","","",""
"17","0.3875","0.3875","0.3875","0.698","0.698","0.698","0.1625","0.1625","0.1625","","",""
"21","","","","0.6835","0.6835","0.6835","","","","","",""
"22","","","","0.667","0.667","0.667","","","","","",""
"23","","","","","","","","","","0.612","0.612","0.612"
"25","","","","0","0","0","","","","","",""
"26","","","","","","","","","","0","0","0"
"27","","","","","","","","","","0","0","0"
"28","","","","","","","","","","0","0","0"
"29","","","","","","","","","","0.0515","0.0515","0.0515"
"37","0.1305","0.1305","0.1305","0.5505","0.5505","0.5505","0.118","0.118","0.118","","",""
"39","0.142","0.142","0.142","","","","0.1035","0.1035","0.1035","","",""
"42","","","","0.5735","0.5735","0.5735","","","","0.1275","0.1275","0.1275"
"45","0.1655","0.1655","0.1655","","","","0.118","0.118","0.118","","",""
"48","","","","0.547","0.547","0.547","","","","","",""
"50","","","","0","0","0","","","","","",""
"51","","","","","","","","","","0","0","0"
"52","","","","0.4995","0.4995","0.4995","","","","","",""
"56","","","","0.516","0.516","0.516","","","","","",""
"57","0.105","0.105","0.105","","","","0.096","0.096","0.096","","",""
"58","","","","0.537","0.537","0.537","","","","","",""
"59","","","","","","","","","","0.12","0.12","0.12"
"61","","","","0.57","0.57","0.57","","","","","",""
"62","0.167","0.167","0.167","","","","0.142","0.142","0.142","","",""
"64","0.1695","0.1695","0.1695","","","","0.1415","0.1415","0.1415","","",""
"70","0.1835","0.1835","0.1835","","","","0.145","0.145","0.145","","",""
"71","","","","0.5675","0.5675","0.5675","","","","0.148","0.148","0.148"
"74","","","","","","","","","","0.1635","0.1635","0.1635"
"77","0.0085","0.0085","0.0085","","","","0.009","0.009","0.009","","",""
"79","","","","0.5685","0.5685","0.5685","","","","","",""
"81","","","","","","","","","","0.1305","0.1305","0.1305"
"82","","","","","","","","","","0.1335","0.1335","0.1335"
"83","","","","","","","","","","0.1435","0.1435","0.1435"
"84","","","","","","","","","","0.1545","0.1545","0.1545"
"88","","","","0.597","0.597","0.597","","","","","",""
"89","","","","0.5835","0.5835","0.5835","","","","","",""
"92","0.19","0.19","0.19","","","","0.1715","0.1715","0.1715","","",""
"94","0.202","0.202","0.202","","","","0.1755","0.1755","0.1755","","",""
"99","0.213","0.213","0.213","","","","0.195","0.195","0.195","","",""
"100","0","0","0","0","0","0","0","0","0","","",""
"101","","","","0.5175","0.5175","0.5175","","","","","",""
"102","","","","0.5685","0.5685","0.5685","","","","","",""
"103","","","","","","","","","","0.0665","0.0665","0.0665"
"104","","","","0.547","0.547","0.547","","","","","",""
"109","0.164","0.164","0.164","","","","0.155","0.155","0.155","","",""
"111","","","","0.593","0.593","0.593","","","","","",""
"112","","","","","","","","","","0.166","0.166","0.166"
"116","0.1895","0.1895","0.1895","","","","0.168","0.168","0.168","","",""
"120","","","","0.6335","0.6335","0.6335","","","","","",""
"122","","","","","","","","","","0.178","0.178","0.178"
"123","","","","0.6695","0.6695","0.6695","","","","","",""
"131","","","","0.5965","0.5965","0.5965","","","","","",""
"132","","","","0.573","0.573","0.573","","","","","",""
"135","","","","","","","","","","0.146","0.146","0.146"
"137","","","","0.6075","0.6075","0.6075","","","","","",""
"138","","","","0.65","0.65","0.65","","","","","",""
"139","","","","","","","","","","0.161","0.161","0.161"
"140","0.1955","0.1955","0.1955","","","","0.163","0.163","0.163","","",""
"141","0.1925","0.1925","0.1925","","","","0.163","0.163","0.163","","",""
"146","","","","","","","","","","0.191","0.191","0.191"
"147","0.2165","0.2165","0.2165","0.614","0.614","0.614","0.1765","0.1765","0.1765","","",""
"148","0.219","0.219","0.219","","","","0.179","0.179","0.179","","",""
"149","","","","0.617","0.617","0.617","","","","","",""
"150","","","","0","0","0","","","","","",""
"151","0","0","0","","","","0","0","0","","",""
"152","","","","0.5215","0.5215","0.5215","","","","","",""
"154","0.077","0.077","0.077","","","","0.08","0.08","0.08","","",""
"155","0.1165","0.1165","0.1165","","","","0.119","0.119","0.119","","",""
"156","","","","","","","","","","0.1405","0.1405","0.1405"
"158","","","","","","","","","","0.1655","0.1655","0.1655"
"159","","","","","","","","","","0.175","0.175","0.175"
"162","","","","0.568","0.568","0.568","","","","","",""
"168","","","","0.584","0.584","0.584","","","","0.2155","0.2155","0.2155"
"169","0.231","0.231","0.231","","","","0.2075","0.2075","0.2075","","",""
"172","","","","","","","","","","0.2195","0.2195","0.2195"
"174","","","","0.629","0.629","0.629","","","","","",""
"177","","","","0.539","0.539","0.539","","","","","",""
"181","0.1465","0.1465","0.1465","","","","0.1455","0.1455","0.1455","","",""
"182","","","","","","","","","","0.1685","0.1685","0.1685"
"183","0.181","0.181","0.181","","","","0.173","0.173","0.173","","",""
"184","","","","0.582","0.582","0.582","","","","","",""
"186","0.2005","0.2005","0.2005","0.6205","0.6205","0.6205","0.1775","0.1775","0.1775","","",""
"189","","","","","","","","","","0.19","0.19","0.19"
"192","","","","","","","","","","0.1895","0.1895","0.1895"
"196","","","","","","","","","","0.1985","0.1985","0.1985"
"197","","","","","","","","","","0.197","0.197","0.197"
"199","","","","","","","","","","0.1945","0.1945","0.1945"
"201","","","","","","","","","","0","0","0"
"205","","","","0.5895","0.5895","0.5895","","","","","",""
"206","","","","","","","","","","0.1135","0.1135","0.1135"
"210","","","","0.572","0.572","0.572","","","","","",""
"216","0.182","0.182","0.182","","","","0.152","0.152","0.152","0.1615","0.1615","0.1615"
"219","","","","0.604","0.604","0.604","","","","","",""
"221","","","","","","","","","","0.169","0.169","0.169"
"223","","","","","","","","","","0.1815","0.1815","0.1815"
"225","0","0","0","","","","0","0","0","","",""
"230","","","","","","","","","","0.112","0.112","0.112"
"233","0.1665","0.1665","0.1665","0.6515","0.6515","0.6515","0.1565","0.1565","0.1565","","",""
"234","","","","0.579","0.579","0.579","","","","","",""
"237","","","","0.6075","0.6075","0.6075","","","","","",""
"239","0.1855","0.1855","0.1855","0.6125","0.6125","0.6125","0.1705","0.1705","0.1705","0.172","0.172","0.172"
"240","","","","0.6225","0.6225","0.6225","","","","","",""
"242","0.194","0.194","0.194","","","","0.171","0.171","0.171","","",""
"245","","","","","","","","","","0.1795","0.1795","0.1795"
"246","","","","0.656","0.656","0.656","","","","0.1865","0.1865","0.1865"
"250","","","","0","0","0","","","","","",""
"251","","","","0.5","0.5","0.5","","","","","",""
