Step,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX
1,4.45E-08,4.45E-08,4.45E-08,4.45E-08,4.45E-08,4.45E-08,4.45E-08,4.45E-08,4.45E-08
3,3.53E-07,3.53E-07,3.53E-07,3.53E-07,3.53E-07,3.53E-07,3.53E-07,3.53E-07,3.53E-07
6,9.40E-08,9.40E-08,9.40E-08,9.40E-08,9.40E-08,9.40E-08,9.40E-08,9.40E-08,9.40E-08
8,8.64E-08,8.64E-08,8.64E-08,8.64E-08,8.64E-08,8.64E-08,8.64E-08,8.64E-08,8.64E-08
12,7.67E-08,7.67E-08,7.67E-08,7.67E-08,7.67E-08,7.67E-08,7.67E-08,7.67E-08,7.67E-08
13,7.49E-08,7.49E-08,7.49E-08,7.49E-08,7.49E-08,7.49E-08,7.49E-08,7.49E-08,7.49E-08
20,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08
24,6.30E-08,6.30E-08,6.30E-08,6.30E-08,6.30E-08,6.30E-08,6.30E-08,6.30E-08,6.30E-08
27,1.79E-07,1.79E-07,1.79E-07,1.79E-07,1.79E-07,1.79E-07,1.79E-07,1.79E-07,1.79E-07
35,7.30E-08,7.30E-08,7.30E-08,7.30E-08,7.30E-08,7.30E-08,7.30E-08,7.30E-08,7.30E-08
37,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08
40,6.80E-08,6.80E-08,6.80E-08,6.80E-08,6.80E-08,6.80E-08,6.80E-08,6.80E-08,6.80E-08
45,6.54E-08,6.54E-08,6.54E-08,6.54E-08,6.54E-08,6.54E-08,6.54E-08,6.54E-08,6.54E-08
70,6.13E-08,6.13E-08,6.13E-08,6.13E-08,6.13E-08,6.13E-08,6.13E-08,6.13E-08,6.13E-08
73,6.01E-08,6.01E-08,6.01E-08,6.01E-08,6.01E-08,6.01E-08,6.01E-08,6.01E-08,6.01E-08
78,1.24E-07,1.24E-07,1.24E-07,1.24E-07,1.24E-07,1.24E-07,1.24E-07,1.24E-07,1.24E-07
85,6.51E-08,6.51E-08,6.51E-08,6.51E-08,6.51E-08,6.51E-08,6.51E-08,6.51E-08,6.51E-08
92,5.77E-08,5.77E-08,5.77E-08,5.77E-08,5.77E-08,5.77E-08,5.77E-08,5.77E-08,5.77E-08
96,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08
101,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07
117,5.89E-08,5.89E-08,5.89E-08,5.89E-08,5.89E-08,5.89E-08,5.89E-08,5.89E-08,5.89E-08
120,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08
126,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07,2.08E-07
130,8.60E-08,8.60E-08,8.60E-08,8.60E-08,8.60E-08,8.60E-08,8.60E-08,8.60E-08,8.60E-08
133,6.99E-08,6.99E-08,6.99E-08,6.99E-08,6.99E-08,6.99E-08,6.99E-08,6.99E-08,6.99E-08
