"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MAX"
"0","0.00015","0.00015","0.00015","0.0375","0.0375","0.0375","0","0","0"
"1","0.0515","0.0515","0.0515","0.1","0.1","0.1","0.296","0.296","0.296"
"2","0.0572","0.0572","0.0572","0.1","0.1","0.1","0.2055","0.2055","0.2055"
"3","0.0746","0.0746","0.0746","0.183","0.183","0.183","0.08","0.08","0.08"
"4","0.0908","0.0908","0.0908","0.18","0.18","0.18","0.05","0.05","0.05"
"5","0.12025","0.12025","0.12025","0.194","0.194","0.194","0.0675","0.0675","0.0675"
"6","0.1333","0.1333","0.1333","0.2495","0.2495","0.2495","0.108","0.108","0.108"
"7","0.14935","0.14935","0.14935","0.278","0.278","0.278","0.3345","0.3345","0.3345"
"8","0.1617","0.1617","0.1617","0.234","0.234","0.234","0.3365","0.3365","0.3365"
"9","0.16835","0.16835","0.16835","0.1975","0.1975","0.1975","0.4055","0.4055","0.4055"
"10","0.17555","0.17555","0.17555","0.267","0.267","0.267","0.4495","0.4495","0.4495"
"11","0.18545","0.18545","0.18545","0.2775","0.2775","0.2775","0.468","0.468","0.468"
"12","0.1944","0.1944","0.1944","0.299","0.299","0.299","0.4245","0.4245","0.4245"
"13","0.19935","0.19935","0.19935","0.32","0.32","0.32","0.4355","0.4355","0.4355"
"14","0.204","0.204","0.204","0.3125","0.3125","0.3125","0.401","0.401","0.401"
"15","0.2135","0.2135","0.2135","0.3545","0.3545","0.3545","0.412","0.412","0.412"
"16","0.2284","0.2284","0.2284","0.289","0.289","0.289","0.4165","0.4165","0.4165"
"17","0.2363","0.2363","0.2363","0.267","0.267","0.267","0.379","0.379","0.379"
"18","0.24765","0.24765","0.24765","0.2035","0.2035","0.2035","0.384","0.384","0.384"
"19","0.25435","0.25435","0.25435","0.153","0.153","0.153","0.3465","0.3465","0.3465"
"20","0.2623","0.2623","0.2623","0.2945","0.2945","0.2945","0.367","0.367","0.367"
"21","0.2638","0.2638","0.2638","0.2695","0.2695","0.2695","0.359","0.359","0.359"
"22","0.26845","0.26845","0.26845","0.3185","0.3185","0.3185","0.3985","0.3985","0.3985"
"23","0.27095","0.27095","0.27095","0.268","0.268","0.268","0.393","0.393","0.393"
"24","0.2742","0.2742","0.2742","0.1465","0.1465","0.1465","0.3805","0.3805","0.3805"
"25","0.00065","0.00065","0.00065","0.0095","0.0095","0.0095","0","0","0"
"26","0.0174","0.0174","0.0174","0.049","0.049","0.049","0","0","0"
"27","0.0261","0.0261","0.0261","0.082","0.082","0.082","0","0","0"
"28","0.0373","0.0373","0.0373","0.0495","0.0495","0.0495","0","0","0"
"29","0.0441","0.0441","0.0441","0.135","0.135","0.135","0.0205","0.0205","0.0205"
"30","0.04925","0.04925","0.04925","0.1125","0.1125","0.1125","0.0655","0.0655","0.0655"
"31","0.05365","0.05365","0.05365","0.142","0.142","0.142","0.099","0.099","0.099"
