"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"2","0.199","0.199","0.199","","","","","",""
"5","","","","0.059","0.059","0.059","","",""
"10","","","","","","","0.5","0.5","0.5"
"11","","","","","","","0.508","0.508","0.508"
"12","","","","0.1495","0.1495","0.1495","","",""
"20","","","","","","","0.5855","0.5855","0.5855"
"24","0.408","0.408","0.408","","","","0.6215","0.6215","0.6215"
"27","0","0","0","0","0","0","","",""
"28","","","","0","0","0","","",""
"32","","","","0.0835","0.0835","0.0835","","",""
"34","0.132","0.132","0.132","","","","","",""
"35","0.1385","0.1385","0.1385","0.102","0.102","0.102","","",""
"40","","","","0.1155","0.1155","0.1155","0.13","0.13","0.13"
"41","0.158","0.158","0.158","","","","","",""
"47","0.1725","0.1725","0.1725","","","","","",""
"54","","","","","","","0.058","0.058","0.058"
"55","","","","","","","0.07","0.07","0.07"
"56","0.087","0.087","0.087","","","","","",""
"57","","","","","","","0.107","0.107","0.107"
"60","","","","0.1165","0.1165","0.1165","","",""
"61","","","","0.1215","0.1215","0.1215","","",""
"67","","","","0.1455","0.1455","0.1455","","",""
"68","","","","","","","0.143","0.143","0.143"
"79","0.117","0.117","0.117","","","","","",""
"81","0.1355","0.1355","0.1355","0.127","0.127","0.127","","",""
"82","0.149","0.149","0.149","0.144","0.144","0.144","","",""
"83","0.1565","0.1565","0.1565","","","","","",""
"85","0.1635","0.1635","0.1635","","","","0.154","0.154","0.154"
"88","0.19","0.19","0.19","0.1765","0.1765","0.1765","","",""
"90","","","","0.1695","0.1695","0.1695","","",""
"92","","","","0.1715","0.1715","0.1715","","",""
"98","0.2165","0.2165","0.2165","","","","","",""
"102","","","","0.0355","0.0355","0.0355","","",""
"106","","","","0.1175","0.1175","0.1175","","",""
"110","0.1695","0.1695","0.1695","","","","","",""
"111","","","","","","","0.166","0.166","0.166"
"112","","","","0.1595","0.1595","0.1595","","",""
"113","","","","0.1555","0.1555","0.1555","","",""
"116","","","","","","","0.1685","0.1685","0.1685"
"118","","","","0.163","0.163","0.163","","",""
"119","","","","0.169","0.169","0.169","","",""
"120","0.1955","0.1955","0.1955","","","","","",""
"123","0.1995","0.1995","0.1995","","","","","",""
"126","0","0","0","","","","","",""
"127","0.0015","0.0015","0.0015","","","","","",""
"130","","","","0.087","0.087","0.087","","",""
"131","","","","","","","0.0875","0.0875","0.0875"
"132","","","","","","","0.097","0.097","0.097"
"134","","","","0.1255","0.1255","0.1255","","",""
"135","","","","0.14","0.14","0.14","","",""
"136","","","","0.145","0.145","0.145","","",""
"139","0.1885","0.1885","0.1885","","","","0.161","0.161","0.161"
"141","","","","","","","0.1715","0.1715","0.1715"
"143","0.205","0.205","0.205","","","","","",""
"146","0.209","0.209","0.209","","","","","",""
"148","0.219","0.219","0.219","","","","","",""
"150","","","","0","0","0","","",""
"151","","","","","","","0","0","0"
"154","","","","0.08","0.08","0.08","","",""
"157","0.157","0.157","0.157","","","","","",""
"158","","","","","","","0.1655","0.1655","0.1655"
"159","","","","","","","0.175","0.175","0.175"
"169","","","","","","","0.2155","0.2155","0.2155"
"170","","","","0.212","0.212","0.212","","",""
"177","0.0365","0.0365","0.0365","","","","","",""
"182","","","","","","","0.1685","0.1685","0.1685"
"184","","","","","","","0.1795","0.1795","0.1795"
"185","","","","0.184","0.184","0.184","","",""
"187","0.197","0.197","0.197","0.1845","0.1845","0.1845","","",""
"188","","","","","","","0.188","0.188","0.188"
"191","","","","0.184","0.184","0.184","","",""
"192","0.21","0.21","0.21","0.189","0.189","0.189","","",""
"193","","","","","","","0.1925","0.1925","0.1925"
"195","","","","","","","0.198","0.198","0.198"
"196","","","","","","","0.1985","0.1985","0.1985"
"198","0.219","0.219","0.219","","","","","",""
"200","","","","0","0","0","","",""
"202","0","0","0","0","0","0","","",""
"207","","","","","","","0.122","0.122","0.122"
"212","0.159","0.159","0.159","","","","0.155","0.155","0.155"
"213","0.1645","0.1645","0.1645","","","","","",""
"215","0.178","0.178","0.178","0.152","0.152","0.152","","",""
"217","","","","","","","0.1615","0.1615","0.1615"
"218","0.1825","0.1825","0.1825","","","","","",""
"220","0.187","0.187","0.187","","","","","",""
"222","","","","","","","0.175","0.175","0.175"
"225","","","","","","","0","0","0"
"228","0.0015","0.0015","0.0015","","","","","",""
"229","","","","0.094","0.094","0.094","0.075","0.075","0.075"
