"Step","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX"
"0","0.0038","0.0038","0.0038","0.0038","0.0038","0.0038","0.0375","0.0375","0.0375"
"1","0.0657","0.0657","0.0657","0.02475","0.02475","0.02475","0.1015","0.1015","0.1015"
"2","0.0909","0.0909","0.0909","0.0355","0.0355","0.0355","0.102","0.102","0.102"
"3","0.1304","0.1304","0.1304","0.0547","0.0547","0.0547","0.112","0.112","0.112"
"4","0.16745","0.16745","0.16745","0.067","0.067","0.067","0.173","0.173","0.173"
"5","0.1826","0.1826","0.1826","0.07085","0.07085","0.07085","0.183","0.183","0.183"
"6","0.1937","0.1937","0.1937","0.0828","0.0828","0.0828","0.2055","0.2055","0.2055"
"7","0.2091","0.2091","0.2091","0.08815","0.08815","0.08815","0.1605","0.1605","0.1605"
"8","0.2195","0.2195","0.2195","0.09315","0.09315","0.09315","0.168","0.168","0.168"
"9","0.23275","0.23275","0.23275","0.1024","0.1024","0.1024","0.1335","0.1335","0.1335"
"10","0.24205","0.24205","0.24205","0.10845","0.10845","0.10845","0.199","0.199","0.199"
"11","0.25285","0.25285","0.25285","0.11555","0.11555","0.11555","0.1715","0.1715","0.1715"
"12","0.2671","0.2671","0.2671","0.12435","0.12435","0.12435","0.2245","0.2245","0.2245"
"13","0.27705","0.27705","0.27705","0.133","0.133","0.133","0.2","0.2","0.2"
"14","0.2925","0.2925","0.2925","0.14005","0.14005","0.14005","0.218","0.218","0.218"
