Step,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX
0,0.0038,0.0038,0.0038,0.0375,0.0375,0.029,0.0375,0.0375,0.0375
1,0.02485,0.02485,0.02485,0.3505,0.3505,0.147,0.0975,0.0975,0.0975
2,0.0318,0.0318,0.0318,0.3595,0.3595,0.155,0.1,0.1,0.1
3,0.0528,0.0528,0.0528,0.52,0.52,0.168,0.103,0.103,0.103
4,0.06955,0.06955,0.06955,0.5275,0.5275,0.166,0.127,0.127,0.127
5,0.07295,0.07295,0.07295,0.512,0.512,0.1785,0.111,0.111,0.111
6,0.0809,0.0809,0.0809,0.501,0.501,0.1785,0.143,0.143,0.143
7,0.0893,0.0893,0.0893,0.503,0.503,0.186,0.1395,0.1395,0.1395
8,0.09515,0.09515,0.09515,0.502,0.502,0.2,0.1425,0.1425,0.1425
9,0.1043,0.1043,0.1043,0.5025,0.5025,0.2035,0.1465,0.1465,0.1465
10,0.1121,0.1121,0.1121,0.511,0.511,0.2035,0.134,0.134,0.134
11,0.1185,0.1185,0.1185,0.512,0.512,0.213,0.182,0.182,0.182
12,0.12625,0.12625,0.12625,0.524,0.524,0.2135,0.172,0.172,0.172
13,0.1358,0.1358,0.1358,0.5225,0.5225,0.213,0.1755,0.1755,0.1755
14,0.1433,0.1433,0.1433,0.5195,0.5195,0.218,0.1935,0.1935,0.1935
15,0.15675,0.15675,0.15675,0.5355,0.5355,0.2165,0.1885,0.1885,0.1885
16,0.1735,0.1735,0.1735,0.5475,0.5475,0.2225,0.195,0.195,0.195
17,0.1761,0.1761,0.1761,0.539,0.539,0.23,0.216,0.216,0.216
18,0.18335,0.18335,0.18335,0.5645,0.5645,0.229,0.224,0.224,0.224
19,0.1903,0.1903,0.1903,0.5825,0.5825,0.235,0.2295,0.2295,0.2295
20,0.19955,0.19955,0.19955,0.619,0.619,0.233,0.242,0.242,0.242
21,0.20815,0.20815,0.20815,0.623,0.623,0.23,0.2395,0.2395,0.2395
22,0.21405,0.21405,0.21405,0.6385,0.6385,0.2385,0.2375,0.2375,0.2375
23,0.21825,0.21825,0.21825,0.661,0.661,0.2395,0.243,0.243,0.243
24,0.2233,0.2233,0.2233,0.668,0.668,0.0215,0.245,0.245,0.245
25,0.09595,0.09595,0.09595,0,0,0,0.0325,0.0325,0.0325
26,0.17385,0.17385,0.17385,0.058,0.058,0.058,0.0775,0.0775,0.0775
27,0.199,0.199,0.199,0.102,0.102,0.102,0.0865,0.0865,0.0865
28,0.21455,0.21455,0.21455,0.133,0.133,0.133,0.134,0.134,0.134
29,0.22175,0.22175,0.22175,0.127,0.127,0.127,0.1255,0.1255,0.1255
30,0.2278,0.2278,0.2278,0.127,0.127,0.127,0.126,0.126,0.126
31,0.23975,0.23975,0.23975,0.139,0.139,0.139,0.1355,0.1355,0.1355
32,0.24055,0.24055,0.24055,0.1535,0.1535,0.1535,0.145,0.145,0.145
33,0.24565,0.24565,0.24565,0.156,0.156,0.156,0.152,0.152,0.152
