"Step","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MIN","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MAX"
"0","0.514","0.514","0.514"
"1","0.4995","0.4995","0.4995"
"2","0.5","0.5","0.5"
"3","0.502","0.502","0.502"
"4","0.5","0.5","0.5"
"5","0.515","0.515","0.515"
"6","0.552","0.552","0.552"
"7","0.609","0.609","0.609"
"8","0.676","0.676","0.676"
"9","0.707","0.707","0.707"
"10","0","0","0"
"11","0.0005","0.0005","0.0005"
"12","0.4105","0.4105","0.4105"
"13","0.539","0.539","0.539"
"14","0.567","0.567","0.567"
"15","0.582","0.582","0.582"
"16","0.591","0.591","0.591"
"17","0.585","0.585","0.585"
"18","0.597","0.597","0.597"
"19","0.6505","0.6505","0.6505"
"20","0","0","0"
"21","0.043","0.043","0.043"
"22","0.1675","0.1675","0.1675"
"23","0.5675","0.5675","0.5675"
"24","0.574","0.574","0.574"
"25","0.5755","0.5755","0.5755"
"26","0.5765","0.5765","0.5765"
"27","0.583","0.583","0.583"
"28","0.587","0.587","0.587"
"29","0.575","0.575","0.575"
"30","0","0","0"
"31","0.05","0.05","0.05"
"32","0.378","0.378","0.378"
"33","0.5205","0.5205","0.5205"
"34","0.5635","0.5635","0.5635"
"35","0.551","0.551","0.551"
"36","0.5645","0.5645","0.5645"
"37","0.572","0.572","0.572"
"38","0.6095","0.6095","0.6095"
"39","0.62","0.62","0.62"
"40","0","0","0"
"41","0.1","0.1","0.1"
"42","0.4245","0.4245","0.4245"
"43","0.553","0.553","0.553"
"44","0.543","0.543","0.543"
"45","0.5815","0.5815","0.5815"
"46","0.5715","0.5715","0.5715"
"47","0.578","0.578","0.578"
"48","0.551","0.551","0.551"
"49","0.596","0.596","0.596"
"50","0","0","0"
"51","0.1","0.1","0.1"
"52","0.4635","0.4635","0.4635"
"53","0.5085","0.5085","0.5085"
"54","0.5085","0.5085","0.5085"
"55","0.514","0.514","0.514"
"56","0.518","0.518","0.518"
"57","0.5515","0.5515","0.5515"
"58","0.536","0.536","0.536"
"59","0.568","0.568","0.568"
"60","0","0","0"
"61","0.126","0.126","0.126"
"62","0.502","0.502","0.502"
"63","0.5","0.5","0.5"
"64","0.5","0.5","0.5"
"65","0.5075","0.5075","0.5075"
"66","0.527","0.527","0.527"
"67","0.637","0.637","0.637"
"68","0.5945","0.5945","0.5945"
"69","0.592","0.592","0.592"
"70","0","0","0"
"71","0.3445","0.3445","0.3445"
"72","0.5155","0.5155","0.5155"
"73","0.504","0.504","0.504"
"74","0.559","0.559","0.559"
"75","0.561","0.561","0.561"
"76","0.6145","0.6145","0.6145"
"77","0.578","0.578","0.578"
"78","0.55","0.55","0.55"
"79","0.5685","0.5685","0.5685"
"80","0","0","0"
"81","0.409","0.409","0.409"
"82","0.5105","0.5105","0.5105"
"83","0.5155","0.5155","0.5155"
"84","0.517","0.517","0.517"
"85","0.5225","0.5225","0.5225"
"86","0.554","0.554","0.554"
"87","0.563","0.563","0.563"
"88","0.583","0.583","0.583"
"89","0.572","0.572","0.572"
"90","0","0","0"
"91","0.505","0.505","0.505"
"92","0.523","0.523","0.523"
"93","0.5125","0.5125","0.5125"
"94","0.5415","0.5415","0.5415"
"95","0.5435","0.5435","0.5435"
"96","0.587","0.587","0.587"
"97","0.5725","0.5725","0.5725"
"98","0.544","0.544","0.544"
"99","0.536","0.536","0.536"
"100","0","0","0"
"101","0.4745","0.4745","0.4745"
"102","0.531","0.531","0.531"
"103","0.547","0.547","0.547"
"104","0.5635","0.5635","0.5635"
"105","0.564","0.564","0.564"
"106","0.5255","0.5255","0.5255"
"107","0.5615","0.5615","0.5615"
"108","0.5705","0.5705","0.5705"
"109","0.5755","0.5755","0.5755"
"110","0","0","0"
"111","0.5815","0.5815","0.5815"
"112","0.6045","0.6045","0.6045"
"113","0.603","0.603","0.603"
"114","0.6475","0.6475","0.6475"
"115","0.644","0.644","0.644"
"116","0.642","0.642","0.642"
"117","0.618","0.618","0.618"
"118","0.6845","0.6845","0.6845"
"119","0.675","0.675","0.675"
"120","0","0","0"
"121","0.451","0.451","0.451"
"122","0.5","0.5","0.5"
"123","0.555","0.555","0.555"
"124","0.618","0.618","0.618"
"125","0.583","0.583","0.583"
"126","0.53","0.53","0.53"
"127","0.525","0.525","0.525"
"128","0.523","0.523","0.523"
"129","0.5195","0.5195","0.5195"
"130","0","0","0"
"131","0.5","0.5","0.5"
"132","0.5695","0.5695","0.5695"
"133","0.557","0.557","0.557"
"134","0.6105","0.6105","0.6105"
"135","0.5765","0.5765","0.5765"
"136","0.594","0.594","0.594"
"137","0.581","0.581","0.581"
"138","0.6055","0.6055","0.6055"
"139","0.5495","0.5495","0.5495"
"140","0.042","0.042","0.042"
"141","0.4995","0.4995","0.4995"
"142","0.5385","0.5385","0.5385"
"143","0.5445","0.5445","0.5445"
"144","0.561","0.561","0.561"
"145","0.562","0.562","0.562"
"146","0.5785","0.5785","0.5785"
"147","0.543","0.543","0.543"
"148","0.547","0.547","0.547"
"149","0.5925","0.5925","0.5925"
"150","0.0415","0.0415","0.0415"
