"Step","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MAX"
"0","0.794","0.794","0.794"
"2","0.228","0.228","0.228"
"5","0.451","0.451","0.451"
"7","0.519","0.519","0.519"
"9","0.585","0.585","0.585"
"11","0.635","0.635","0.635"
"13","0.686","0.686","0.686"
"14","0.696","0.696","0.696"
"17","0.728","0.728","0.728"
"28","0.825","0.825","0.825"
"33","0.843","0.843","0.843"
"36","0.847","0.847","0.847"
"39","0.859","0.859","0.859"
"46","0.874","0.874","0.874"
"49","0.887","0.887","0.887"
"50","0.882","0.882","0.882"
"53","0.894","0.894","0.894"
"54","0.891","0.891","0.891"
"55","0.891","0.891","0.891"
"57","0.897","0.897","0.897"
"64","0.903","0.903","0.903"
"65","0.906","0.906","0.906"
"73","0.914","0.914","0.914"
"74","0.911","0.911","0.911"
"78","0.917","0.917","0.917"
"81","0.914","0.914","0.914"
"83","0.914","0.914","0.914"
"86","0.916","0.916","0.916"
"92","0.923","0.923","0.923"
"93","0.925","0.925","0.925"
"97","0.929","0.929","0.929"
"98","0.93","0.93","0.93"
"105","0.932","0.932","0.932"
"106","0.93","0.93","0.93"
"111","0.931","0.931","0.931"
"119","0.937","0.937","0.937"
"122","0.94","0.94","0.94"
"123","0.94","0.94","0.94"
"125","0.94","0.94","0.94"
"127","0.94","0.94","0.94"
"129","0.943","0.943","0.943"
"131","0.944","0.944","0.944"
"134","0.942","0.942","0.942"
"137","0.944","0.944","0.944"
"139","0.94","0.94","0.94"
"140","0.944","0.944","0.944"
"141","0.947","0.947","0.947"
"143","0.945","0.945","0.945"
"148","0.944","0.944","0.944"
"149","0.942","0.942","0.942"
"155","0.946","0.946","0.946"
"156","0.945","0.945","0.945"
"157","0.944","0.944","0.944"
"159","0.944","0.944","0.944"
"163","0.947","0.947","0.947"
"165","0.947","0.947","0.947"
"166","0.945","0.945","0.945"
"168","0.951","0.951","0.951"
"170","0.951","0.951","0.951"
"171","0.951","0.951","0.951"
"173","0.946","0.946","0.946"
"179","0.953","0.953","0.953"
"181","0.949","0.949","0.949"
"185","0.949","0.949","0.949"
"191","0.95","0.95","0.95"
"193","0.952","0.952","0.952"
"198","0.955","0.955","0.955"
"200","0.958","0.958","0.958"
"203","0.951","0.951","0.951"
"213","0.958","0.958","0.958"
"216","0.958","0.958","0.958"
"219","0.96","0.96","0.96"
"222","0.957","0.957","0.957"
"227","0.956","0.956","0.956"
"229","0.958","0.958","0.958"
"230","0.957","0.957","0.957"
"231","0.957","0.957","0.957"
"241","0.959","0.959","0.959"
"246","0.956","0.956","0.956"
"247","0.961","0.961","0.961"
"248","0.959","0.959","0.959"
"249","0.963","0.963","0.963"
"251","0.963","0.963","0.963"
"257","0.961","0.961","0.961"
"260","0.962","0.962","0.962"
"265","0.963","0.963","0.963"
"276","0.964","0.964","0.964"
"283","0.962","0.962","0.962"
"285","0.964","0.964","0.964"
"287","0.962","0.962","0.962"
"292","0.962","0.962","0.962"
"295","0.966","0.966","0.966"
"304","0.964","0.964","0.964"
"305","0.963","0.963","0.963"
"307","0.964","0.964","0.964"
"311","0.965","0.965","0.965"
"314","0.963","0.963","0.963"
"320","0.966","0.966","0.966"
"321","0.964","0.964","0.964"
"323","0.965","0.965","0.965"
"334","0.968","0.968","0.968"
