"Step","CIFAR100_CNN_FedSTGM_sgd_lr0.05 - cosine_count/positive (>0)","CIFAR100_CNN_FedSTGM_sgd_lr0.05 - cosine_count/positive (>0)__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05 - cosine_count/positive (>0)__MAX"
"0","9","9","9"
"1","9","9","9"
"2","1","1","1"
"3","4","4","4"
"4","2","2","2"
"5","3","3","3"
"6","3","3","3"
"7","3","3","3"
"8","6","6","6"
"9","6","6","6"
"10","5","5","5"
"11","8","8","8"
"12","7","7","7"
"13","7","7","7"
"14","6","6","6"
"15","7","7","7"
"16","5","5","5"
"17","7","7","7"
"18","6","6","6"
"19","8","8","8"
"20","8","8","8"
"21","8","8","8"
"22","3","3","3"
"23","4","4","4"
"24","6","6","6"
"25","9","9","9"
"26","6","6","6"
"27","4","4","4"
"28","8","8","8"
"29","7","7","7"
"30","9","9","9"
"31","6","6","6"
"32","7","7","7"
"33","5","5","5"
"34","9","9","9"
"35","2","2","2"
"36","7","7","7"
"37","2","2","2"
"38","3","3","3"
"39","5","5","5"
"40","8","8","8"
"41","9","9","9"
"42","8","8","8"
"43","8","8","8"
"44","5","5","5"
"45","7","7","7"
"46","6","6","6"
"47","7","7","7"
"48","6","6","6"
"49","6","6","6"
"50","9","9","9"
"51","9","9","9"
"52","7","7","7"
"53","9","9","9"
"54","9","9","9"
"55","9","9","9"
"56","9","9","9"
"57","9","9","9"
"58","9","9","9"
"59","9","9","9"
"60","9","9","9"
"61","9","9","9"
"62","9","9","9"
"63","9","9","9"
"64","9","9","9"
"65","9","9","9"
"66","8","8","8"
"67","9","9","9"
"68","9","9","9"
"69","9","9","9"
"70","9","9","9"
"71","9","9","9"
"72","9","9","9"
"73","9","9","9"
"74","9","9","9"
"75","9","9","9"
"76","8","8","8"
"77","7","7","7"
"78","8","8","8"
"79","8","8","8"
"80","9","9","9"
"81","9","9","9"
"82","9","9","9"
"83","9","9","9"
"84","9","9","9"
"85","7","7","7"
"86","9","9","9"
"87","8","8","8"
"88","9","9","9"
"89","8","8","8"
"90","9","9","9"
"91","8","8","8"
"92","8","8","8"
"93","9","9","9"
"94","8","8","8"
"95","9","9","9"
"96","7","7","7"
"97","9","9","9"
"98","9","9","9"
"99","9","9","9"
"100","9","9","9"
"101","9","9","9"
"102","7","7","7"
"103","7","7","7"
"104","9","9","9"
"105","9","9","9"
"106","9","9","9"
"107","9","9","9"
"108","9","9","9"
"109","9","9","9"
"110","9","9","9"
"111","9","9","9"
"112","9","9","9"
"113","9","9","9"
"114","9","9","9"
"115","9","9","9"
"116","8","8","8"
"117","9","9","9"
"118","9","9","9"
"119","9","9","9"
"120","9","9","9"
"121","9","9","9"
"122","9","9","9"
"123","9","9","9"
"124","9","9","9"
"125","9","9","9"
"126","9","9","9"
"127","7","7","7"
"128","9","9","9"
"129","9","9","9"
"130","9","9","9"
"131","9","9","9"
"132","9","9","9"
"133","8","8","8"
"134","9","9","9"
"135","8","8","8"
"136","8","8","8"
"137","8","8","8"
"138","8","8","8"
"139","7","7","7"
"140","8","8","8"
"141","7","7","7"
"142","5","5","5"
"143","7","7","7"
"144","4","4","4"
"145","4","4","4"
"146","2","2","2"
"147","7","7","7"
"148","2","2","2"
"149","7","7","7"
"150","9","9","9"
"151","9","9","9"
"152","8","8","8"
"153","7","7","7"
"154","7","7","7"
"155","8","8","8"
"156","8","8","8"
"157","8","8","8"
"158","8","8","8"
"159","8","8","8"
"160","8","8","8"
"161","8","8","8"
"162","8","8","8"
"163","8","8","8"
"164","7","7","7"
"165","8","8","8"
"166","7","7","7"
"167","8","8","8"
"168","5","5","5"
"169","8","8","8"
"170","5","5","5"
"171","8","8","8"
"172","7","7","7"
"173","8","8","8"
"174","8","8","8"
"175","9","9","9"
"176","9","9","9"
"177","9","9","9"
"178","6","6","6"
"179","8","8","8"
"180","7","7","7"
"181","9","9","9"
"182","9","9","9"
"183","9","9","9"
"184","9","9","9"
"185","9","9","9"
"186","9","9","9"
"187","9","9","9"
"188","9","9","9"
"189","9","9","9"
"190","9","9","9"
"191","9","9","9"
"192","9","9","9"
"193","7","7","7"
"194","9","9","9"
"195","7","7","7"
"196","7","7","7"
"197","7","7","7"
"198","7","7","7"
"199","8","8","8"
"200","9","9","9"
"201","9","9","9"
"202","9","9","9"
"203","8","8","8"
"204","9","9","9"
"205","9","9","9"
"206","9","9","9"
"207","9","9","9"
"208","9","9","9"
"209","9","9","9"
"210","9","9","9"
"211","9","9","9"
"212","9","9","9"
"213","9","9","9"
"214","9","9","9"
"215","9","9","9"
"216","9","9","9"
"217","9","9","9"
"218","9","9","9"
"219","9","9","9"
"220","7","7","7"
"221","8","8","8"
"222","7","7","7"
"223","8","8","8"
"224","7","7","7"
"225","9","9","9"
"226","8","8","8"
"227","9","9","9"
"228","9","9","9"
"229","9","9","9"
"230","9","9","9"
"231","8","8","8"
"232","9","9","9"
"233","8","8","8"
"234","8","8","8"
"235","8","8","8"
"236","7","7","7"
"237","7","7","7"
"238","6","6","6"
"239","6","6","6"
"240","6","6","6"
"241","5","5","5"
"242","7","7","7"
"243","4","4","4"
"244","7","7","7"
"245","4","4","4"
"246","5","5","5"
"247","4","4","4"
"248","5","5","5"
"249","5","5","5"
"250","8","8","8"
"251","5","5","5"
"252","7","7","7"
"253","6","6","6"
"254","9","9","9"
"255","9","9","9"
"256","9","9","9"
"257","9","9","9"
"258","9","9","9"
"259","7","7","7"
"260","8","8","8"
"261","7","7","7"
"262","9","9","9"
"263","8","8","8"
"264","9","9","9"
"265","9","9","9"
"266","9","9","9"
"267","9","9","9"
"268","9","9","9"
"269","9","9","9"
"270","9","9","9"
"271","9","9","9"
"272","9","9","9"
"273","9","9","9"
"274","7","7","7"
"275","8","8","8"
"276","7","7","7"
"277","7","7","7"
"278","3","3","3"
"279","6","6","6"
"280","2","2","2"
"281","2","2","2"
"282","2","2","2"
"283","1","1","1"
"284","2","2","2"
"285","2","2","2"
"286","2","2","2"
"287","2","2","2"
"288","1","1","1"
"289","2","2","2"
"290","1","1","1"
"291","2","2","2"
"292","2","2","2"
"293","2","2","2"
"294","1","1","1"
"295","3","3","3"
"296","1","1","1"
"297","2","2","2"
"298","1","1","1"
"299","3","3","3"
