"Step","CIFAR100_CNN_FedSTGM_sgd_lr0.05_100clients - cosine_count/positive (>0)","CIFAR100_CNN_FedSTGM_sgd_lr0.05_100clients - cosine_count/positive (>0)__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05_100clients - cosine_count/positive (>0)__MAX"
"0","85","85","85"
"1","99","99","99"
"2","99","99","99"
"3","67","67","67"
"4","3","3","3"
"5","13","13","13"
"6","30","30","30"
"7","62","62","62"
"8","32","32","32"
"9","69","69","69"
"10","20","20","20"
"11","68","68","68"
"12","57","57","57"
"13","86","86","86"
"14","46","46","46"
"15","42","42","42"
"16","71","71","71"
"17","63","63","63"
"18","68","68","68"
"19","57","57","57"
"20","72","72","72"
"21","74","74","74"
"22","77","77","77"
"23","63","63","63"
"24","87","87","87"
"25","96","96","96"
"26","98","98","98"
"27","37","37","37"
"28","33","33","33"
"29","53","53","53"
"30","87","87","87"
"31","96","96","96"
"32","88","88","88"
"33","85","85","85"
"34","65","65","65"
"35","77","77","77"
"36","84","84","84"
"37","99","99","99"
"38","99","99","99"
"39","96","96","96"
"40","50","50","50"
"41","81","81","81"
"42","63","63","63"
"43","75","75","75"
"44","91","91","91"
"45","95","95","95"
"46","98","98","98"
"47","91","91","91"
"48","98","98","98"
"49","82","82","82"
"50","80","80","80"
"51","99","99","99"
"52","99","99","99"
"53","99","99","99"
"54","99","99","99"
"55","96","96","96"
"56","94","94","94"
"57","98","98","98"
"58","95","95","95"
"59","97","97","97"
"60","97","97","97"
"61","98","98","98"
"62","98","98","98"
"63","99","99","99"
"64","99","99","99"
"65","93","93","93"
"66","93","93","93"
"67","99","99","99"
"68","97","97","97"
"69","92","92","92"
"70","83","83","83"
"71","95","95","95"
"72","89","89","89"
"73","78","78","78"
"74","65","65","65"
"75","98","98","98"
"76","98","98","98"
"77","99","99","99"
"78","98","98","98"
"79","99","99","99"
"80","97","97","97"
"81","98","98","98"
"82","97","97","97"
"83","96","96","96"
"84","95","95","95"
"85","90","90","90"
"86","91","91","91"
"87","94","94","94"
"88","94","94","94"
"89","91","91","91"
"90","91","91","91"
"91","93","93","93"
"92","84","84","84"
"93","94","94","94"
"94","91","91","91"
"95","94","94","94"
"96","93","93","93"
"97","95","95","95"
"98","95","95","95"
"99","96","96","96"
"100","99","99","99"
"101","99","99","99"
"102","99","99","99"
"103","99","99","99"
"104","99","99","99"
"105","99","99","99"
"106","99","99","99"
"107","99","99","99"
"108","99","99","99"
"109","99","99","99"
"110","99","99","99"
"111","99","99","99"
"112","99","99","99"
"113","99","99","99"
"114","99","99","99"
"115","99","99","99"
"116","99","99","99"
"117","99","99","99"
"118","99","99","99"
"119","98","98","98"
"120","99","99","99"
"121","98","98","98"
"122","99","99","99"
"123","99","99","99"
"124","99","99","99"
"125","98","98","98"
"126","99","99","99"
"127","99","99","99"
"128","99","99","99"
"129","97","97","97"
"130","98","98","98"
"131","96","96","96"
"132","97","97","97"
"133","95","95","95"
"134","93","93","93"
"135","96","96","96"
"136","96","96","96"
"137","94","94","94"
"138","98","98","98"
"139","98","98","98"
"140","99","99","99"
"141","98","98","98"
"142","99","99","99"
"143","98","98","98"
"144","99","99","99"
"145","98","98","98"
"146","99","99","99"
"147","98","98","98"
"148","99","99","99"
"149","98","98","98"
"150","99","99","99"
"151","99","99","99"
"152","99","99","99"
"153","99","99","99"
"154","99","99","99"
"155","99","99","99"
"156","99","99","99"
"157","99","99","99"
"158","99","99","99"
"159","99","99","99"
"160","99","99","99"
"161","99","99","99"
"162","99","99","99"
"163","99","99","99"
"164","99","99","99"
"165","99","99","99"
"166","99","99","99"
"167","99","99","99"
"168","99","99","99"
"169","99","99","99"
"170","99","99","99"
"171","99","99","99"
"172","99","99","99"
"173","99","99","99"
"174","99","99","99"
"175","99","99","99"
"176","99","99","99"
"177","97","97","97"
"178","96","96","96"
"179","95","95","95"
"180","93","93","93"
"181","92","92","92"
"182","97","97","97"
"183","98","98","98"
"184","97","97","97"
"185","99","99","99"
"186","98","98","98"
"187","99","99","99"
"188","98","98","98"
"189","99","99","99"
"190","98","98","98"
"191","98","98","98"
"192","97","97","97"
"193","98","98","98"
"194","96","96","96"
"195","98","98","98"
"196","94","94","94"
"197","96","96","96"
"198","96","96","96"
"199","96","96","96"
"200","99","99","99"
"201","99","99","99"
"202","99","99","99"
"203","99","99","99"
"204","99","99","99"
"205","99","99","99"
"206","99","99","99"
"207","99","99","99"
"208","99","99","99"
"209","99","99","99"
"210","99","99","99"
"211","99","99","99"
"212","99","99","99"
"213","99","99","99"
"214","99","99","99"
"215","99","99","99"
"216","98","98","98"
"217","98","98","98"
"218","96","96","96"
"219","96","96","96"
"220","96","96","96"
"221","92","92","92"
"222","95","95","95"
"223","88","88","88"
"224","94","94","94"
"225","94","94","94"
"226","99","99","99"
"227","99","99","99"
"228","99","99","99"
"229","99","99","99"
"230","99","99","99"
"231","99","99","99"
"232","99","99","99"
"233","99","99","99"
"234","99","99","99"
"235","99","99","99"
"236","99","99","99"
"237","98","98","98"
"238","99","99","99"
"239","99","99","99"
"240","99","99","99"
"241","99","99","99"
"242","99","99","99"
"243","99","99","99"
"244","99","99","99"
"245","99","99","99"
"246","99","99","99"
"247","99","99","99"
"248","99","99","99"
"249","99","99","99"
"250","99","99","99"
"251","99","99","99"
"252","99","99","99"
"253","99","99","99"
"254","99","99","99"
"255","99","99","99"
"256","99","99","99"
"257","99","99","99"
"258","99","99","99"
"259","99","99","99"
"260","99","99","99"
"261","98","98","98"
"262","99","99","99"
"263","98","98","98"
"264","99","99","99"
"265","98","98","98"
"266","99","99","99"
"267","98","98","98"
"268","99","99","99"
"269","98","98","98"
"270","99","99","99"
