Step,Train Loss,Test Accuracy
0,4.606519298553467,0.0
1,4.551343812942505,0.168
2,4.4719427331288655,0.168
3,4.271676740646362,0.1005
4,3.2694003518422443,0.1
5,2.0845167295138043,0.2515
6,1.554963771502177,0.5
7,1.3405792053540548,0.502
8,1.2207182844479878,0.5255
9,1.1770738422870637,0.5115
10,1.1894256965319316,0.5
11,1.1610539531707764,0.504
12,1.1421989675362905,0.5
13,1.0747522763411204,0.5
14,1.0445934414863587,0.5015
15,1.1350015326340994,0.5005
16,1.047572859923045,0.511
17,1.0126860284805297,0.5195
18,1.0469785225391388,0.502
19,1.033882399002711,0.501
20,1.0760423636436462,0.5005
21,1.0810931432247162,0.506
22,1.091960586309433,0.5005
23,1.0377682491143545,0.504
24,0.9969348041216533,0.506
25,1.012198196252187,0.5055
26,1.0034763789176941,0.511
27,1.0363042982419333,0.51
28,0.9812662061055502,0.5105
29,1.0336705553531647,0.5025
30,0.9577807704607646,0.514
31,1.0148782138029735,0.5035
32,0.9521628816922506,0.514
33,0.9542960290114085,0.5295
34,0.9591153792540232,0.518
35,1.0067757284641266,0.5095
36,0.987524878581365,0.514
37,0.9435701481501262,0.5275
38,0.9646720520655314,0.514
39,0.9260323297977447,0.526
40,0.9096995611985524,0.533
41,0.9421121756235759,0.5345
42,0.951276577313741,0.5275
43,0.8995852947235108,0.5335
44,0.9869058978557587,0.5315
45,0.9563837099075317,0.531
46,0.9561620855331421,0.5115
47,0.9613533941904704,0.52
48,0.9164276667435964,0.534
49,0.8889059662818909,0.5505
50,0.8847346329689025,0.553
51,0.9042549232641856,0.5405
52,0.8775902140140533,0.5635
53,0.8514775093396505,0.576
54,0.8964426334698995,0.5595
55,0.8541620445251464,0.5655
56,0.8572077572345733,0.5805
57,0.894399950504303,0.5645
58,0.9136501804987589,0.5545
59,0.8424813596407572,0.5935
60,0.8533719845612844,0.5735
61,0.8419406175613403,0.5875
62,0.8709215605258942,0.563
63,0.8646168013413748,0.584
64,0.8728888893127441,0.5485
65,0.8496685647964477,0.553
66,0.8216141792138417,0.586
67,0.8545742936929067,0.583
68,0.8517958343029022,0.554
69,0.8923230532805125,0.556
70,0.8544627094268799,0.5645
71,0.8399278847376506,0.56
72,0.8637948143482208,0.56
73,0.7766942783196767,0.6105
74,0.8777884697914123,0.576
75,0.854485532840093,0.586
76,0.8381194174289703,0.5765
77,0.8355719141165415,0.581
78,0.8255759398142497,0.5905
79,0.8496631721655528,0.5565
80,0.7927084318796793,0.5865
81,0.8125731013218562,0.583
82,0.8318508680661519,0.585
83,0.8196192864576975,0.5915
84,0.8209826985994975,0.581
85,0.799474116563797,0.585
86,0.802173981666565,0.6075
87,0.7853429154555003,0.6015
88,0.796755721171697,0.6035
89,0.841507161060969,0.567
90,0.809610329469045,0.597
91,0.7507627971967061,0.6425
92,0.7953703965743383,0.609
93,0.795410757859548,0.593
94,0.8289932974179586,0.591
95,0.7671569329500199,0.6245
96,0.7696028163035711,0.612
97,0.7768811517953873,0.6135
98,0.7873005360364914,0.612
99,0.7336599769194921,0.6405
100,0.7497206449508667,0.629
101,0.7897522008419037,0.6265
102,0.7686723673343658,0.6245
103,0.7813259142637253,0.6255
104,0.7510818817218144,0.641
105,0.7454477274417877,0.6405
106,0.7410061446825663,0.635
107,0.7455168884992599,0.624
108,0.7379132688045502,0.656
109,0.716252823472023,0.661
110,0.7311441137393315,0.663
111,0.7409873845179876,0.642
112,0.7021289414167404,0.67
113,0.7237505426009496,0.6565
114,0.7050596628586451,0.6595
115,0.6970064584414164,0.672
116,0.7462419680754344,0.6365
117,0.70608283162117,0.666
118,0.6811897607644399,0.6775
119,0.7428772034247716,0.6585
120,0.7274615452686946,0.6575
121,0.7163588074843089,0.6565
122,0.7168547004461289,0.6665
123,0.7319629273811976,0.6555
124,0.7015544603268306,0.6495
125,0.6712373507022857,0.699
126,0.7326689408222834,0.6765
127,0.6616392570734024,0.691
128,0.6969099028905232,0.692
129,0.7262960590918859,0.681
130,0.703771649201711,0.6755
131,0.6666681504249573,0.7035
132,0.6866226321458817,0.689
133,0.7232909035682679,0.6745
134,0.6832222336530686,0.674
135,0.6851354976495106,0.6815
136,0.6701846737662951,0.714
137,0.6774570457140605,0.695
138,0.6951503052314123,0.703
139,0.6506791486342748,0.713
140,0.688750702937444,0.6765
141,0.6441460992892584,0.7105
142,0.654825962583224,0.704
143,0.6563973019520442,0.7155
144,0.673900677760442,0.694
145,0.6638554273049037,0.699
146,0.6531612183650335,0.71
147,0.6619992935657502,0.7015
148,0.6797865575551987,0.6965
149,0.6502825937668483,0.7075
150,0.6509686706463496,0.7025
151,0.6783407706022263,0.6895
152,0.6488494122028351,0.698
153,0.6561992150545121,0.7045
154,0.6732997936010361,0.682
