Step,Train Loss,Test Accuracy
0,4.416158370971679,0.518
1,4.20716105779012,0.51
2,3.429126073519389,0.501
3,0.9453123486042023,0.5065
4,0.7482675774892171,0.544
5,0.9224407049020131,0.5
6,1.0132428729534149,0.5105
7,1.0441803801059724,0.5055
8,0.9864761586983999,0.5
9,0.8813150235017141,0.554
10,0.9693125307559967,0.515
11,0.8196474329630534,0.5195
12,0.771013704140981,0.5535
13,0.8077998415629069,0.5255
14,0.7518203361829122,0.531
15,0.8861041299502055,0.504
16,0.8318397450447083,0.5435
17,0.7958462512493134,0.548
18,0.7897303827603658,0.5525
19,0.9104910671710968,0.5355
20,0.8894594264030456,0.502
21,0.8804641997814179,0.546
22,0.7777012626330058,0.541
23,0.8218322281042735,0.514
24,0.8317998917897542,0.5485
25,0.8966167251269023,0.511
26,0.8432424108187357,0.5365
27,0.8427274847030639,0.5485
28,0.798619213104248,0.5465
29,0.7370986513296763,0.562
30,0.7453097371260325,0.573
31,0.7686284724871317,0.5635
32,0.7913721744219462,0.574
33,0.8286153896649678,0.538
34,0.7817185564835867,0.5545
35,0.7782412191232045,0.5395
36,0.7441773982842763,0.561
37,0.6996948138872783,0.5665
38,0.792064538995425,0.58
39,0.7733355768521627,0.5495
40,0.8128537114461263,0.5405
41,0.7414010866483053,0.5535
42,0.754835794766744,0.541
43,0.8076262867450714,0.534
44,0.7506840497255325,0.559
45,0.7146096539497375,0.5945
46,0.7364331483840942,0.557
47,0.7272848397493362,0.573
48,0.7616849986712138,0.567
49,0.7524655604362488,0.582
50,0.7361783011754354,0.5695
51,0.7544741427898407,0.549
52,0.8626332724094391,0.5515
53,0.8389845371246338,0.5545
54,0.722799346446991,0.571
55,0.7553881617387136,0.5935
56,0.7868415562311808,0.5645
57,0.7005874315897623,0.612
58,0.813863976796468,0.543
59,0.7706652043263117,0.571
60,0.7385976493358613,0.5735
61,0.6867413753271103,0.6045
62,0.8113990273078283,0.5485
63,0.7415100328127543,0.61
64,0.7731326373418173,0.589
65,0.7316357672214509,0.5895
66,0.7309235244989395,0.571
67,0.7052801297108332,0.579
68,0.7589209546645482,0.5955
69,0.6914160621166229,0.615
70,0.7102643962701162,0.612
71,0.7372689823309581,0.5785
72,0.7737652379274368,0.5845
73,0.7755033218860626,0.5725
74,0.768276918331782,0.574
75,0.7166338926553726,0.6145
76,0.7175907764832179,0.5945
77,0.7474718590577444,0.5725
78,0.7294526489575704,0.598
79,0.6606756140788396,0.6145
80,0.7596472682555516,0.5955
81,0.7906016604105631,0.5725
82,0.6954445225000382,0.586
83,0.6628380646308263,0.65
84,0.6974890770514807,0.6
85,0.7213752514123917,0.5855
86,0.6806705621878306,0.6145
87,0.7062125804026922,0.6035
88,0.6920755992333094,0.6195
89,0.8172376082340876,0.578
90,0.7820475951830546,0.6135
91,0.6675163100163142,0.6385
92,0.7331384040911992,0.602
93,0.6968520092964172,0.621
94,0.6521980496247609,0.631
95,0.6853659164905548,0.6415
96,0.6573921515544255,0.6475
97,0.7404152286052704,0.604
98,0.7322890843947728,0.599
99,0.6766875847180684,0.62
100,0.7079281028111776,0.6095
101,0.666153428753217,0.666
102,0.6165212114651998,0.686
103,0.6130821818113327,0.6735
104,0.6374561699231466,0.671
105,0.6186591053009033,0.6665
106,0.7190832370519638,0.6345
107,0.6442198558648428,0.655
108,0.7502713624636332,0.613
109,0.6785102679332098,0.643
110,0.6693721224864324,0.6345
111,0.6601868315537771,0.634
112,0.6916118703285853,0.6515
113,0.5631553719441096,0.7335
114,0.7095122909545899,0.6275
115,0.7093632906675339,0.623
116,0.5959664493799209,0.68
117,0.6473618159691493,0.648
118,0.6296142965555191,0.6865
119,0.6671225446462631,0.646
120,0.6279229505856831,0.672
121,0.5813520969947179,0.687
122,0.5774195213119189,0.688
123,0.6492043133576711,0.6725
124,0.5778107452392578,0.683
125,0.640729354818662,0.682
126,0.6497740902503332,0.6715
127,0.6670820113023123,0.6495
128,0.6090120328466098,0.684
129,0.7345751124620438,0.663
130,0.6111588934063912,0.658
131,0.6013027708729108,0.6815
132,0.7012254118919372,0.648
133,0.5957820916175842,0.69
134,0.6321556739012401,0.7055
135,0.6729992175102234,0.651
136,0.6210766156514486,0.6925
137,0.6873734281460444,0.659
138,0.6336065452297529,0.6705
139,0.6067587568362554,0.6995
140,0.5742233636975288,0.687
141,0.6577803475658098,0.6785
142,0.5973124136527379,0.6625
143,0.6868157669901848,0.6735
144,0.5410220446189244,0.7285
145,0.6370464297135671,0.681
146,0.5725370153784752,0.7125
147,0.605223556359609,0.672
148,0.5668070214986801,0.6995
149,0.6150494242707888,0.702
150,0.5743139521280924,0.7195
151,0.5678875597318014,0.721
152,0.6024750651915868,0.6905
153,0.5678266707062721,0.716
154,0.5898401536544164,0.7055
155,0.6470905431111653,0.656
156,0.5785269824663798,0.7025
157,0.5421917949120204,0.7215
158,0.6540832677483559,0.6825
159,0.6408910723527272,0.6695
160,0.6662176069617272,0.6465
161,0.6498331894477208,0.6435
162,0.6240907635291417,0.67
163,0.6160283417503039,0.6765
164,0.6080577692389488,0.664
165,0.5684894234935443,0.7205
166,0.643268768787384,0.697
167,0.6275059035420418,0.6545
168,0.6400510009129842,0.682
169,0.5556615666548411,0.7275
170,0.5535895603895188,0.715
171,0.6713170238335927,0.697
172,0.6085728431741396,0.7055
173,0.5917919817566871,0.692
174,0.619426317512989,0.692
175,0.6252719291051229,0.6875
176,0.5774677003423373,0.725
177,0.5498533928394318,0.7275
178,0.5631977820396423,0.7245
179,0.5600417479872704,0.7185
180,0.6071251497666041,0.683
181,0.5718486148118973,0.723
182,0.6421933231751124,0.6705
183,0.5862886842091878,0.727
184,0.5734220158060391,0.7385
185,0.6481851089994113,0.695
186,0.6587598179777463,0.7075
187,0.6158669296900431,0.7185
188,0.6184813698132833,0.683
189,0.6236812842885653,0.678
190,0.5889290142059326,0.7095
191,0.5678802716732025,0.711
192,0.6858980250358582,0.65
193,0.5772274856766065,0.7
194,0.5970777686436971,0.706
195,0.5804252141714096,0.6965
196,0.520348399480184,0.7355
197,0.5276333686709404,0.7175
198,0.5952032642563184,0.6865
199,0.5795966815948487,0.73
200,0.5259848195314407,0.7355
201,0.5368912384907405,0.722
202,0.560126821299394,0.7385
203,0.5448943636814754,0.7385
204,0.5531124277909597,0.6995
205,0.5603856586416562,0.7165
206,0.5770323930184046,0.715
207,0.6036801294485727,0.7135
208,0.5602793432275455,0.688
209,0.5443526684244474,0.7365
210,0.5286876009901365,0.7335
211,0.5340448127190272,0.734
212,0.5306963974237442,0.728
213,0.5005354806780815,0.762
214,0.5261578822135925,0.741
215,0.53841504941384,0.722
216,0.5860652028520902,0.69
217,0.4883960891763369,0.763
218,0.5522867052753766,0.7195
219,0.621445348362128,0.685
220,0.6076828718185425,0.7215
221,0.5561800482869148,0.7305
222,0.592758614718914,0.725
223,0.5459773575266202,0.734
224,0.6158483256896337,0.672
225,0.5544323121507962,0.7065
226,0.5238835813601812,0.7545
227,0.5316488502422968,0.715
228,0.5349516971906026,0.733
229,0.5630398938059806,0.7255
230,0.5360516242186228,0.716
231,0.5041826795041561,0.7325
232,0.5303197244803111,0.716
233,0.5029561377565066,0.759
234,0.5935385318597158,0.7035
235,0.48191828886667887,0.757
236,0.5279649065931639,0.7425
237,0.5038394577304522,0.763
238,0.5351389898856481,0.725
239,0.5612603048483531,0.73
240,0.5545332900683085,0.743
241,0.5674033739169438,0.743
242,0.5551699166496594,0.7175
243,0.5180654831727346,0.739
244,0.6533649590611458,0.6925
245,0.5756138211488724,0.7135
246,0.5686703003446261,0.7335
247,0.5898496053616206,0.7135
248,0.5547201422850291,0.7315
249,0.5145421567559242,0.7445
250,0.5323720902204514,0.7375
251,0.5409653194745382,0.73
252,0.5573328187068304,0.7225
253,0.4905110702912013,0.739
254,0.5717033344507217,0.721
255,0.5117256567875544,0.745
256,0.5235771968960762,0.7385
257,0.5477477995554606,0.745
258,0.5806930630405744,0.725
259,0.49592595810691514,0.7575
260,0.48415734579165776,0.765
261,0.5186935011545817,0.737
262,0.4972088438272476,0.7615
263,0.47989455501238504,0.771
264,0.4820843999584516,0.769
265,0.5079982752601305,0.763
266,0.5383147139350574,0.731
267,0.4739296854535739,0.7595
268,0.49101709817846617,0.767
269,0.500327088534832,0.746
270,0.46742809196313223,0.7695
271,0.45701897641023,0.785
272,0.48375256538391115,0.7585
273,0.5499166359504064,0.73
274,0.46731686999400457,0.774
275,0.45318447877963386,0.783
276,0.4704422145088514,0.7755
277,0.48983260333538053,0.7595
278,0.48803752472003303,0.773
279,0.4730130281051,0.7815
280,0.49783279359340665,0.758
281,0.5408234060804049,0.7455
282,0.5221414863069852,0.7395
283,0.45421854267517725,0.7805
284,0.46480566024780273,0.7895
285,0.47689272145430245,0.7575
286,0.497719143430392,0.7515
287,0.45931239510575933,0.776
288,0.4610799805323283,0.7925
289,0.482532085031271,0.7825
290,0.48484612733125687,0.757
291,0.519326290388902,0.7345
292,0.4890692820151647,0.7655
293,0.4935111368695895,0.7525
294,0.5478197844823202,0.728
295,0.5377341579894225,0.747
296,0.4480589215954145,0.792
297,0.5259018267691136,0.744
298,0.5382472310463587,0.7485
299,0.45823892126480736,0.779
300,0.4624726008375486,0.778
301,0.48274087309837344,0.7625
302,0.5058111398418744,0.7675
303,0.48507676695783936,0.7515
304,0.500072583357493,0.7715
305,0.49010279908776283,0.7545
306,0.5517200980583826,0.733
307,0.4877282936871052,0.775
308,0.5083730442325274,0.7405
309,0.4764611238737901,0.767
310,0.50555366675059,0.774
311,0.45806519702076914,0.784
312,0.44368954251209897,0.7865
313,0.5231156119704247,0.7565
314,0.5182836096485456,0.752
315,0.5466541730364164,0.745
316,0.5457816663384437,0.7495
317,0.560106519361337,0.7595
318,0.4637056464950244,0.7805
319,0.5177792465686798,0.762
320,0.48526344940066335,0.786
321,0.48172872841358183,0.7695
322,0.4423428148031235,0.792
323,0.46764878461758297,0.7745
324,0.4158524353305499,0.8115
325,0.49099861790736515,0.7695
326,0.5211393843094508,0.758
327,0.4669734332958857,0.7795
328,0.4674904559055964,0.7725
329,0.4919918185969194,0.764
330,0.4888511558373769,0.764
331,0.5579059470196565,0.7565
332,0.48005804270505903,0.771
333,0.44922908971707026,0.7895
334,0.4385402352611224,0.794
335,0.4553192565838496,0.7855
336,0.45824426685770353,0.788
337,0.4407274996737639,0.7835
338,0.43278802861769994,0.806
339,0.45026335775852205,0.799
340,0.5092134626706442,0.753
341,0.5091911206642786,0.735
342,0.43417164742946623,0.792
343,0.4828882870574792,0.761
344,0.460826237599055,0.777
345,0.44226068993409473,0.797
346,0.43368136644363403,0.798
347,0.48779833217461904,0.772
348,0.5562371559937795,0.7495
349,0.4634097725152969,0.791
350,0.48140097106496493,0.7665
351,0.4529286308089892,0.7915
352,0.531396683951219,0.75
353,0.4265188278754552,0.805
354,0.43184117585420606,0.799
355,0.4688910065591335,0.7835
356,0.4698353518048922,0.7765
357,0.4488022237022718,0.789
358,0.47963319182395936,0.7705
359,0.43366846680641175,0.7975
360,0.45101091608405114,0.7885
361,0.5465962939957778,0.7525
362,0.5002617674072584,0.764
363,0.4681550830602646,0.7995
364,0.4507161031663418,0.7915
365,0.47769550000627836,0.7845
366,0.5236743749678134,0.759
367,0.5126077905297279,0.7625
368,0.5443075765669346,0.7555
369,0.40000969474514325,0.8175
370,0.45512813980380695,0.7895
371,0.4375495424866676,0.7955
372,0.538847076445818,0.7555
373,0.46956586370865505,0.77
374,0.43570465947190923,0.792
375,0.4801037855943044,0.7685
376,0.42680556803941727,0.8055
377,0.4734712647398313,0.773
378,0.415111434062322,0.82
379,0.45532057772080103,0.78
380,0.4398685238758723,0.799
381,0.491602504948775,0.7905
382,0.43118192260464033,0.795
383,0.43213012595971423,0.796
384,0.41815875202417374,0.8035
385,0.5005451617141564,0.752
386,0.42574093108375866,0.8075
387,0.4348713529109955,0.803
388,0.41341492940982183,0.808
389,0.48289529750744503,0.77
390,0.4781928120056788,0.7845
391,0.42330945695439975,0.796
