Step,Train Loss,Test Accuracy
0,4.606519298553467,0.0
1,4.429354219436646,0.5185
2,4.113941990534465,0.506
3,1.8500311613082885,0.5
4,0.7294580082098643,0.536
5,0.7046722833315532,0.5195
6,0.6983519033590952,0.541
7,0.6977883040904999,0.539
8,0.6991465270519257,0.542
9,0.7114105502764384,0.5
10,0.6943083985646565,0.536
11,0.6875835478305816,0.528
12,0.7117804706096649,0.5
13,0.6978228696187337,0.557
14,0.700622634490331,0.527
15,0.68222061475118,0.5365
16,0.6752250119050344,0.627
17,0.6745641068617503,0.573
18,0.6775014857451122,0.5415
19,0.6722682742277781,0.567
20,0.6769477446873983,0.577
21,0.7073704038063685,0.5525
22,0.6596211230754853,0.593
23,0.6649164776007335,0.6235
24,0.6792658539613088,0.5575
25,0.6561456507444382,0.605
26,0.6757111652692159,0.564
27,0.6454611670970917,0.6075
28,0.6562347356478373,0.6165
29,0.6568135613203049,0.558
30,0.642637147307396,0.615
31,0.6849875487883885,0.6135
32,0.6269187748432159,0.6405
33,0.6601667139927546,0.59
34,0.6473881141344706,0.612
35,0.6307727334896723,0.607
36,0.646692247192065,0.6015
37,0.6315078884363174,0.6185
38,0.6580386203527451,0.583
39,0.6230842041969299,0.626
40,0.6451880782842636,0.586
41,0.6461858177185058,0.57
42,0.6213958899180094,0.6415
43,0.6513858449459076,0.5955
44,0.6715513358513514,0.579
45,0.6090549059708913,0.6135
46,0.6365055624643962,0.581
47,0.6293656861782074,0.625
48,0.6397838842868805,0.591
49,0.6027285808324814,0.657
50,0.6227208908398946,0.597
51,0.6226415354013443,0.649
52,0.6188611521323522,0.634
53,0.6345369386672973,0.602
54,0.5906725788116455,0.6735
55,0.614475817879041,0.615
56,0.6799097923437755,0.574
57,0.6138429003953934,0.615
58,0.6053961224357287,0.653
59,0.622906708518664,0.6355
60,0.6039010874430338,0.6455
61,0.6223763453960419,0.602
62,0.5995130044221878,0.62
63,0.6280859275658925,0.625
64,0.643565311829249,0.636
65,0.6014979342619579,0.6365
66,0.6120903740326563,0.6185
67,0.5823913091421127,0.681
68,0.6148983375231425,0.607
69,0.6053476631641388,0.634
70,0.5854536473751069,0.6705
71,0.6245832514762878,0.6225
72,0.635094288388888,0.636
73,0.6367560178041458,0.616
74,0.6239576967557271,0.6485
75,0.5950303747256597,0.6415
76,0.5833054962754249,0.6615
77,0.5935433512926102,0.648
78,0.5890812690059344,0.6575
79,0.59705722818772,0.644
80,0.5857505414883296,0.6875
81,0.5896758644779523,0.6635
82,0.613169557650884,0.64
83,0.5852435469627381,0.6625
84,0.6097336888313294,0.6305
85,0.5782848929365476,0.667
86,0.576988880733649,0.6825
87,0.5849088315169017,0.667
88,0.6274503872791926,0.646
89,0.5870505899190903,0.6415
90,0.6218890118598938,0.6215
91,0.5678757880131403,0.699
92,0.6159214317798615,0.632
93,0.5734670970837276,0.696
94,0.57034107675155,0.683
95,0.5693517742554347,0.6775
96,0.5759568144877751,0.6755
97,0.6017945496241252,0.6375
98,0.564847482740879,0.694
99,0.5824696950117747,0.629
100,0.5809943342208862,0.677
101,0.585732612212499,0.6335
102,0.5752098133166631,0.681
103,0.5566951897740364,0.6825
104,0.5734519386291503,0.6805
105,0.5738202301661174,0.656
106,0.6107944922645887,0.603
107,0.5852289924025535,0.657
108,0.5817863487203916,0.6425
109,0.595729817946752,0.6725
110,0.5804069038232168,0.66
111,0.5690634553631146,0.682
112,0.5822371971607209,0.647
113,0.5591195108493169,0.668
114,0.5790871054927508,0.6395
115,0.556825652718544,0.6945
116,0.5779154379169146,0.6675
117,0.5620699404676756,0.674
118,0.5737917579213778,0.6525
119,0.566039160490036,0.6625
120,0.559304236471653,0.68
121,0.6155784344673156,0.619
122,0.582009439865748,0.639
123,0.5648048875729242,0.6765
124,0.5858010117212932,0.6545
125,0.578127438823382,0.68
126,0.5632963904738426,0.6705
127,0.6399096570412318,0.626
128,0.5768805366754531,0.649
129,0.613317905664444,0.633
130,0.5650456263621648,0.6845
131,0.5781416813532512,0.6745
132,0.558255485445261,0.6815
133,0.5620051176349322,0.6725
134,0.5701630142331123,0.6725
135,0.5573598350087802,0.717
136,0.5693229063351949,0.671
137,0.5593805553515753,0.665
138,0.5483932966987292,0.7
139,0.5706861079732577,0.6755
140,0.5479240973790487,0.7145
141,0.5482212341825168,0.6805
142,0.5498403037587801,0.695
143,0.5662465143203735,0.669
144,0.5541353296240171,0.673
145,0.569491702914238,0.6855
146,0.5467873628934224,0.691
147,0.5795154484113058,0.666
148,0.559018015464147,0.662
149,0.5706153681874275,0.657
150,0.5498285195231438,0.689
151,0.5443061801791191,0.6825
152,0.5661048898100853,0.6675
153,0.53437047123909,0.704
154,0.5411344917615255,0.716
155,0.5509823506077131,0.698
156,0.5325950629512469,0.707
157,0.5645751471320788,0.6615
158,0.5538055475552877,0.6735
159,0.5511316984891892,0.692
160,0.555462758243084,0.676
161,0.565396133462588,0.6375
162,0.5690780652562777,0.66
163,0.5276401214798292,0.716
164,0.5992005236943563,0.642
165,0.5493397692839305,0.6925
166,0.5680817185839018,0.6685
167,0.539995499153932,0.7115
168,0.5443997547030449,0.6965
169,0.5256600310405095,0.717
170,0.5306970775127411,0.7075
171,0.5510253723462423,0.688
172,0.5518226892749468,0.6865
173,0.5330019909143447,0.7095
174,0.533848345776399,0.693
175,0.5655720070997874,0.6825
176,0.5597959699233374,0.6615
177,0.5337450997034708,0.719
178,0.5318290024002393,0.7175
179,0.5457718908786774,0.716
180,0.5426241421699524,0.694
181,0.5344280980030696,0.7075
182,0.5593964117765426,0.6885
183,0.5324215601881345,0.7095
184,0.5592662711938222,0.67
185,0.5375828580061595,0.6835
186,0.5299249036113421,0.7245
187,0.5223583087325097,0.7115
188,0.5275919140378634,0.715
189,0.5663771756490071,0.6645
190,0.5260998913645745,0.7
191,0.5236966865261395,0.6895
192,0.5363976152737936,0.692
193,0.5360405268271764,0.694
194,0.5313013598322869,0.7245
195,0.523092367152373,0.697
196,0.5191630511482557,0.736
197,0.5569422058264415,0.7095
198,0.6015082559982936,0.6635
199,0.5205180970827739,0.719
200,0.5452402685085932,0.6995
201,0.5261957457661629,0.7245
202,0.5517774490515391,0.692
