Step,Train Loss,Test Accuracy
0,4.6066807206471765,0.0
1,4.572224035263061,0.0165
2,4.513472359975179,0.1045
3,4.3441888682047525,0.1
4,3.684112033843994,0.1
5,3.2968063338597617,0.1
6,3.1177552445729573,0.118
7,3.0424173402786256,0.1355
8,2.996531694730123,0.1105
9,2.97812645594279,0.145
10,2.952428609530131,0.156
11,2.9259019883473716,0.158
12,2.92277490456899,0.1525
13,2.8979104725519815,0.136
14,2.88465651512146,0.1535
15,2.8695018323262533,0.138
16,2.8560004552205402,0.1445
17,2.8505369726816814,0.1605
18,2.8378628396987917,0.1615
19,2.838318928082784,0.1415
20,2.8215416701634726,0.138
21,2.8055087836583454,0.156
22,2.808061876296997,0.1575
23,2.7983470360438027,0.163
24,2.7891878684361777,0.1565
25,2.788169562021891,0.159
26,2.7751111634572347,0.16
27,2.763953374226888,0.1685
28,2.7621749607721964,0.152
29,2.7592589044570923,0.173
30,2.7436900917689004,0.177
31,2.7428926531473796,0.1755
32,2.741400906244914,0.171
33,2.735435687700907,0.167
34,2.732827633221944,0.1805
35,2.7173087485631306,0.177
36,2.7156615686416625,0.1785
37,2.7123104747136435,0.1715
38,2.705151294072469,0.1875
39,2.70432684580485,0.172
40,2.6959642346700035,0.1865
41,2.6895389334360758,0.178
42,2.683523859977722,0.205
43,2.682379198074341,0.1855
44,2.6726912117004393,0.191
45,2.6694786898295084,0.1945
46,2.66047304948171,0.187
47,2.6649078289667765,0.1855
48,2.6529235808054605,0.1895
49,2.657831695874532,0.1935
50,2.654251093864441,0.1885
51,2.646292142868042,0.1865
52,2.643066760698954,0.1895
53,2.628469394048055,0.209
54,2.633110464413961,0.1935
55,2.629635113080343,0.1915
56,2.6275379769007365,0.201
57,2.6253959131240845,0.199
58,2.617963431676229,0.205
59,2.609276146888733,0.2005
60,2.612522627512614,0.1955
61,2.6024836619695026,0.2095
62,2.5977252276738483,0.2045
63,2.592594528198242,0.2025
64,2.5947181526819865,0.202
65,2.5876791699727377,0.2085
66,2.5779751682281495,0.2035
67,2.5775253343582154,0.2065
68,2.5775662247339883,0.212
69,2.5736876996358236,0.22
70,2.569642310142517,0.2215
71,2.5708682616551717,0.236
72,2.570751781463623,0.21
73,2.558892904917399,0.2235
74,2.562107184727987,0.2345
75,2.554657392501831,0.218
76,2.548453893661499,0.2235
77,2.548155748049418,0.2325
78,2.5453584973017374,0.2255
79,2.539154612223307,0.2295
80,2.533685555458069,0.229
81,2.5322375520070395,0.2245
82,2.528281191190084,0.232
83,2.522920044263204,0.2295
84,2.522756946881612,0.2445
85,2.5235033480326337,0.246
86,2.5150173616409304,0.242
87,2.508716344833374,0.239
88,2.5125029261906944,0.2415
89,2.5043475294113158,0.25
90,2.497988521258036,0.24
91,2.499374631245931,0.245
92,2.49441884915034,0.2425
93,2.4809880391756693,0.264
94,2.4811781056722007,0.2685
95,2.4804461987813315,0.2605
96,2.478287986119588,0.243
97,2.4779249000549317,0.25
98,2.469634936650594,0.27
99,2.465382030804952,0.2625
