Step,Train Loss,Test Accuracy
0,4.403450921376546,0.517
1,4.215769281387329,0.5005
2,3.4623613214492797,0.5005
3,0.959072048664093,0.519
4,0.8106621491909027,0.536
5,0.8713536735375722,0.512
6,0.9264207351207733,0.5065
7,0.911299492518107,0.5275
8,0.9119333457946778,0.5055
9,0.9825834536552429,0.5025
10,0.9614612567424774,0.5
11,1.0260035034020742,0.5
12,0.8475088493029277,0.521
13,1.1141650338967641,0.506
14,0.8649605727195739,0.524
15,0.9742483174800873,0.5185
16,0.9803600418567657,0.5075
17,0.7625955414772033,0.539
18,0.8976095509529114,0.5175
19,0.8391439386208852,0.554
20,0.8863173385461172,0.506
21,0.8842818872133891,0.5395
22,0.8551599637667338,0.5135
23,0.8470467762152354,0.516
24,0.9119793053468068,0.5315
25,0.8254549471537272,0.5395
26,0.896220852136612,0.52
27,0.9037835188706715,0.524
28,0.9109495214621226,0.521
29,0.8142878532409668,0.5315
30,0.8799268158276876,0.5265
31,0.8108538897832235,0.5285
32,0.9496330006917317,0.5275
33,0.8262617067495982,0.5245
34,0.8177058128515879,0.5525
35,0.8575728205839793,0.5215
36,0.9755885199705759,0.523
37,0.8311227242151896,0.533
38,0.8562603855133056,0.5285
39,0.8848661613464356,0.509
40,0.795972957611084,0.544
41,0.812338684797287,0.581
42,0.8193005375067393,0.5445
43,0.8499271994829178,0.5805
44,0.8241313540935516,0.5535
45,0.8136178066333135,0.538
46,0.7936105960607529,0.562
47,0.7354911504189173,0.5665
48,0.8246737102667491,0.541
49,0.8917843846480051,0.537
50,0.7992346463600795,0.5425
51,0.8337973153591156,0.565
52,0.7638554418087006,0.578
53,0.7855714897314707,0.569
54,0.7295800034205119,0.5905
55,0.7979667240381241,0.5955
56,0.8082929174105327,0.5695
57,0.7458722891410192,0.5635
58,0.7145988440513611,0.584
59,0.8267031212647756,0.566
60,0.7336575575669606,0.5805
61,0.6851480923096339,0.6035
62,0.7905744071801504,0.5675
63,0.7775785378615061,0.5795
64,0.7040814199050267,0.5995
65,0.8416462361812591,0.58
66,0.7124904052416483,0.5955
67,0.7744317706425985,0.5745
68,0.6921976264317831,0.6135
69,0.8365248159567515,0.5605
70,0.7361184473832448,0.5865
71,0.7697724546988806,0.5745
72,0.6325940861304601,0.657
73,0.7594290935993194,0.6005
74,0.7396715046962102,0.6185
75,0.7516966503858566,0.587
76,0.725779483517011,0.5895
77,0.784287821451823,0.5665
78,0.7057655833164851,0.596
79,0.7221057256062825,0.5855
80,0.7005248244603475,0.6165
81,0.7410383439064026,0.6065
82,0.651035273273786,0.617
83,0.6873061788082123,0.626
84,0.6968950706720353,0.6205
85,0.707906588713328,0.606
86,0.6432168690363566,0.6205
87,0.7027866528431574,0.612
88,0.698788094719251,0.592
89,0.726864796479543,0.603
90,0.6862560395399729,0.6195
91,0.7029954135417938,0.613
92,0.7604638820886612,0.6095
93,0.6749246827761333,0.592
94,0.6500842728217443,0.6105
95,0.7140054949124655,0.589
96,0.6672822467486064,0.6505
97,0.7143573782841365,0.597
98,0.7087551095088322,0.6115
99,0.6834481918811798,0.614
100,0.6525139019886652,0.62
101,0.644690251549085,0.624
102,0.6934764929612478,0.625
103,0.6528986207644145,0.6425
104,0.6424606637159983,0.6355
105,0.6588234557708105,0.625
106,0.7355984352032343,0.597
107,0.5925694153706232,0.672
108,0.6343760975201924,0.644
109,0.6117079669237137,0.6695
110,0.6351728804906209,0.656
111,0.6444598958889644,0.6275
112,0.5868364185094833,0.681
113,0.5903650486469268,0.687
114,0.6806125319004059,0.6475
115,0.6537674313783646,0.6485
116,0.6353088295459748,0.6355
117,0.6292759815851847,0.651
118,0.7703350685040156,0.5905
119,0.6444745057821274,0.654
120,0.7022806952397028,0.624
121,0.5991044193506241,0.671
122,0.6396035548051199,0.638
123,0.6756693496306737,0.642
124,0.6661045636733373,0.6025
125,0.6469969316323598,0.656
126,0.5958319592475891,0.6675
127,0.6886514570315679,0.6215
128,0.6380557618538538,0.646
129,0.5879481512308121,0.6765
130,0.6108416002988816,0.69
131,0.626408731341362,0.6525
132,0.6382386008898417,0.6635
133,0.6671377062797547,0.615
134,0.5884136859575907,0.6855
