Step,Train Loss,Test Accuracy
0,4.606074145634969,0.0
1,4.493048270543416,0.0505
2,3.6876775964101154,0.1
3,3.5392247025171915,0.1
4,3.0542686986923218,0.101
5,3.0521363735198976,0.1
6,3.115439009666443,0.059
7,3.808349952697754,0.1
8,3.852596879800161,0.057
9,3.5341649198532106,0.05
10,3.3990233143170676,0.0555
11,3.3104384318987528,0.099
12,3.435523148377736,0.05
13,3.5629864366849264,0.122
14,3.4870382197697958,0.1
15,3.5722466858228046,0.105
16,3.6691663241386414,0.1035
17,3.5479461693763734,0.1005
18,3.39961931626002,0.101
19,3.3411512025197347,0.101
20,3.554238851070404,0.0995
21,3.6070300459861757,0.1005
22,3.6706306592623394,0.1005
23,3.77738476673762,0.1
24,3.782423464457194,0.1015
25,3.740502791404724,0.1015
26,3.5585439078013104,0.101
27,3.658712329864502,0.107
28,3.526759287516276,0.0925
29,3.6958309825261435,0.103
30,3.6629483040173847,0.0745
31,3.9242736943562826,0.1005
32,3.665392829577128,0.1
33,3.5834728558858235,0.0995
34,3.4821679989496865,0.1015
35,3.628468471368154,0.102
36,3.553102486928304,0.11
37,3.84531263033549,0.0995
38,3.8194083825747174,0.1035
39,3.9760246515274047,0.1015
40,3.583184538682302,0.0985
41,3.5767742514610292,0.0995
42,3.468067131837209,0.0655
43,3.7500437919298806,0.0995
44,3.6212390955289204,0.08
45,3.562439791361491,0.1055
46,3.4899960446357725,0.091
47,3.98137807448705,0.085
48,3.8103214820226032,0.101
49,3.7137977282206216,0.1
50,3.303030687967936,0.101
51,3.2280632559458415,0.102
52,3.340981453259786,0.101
53,3.854729130268097,0.099
54,4.004667897224426,0.1025
55,3.9752447533607485,0.1025
56,3.8179950149854025,0.1
57,3.4443336780865987,0.1005
58,3.431603684425354,0.1
59,3.6355532797177634,0.098
60,3.4546715998649598,0.106
61,3.726067767937978,0.101
62,3.9820960688591005,0.1115
63,4.019999901453654,0.102
64,3.59598863919576,0.0965
65,3.476845049858093,0.1015
66,3.4025736300150555,0.0905
67,3.4895793787638345,0.1035
68,3.619426589012146,0.087
69,4.009567674001058,0.094
70,3.8163350089391073,0.1005
71,3.5581791281700133,0.102
72,3.4465937193234764,0.1
73,3.441873948574066,0.109
74,3.420263525644938,0.1185
75,3.639037477970123,0.0825
76,3.6615922466913857,0.071
77,3.812728929519653,0.0895
78,3.6653078667322796,0.0925
79,3.29686372200648,0.0975
80,3.2829814410209655,0.1035
81,3.3838058082262674,0.076
82,3.5854672439893087,0.0995
83,3.83697216908137,0.1085
84,3.77903222322464,0.1135
85,3.3839845514297484,0.1065
86,3.5657096576690672,0.105
87,3.479451712767283,0.1035
88,3.5697321605682375,0.1215
89,3.3314892784754435,0.1425
90,3.3437692801157635,0.121
91,3.4293096756935117,0.1155
92,3.532335081100464,0.1185
93,3.567831184864044,0.094
94,3.7073328789075215,0.1025
95,3.646284879843394,0.101
96,3.4426419615745543,0.082
97,3.2560585570335387,0.1185
98,3.283897627989451,0.1065
99,3.392990766366323,0.075
100,3.588374863465627,0.1045
101,3.2937716619173685,0.067
102,3.5460310514767963,0.1065
103,3.342442930539449,0.0615
104,3.20303338209788,0.11
105,3.165648463567098,0.0615
106,3.289777159690857,0.1265
107,3.3994983943303425,0.065
108,3.757405610084534,0.13
109,3.411204778353373,0.06
110,3.2058777300516765,0.123
111,2.938693744341532,0.0945
112,3.177152273654938,0.1085
113,3.1839291048049927,0.0655
114,3.269745292663574,0.1195
115,3.3212188498179116,0.1505
116,3.243286909262339,0.105
117,3.467652193705241,0.1445
118,3.3564282417297364,0.093
119,3.309734512170156,0.1065
120,3.408987052440643,0.1
121,3.495930914878845,0.1185
122,3.6024509318669637,0.0825
123,3.382712303797404,0.1055
124,3.3287459031740823,0.098
125,3.317368694146474,0.0995
126,3.3655416615804037,0.1055
127,3.281351133187612,0.1215
128,3.3299173069000245,0.1075
