Step,Train Loss,Test Accuracy
0,4.606074145634969,0.0
1,4.60363753636678,0.0015
2,4.600343904495239,0.0375
3,4.595870641072591,0.084
4,4.589200878143311,0.104
5,4.577712812423706,0.1
6,4.556591866811116,0.1
7,4.516802876790365,0.1
8,4.439851710001627,0.1
9,4.302687692642212,0.1
10,4.086167370478313,0.1
11,3.81225422223409,0.1
12,3.5743885676066083,0.1
13,3.413435066541036,0.1
14,3.2860309219360353,0.1
15,3.1823932711283365,0.1
16,3.1098756138483683,0.102
17,3.0499593750635783,0.106
18,3.000922810236613,0.103
19,2.9697454007466635,0.105
20,2.950136071840922,0.1
21,2.933331158955892,0.116
22,2.9180483436584472,0.106
23,2.9047695541381837,0.106
24,2.897015096346537,0.1285
25,2.8903123474121095,0.124
26,2.8828065983454385,0.131
27,2.874541433652242,0.121
28,2.86926012357076,0.1235
29,2.868528677622477,0.119
30,2.8606781800587973,0.131
31,2.8583711210886635,0.1315
32,2.8525593137741088,0.134
33,2.8499283981323242,0.128
34,2.8451320139567056,0.1335
35,2.8397302500406902,0.1425
36,2.8369073136647542,0.1345
37,2.8309179592132567,0.1475
38,2.8305407762527466,0.124
39,2.8311995108922323,0.138
40,2.821271915435791,0.139
41,2.8229933039347332,0.1485
42,2.821609295209249,0.1375
43,2.8171865860621135,0.142
44,2.814731074968974,0.14
45,2.8076540072758993,0.1445
46,2.8121431064605713,0.156
47,2.8058784929911296,0.158
48,2.807637825012207,0.1425
49,2.803827775319417,0.1485
50,2.8042944780985515,0.152
51,2.80242688814799,0.15
52,2.797314356168111,0.16
53,2.801481909751892,0.1465
54,2.801146467526754,0.1565
55,2.790326148668925,0.16
56,2.7884312709172567,0.16
57,2.7855652523040773,0.1565
58,2.791456074714661,0.1585
59,2.7906150420506797,0.139
60,2.802131017049154,0.139
61,2.7891150903701782,0.146
62,2.7949598344167073,0.143
63,2.8064363606770835,0.138
64,2.867072146733602,0.1175
65,2.9071689812342325,0.12
66,2.9495551872253416,0.109
67,2.951316868464152,0.114
68,3.002926743030548,0.109
69,2.9833001645406085,0.117
70,3.0860428635279336,0.1065
71,3.012435302734375,0.116
72,3.0290101758639016,0.11
73,3.0051128737131756,0.1155
74,3.064355883598328,0.1105
75,3.0407692249615987,0.1125
76,3.0644976433118183,0.113
77,3.051923518975576,0.1085
78,2.9166491731007893,0.122
79,2.849743129412333,0.1235
80,2.856053583621979,0.1195
81,2.88833907922109,0.1255
82,2.936620752811432,0.1135
83,2.987043240865072,0.12
84,3.073514256477356,0.111
85,3.132404922644297,0.1205
86,3.1507941198349,0.1135
87,3.194611748059591,0.115
88,3.2274351048469545,0.116
89,3.1708939933776854,0.131
90,3.1183798440297443,0.112
91,3.0069083897272746,0.1245
92,2.9941536013285317,0.117
93,3.00717244942983,0.1275
94,3.098304475148519,0.1145
95,3.1075973653793336,0.131
96,3.074131590525309,0.117
97,3.0879613375663757,0.1295
98,3.1358084710439047,0.111
99,3.173219281832377,0.124
100,3.1220091954867044,0.1145
101,3.1453346967697144,0.1265
102,3.1623450072606403,0.1095
103,3.1499071606000264,0.132
104,3.166245487531026,0.111
105,3.150877195994059,0.131
106,3.06030002673467,0.1095
107,3.077993797461192,0.1295
108,3.1008228476842246,0.113
109,3.1201316285133363,0.1275
110,3.1193467020988463,0.1125
111,3.1262418381373087,0.132
112,3.086633870601654,0.114
113,3.0341752004623412,0.133
114,3.1014746713638304,0.113
115,3.1190527335802716,0.1325
116,3.1946080883344012,0.1095
117,3.2729833992322286,0.125
118,3.255551749865214,0.1125
119,3.2399477235476177,0.1245
120,3.4182552973429363,0.1075
121,3.3813230872154234,0.119
122,3.2840792592366537,0.1095
123,3.2429814275105793,0.119
124,3.220287046432495,0.1115
125,3.137489298184713,0.122
126,2.9483705043792723,0.1175
127,2.8801755317052207,0.125
128,2.956160758336385,0.1135
129,2.9973720566431683,0.1185
130,3.134030730724335,0.1055
131,3.1801810042063394,0.114
132,3.2832776729265847,0.1055
133,3.3641980346043905,0.098
134,3.378660175005595,0.104
135,3.3013267676035563,0.112
136,3.463116849263509,0.104
137,3.202049106756846,0.1155
138,3.0264925106366474,0.1385
139,2.9853514631589255,0.109
140,3.085722645918528,0.1105
141,3.0947193344434103,0.111
142,3.2360406549771628,0.11
143,3.2669292839368183,0.113
144,3.3523566166559857,0.114
145,3.316842931906382,0.116
146,3.329769948323568,0.1135
147,3.135537580649058,0.1175
148,3.14731539328893,0.112
149,3.1166233746210734,0.112
150,3.1709917171796165,0.1145
151,3.170902835528056,0.1105
152,3.29105259180069,0.1135
153,3.274755039215088,0.1125
154,3.2317409125963845,0.1185
155,3.1805255683263143,0.111
156,3.240368804136912,0.118
157,3.204976178010305,0.104
158,3.3318317755063376,0.1135
159,3.3025868757565817,0.098
160,3.2876283311843872,0.123
161,2.9869143946965537,0.1105
162,2.962349904378255,0.1095
163,2.8800926462809247,0.122
164,2.909473671913147,0.116
165,2.9434733978907266,0.108
166,3.073589015007019,0.107
167,3.103743498325348,0.112
168,3.2674344221750897,0.109
169,3.25236337741216,0.11
170,3.3520051217079163,0.108
171,3.272826879819234,0.108
172,3.3318065746625263,0.1105
173,3.287511566480001,0.096
174,3.3354685457547504,0.1105
175,3.3124869600931803,0.1075
176,3.459192397594452,0.1065
177,3.3541790517171224,0.0905
178,3.2455687665939332,0.114
179,3.272761567433675,0.083
180,3.0906352337201435,0.113
181,3.0124980719884236,0.0985
182,3.1168434755007426,0.112
183,3.167929456233978,0.0945
184,3.2479497877756756,0.108
185,3.246493130524953,0.11
186,3.311324453353882,0.113
187,3.3218267067273457,0.0855
188,3.31997679233551,0.1095
189,3.1906147742271425,0.116
190,3.3042532205581665,0.109
191,3.117133917013804,0.108
192,3.058334302902222,0.1055
193,2.9542484720547995,0.112
194,3.0065609947840373,0.1065
195,3.0756809369723004,0.09
196,3.217494073708852,0.1025
197,3.2699196259180705,0.096
198,3.353621714115143,0.1045
199,3.3469869049390155,0.117
200,3.435949784119924,0.105
201,3.2709190535545347,0.1155
202,3.294712549050649,0.096
203,3.196964164574941,0.113
204,3.2383181707064312,0.107
205,3.2151615126927693,0.1005
206,3.3172745434443156,0.1075
207,3.315218472480774,0.0965
208,3.381183436711629,0.109
209,3.3613496740659077,0.1
210,3.475661627451579,0.114
211,3.4275755564371746,0.087
212,3.4338123099009197,0.115
213,3.3108157817522685,0.0945
214,3.3240724794069925,0.1125
215,3.227541040579478,0.0995
216,3.162092454433441,0.111
217,3.0537482674916587,0.092
218,2.912686694463094,0.132
219,2.8825679349899294,0.101
220,2.945982790788015,0.116
221,3.088236008485158,0.0945
222,3.1188435912132264,0.1205
223,3.3372303756078083,0.0875
224,3.486089455286662,0.1185
225,3.3520953845977783,0.0995
226,2.976432263056437,0.136
227,2.9820610737800597,0.094
228,2.986059821446737,0.1365
229,3.0536525011062623,0.102
230,3.1611101055145263,0.1275
231,3.3366607960065204,0.0985
232,3.3833334191640216,0.134
233,3.5114161308606464,0.096
234,3.3923523982365924,0.1255
235,3.476750344435374,0.1065
236,3.3262869866689044,0.1385
237,3.4874777372678123,0.1005
238,3.438253179391225,0.1205
239,3.4963079619407655,0.092
240,3.3729005098342895,0.1315
241,3.2959362030029298,0.094
242,3.100087145169576,0.1425
243,3.0268848244349162,0.09
244,3.028975124359131,0.1235
245,3.095587105751038,0.0995
246,3.2013144501050315,0.119
247,3.296664333343506,0.0905
248,3.3734799305597942,0.1135
249,3.4187572518984477,0.0895
250,3.442042602698008,0.114
251,3.3999010562896728,0.097
252,3.3746699102719626,0.118
253,3.4054765860239664,0.1045
254,3.5440946062405905,0.117
255,3.5547829500834145,0.093
256,3.5387035377820335,0.1195
257,3.379516948858897,0.1235
258,3.4705571873982746,0.1135
259,3.3994169449806213,0.137
260,3.392360500494639,0.114
261,3.364471431573232,0.1315
262,3.4329641326268514,0.1145
263,3.4243236263593038,0.1065
264,3.4365221190452577,0.1145
265,3.4170702544848126,0.1235
266,3.3879139606157938,0.1175
267,3.3442503070831298,0.1355
268,3.240200000603994,0.1165
269,3.0565903989473977,0.126
270,3.0371585114796957,0.119
271,2.9695426360766093,0.123
272,3.130465792020162,0.1135
273,3.1624790342648823,0.1115
274,3.2493598182996113,0.1195
275,3.2506499751408895,0.126
276,3.415727552572886,0.119
277,3.421472138563792,0.1105
278,3.481696619987488,0.12
279,3.4496353475252786,0.122
280,3.446243963241577,0.1185
281,3.393417426745097,0.112
282,3.408864982128143,0.12
283,3.3220699620246887,0.132
284,3.5483819969495136,0.1095
285,3.449422269662221,0.13
286,3.4519803436597187,0.118
287,3.3777370929718016,0.1205
288,3.461656841437022,0.112
289,3.447511672178904,0.108
290,3.4452823853492736,0.116
291,3.415682998498281,0.126
292,3.4456219466527305,0.1165
293,3.254955498377482,0.144
294,3.1250271558761598,0.1105
295,2.9408703994750978,0.1375
296,2.893276586532593,0.119
297,2.8966941595077516,0.1405
298,3.0874572873115538,0.11
299,3.1295886921882627,0.136
300,3.3320061326026917,0.115
301,3.3685500248273215,0.139
302,3.485268870194753,0.1185
303,3.4511846176783245,0.143
304,3.5930783851941426,0.1185
305,3.498863290945689,0.1315
306,3.5180808981259664,0.117
307,3.4363132095336915,0.1515
308,3.531335100332896,0.1215
309,3.5215597486495973,0.1335
310,3.6052145942052207,0.114
311,3.4655778932571413,0.143
312,3.5283794434865317,0.1205
313,3.4671379574139913,0.131
314,3.5181201839447023,0.1085
315,3.2647347275416054,0.145
316,3.2081548023223876,0.1205
317,3.263064986864726,0.142
318,3.4221958978970846,0.112
319,3.40105650583903,0.13
320,3.4577094411849973,0.11
321,3.406701847712199,0.146
322,3.4645473059018452,0.1155
323,3.4325477941830953,0.141
324,3.51862376610438,0.1165
325,3.4597616402308145,0.125
326,3.5034130581219993,0.1125
327,3.4448197984695437,0.1245
328,3.4293091034889223,0.115
329,3.329194136460622,0.122
330,3.3988414287567137,0.113
331,3.378399054209391,0.113
332,3.4900417502721153,0.1115
333,3.4009935736656187,0.1425
334,3.456406257947286,0.118
335,3.426171571413676,0.1455
336,3.4671558038393657,0.11
337,3.393858056863149,0.141
338,3.393441139062246,0.111
