Step,Train Loss,Test Accuracy
0,4.579902165730794,0.2275
1,4.57145702679952,0.2885
2,4.557102778752645,0.365
3,4.533072951634725,0.447
4,4.49039023399353,0.5205
5,4.411498546600342,0.533
6,4.265749066670736,0.5125
7,4.005370464324951,0.509
8,3.5715054639180503,0.54
9,2.930240651766459,0.527
10,2.1723875705401103,0.544
11,1.5520377556482952,0.529
12,1.1981212051709493,0.524
13,1.0637890672683716,0.542
14,1.0023215091228486,0.5465
15,0.9303001447518666,0.543
16,0.8844904883702596,0.549
17,0.8797985851764679,0.556
18,0.8537771272659301,0.578
19,0.8179081618785858,0.538
20,0.8142034598191579,0.555
21,0.8121249075730642,0.587
22,0.7979317124684652,0.583
23,0.778932139078776,0.59
24,0.7679959654808044,0.5645
25,0.7467506877581278,0.5885
26,0.7408195972442627,0.6315
27,0.7416331446170807,0.623
28,0.7218578763802846,0.581
29,0.7030223822593689,0.62
30,0.712263826529185,0.6045
31,0.726861187616984,0.6315
32,0.7232786178588867,0.591
33,0.7076734427611033,0.614
34,0.6910022175312043,0.608
35,0.6872996191183726,0.624
36,0.692097886800766,0.635
37,0.6945536120732625,0.612
38,0.6953709355990092,0.5875
39,0.6952556316057841,0.6
40,0.6680523333946864,0.6335
41,0.6617417248090108,0.61
42,0.6688037665685018,0.6205
43,0.6735260989268621,0.6165
44,0.6794782205422719,0.601
45,0.683724246819814,0.599
46,0.6810934404532115,0.6015
47,0.6769002787272136,0.615
48,0.6705810952186585,0.6165
49,0.6712655421098074,0.617
50,0.6665313605467479,0.63
51,0.6687846223513285,0.617
52,0.6543581644694011,0.6315
53,0.6376387323935827,0.629
54,0.6457214713096618,0.616
55,0.6593338831265767,0.612
56,0.6645680824915569,0.6165
57,0.6558701868851979,0.629
58,0.641461666226387,0.6165
59,0.6472136080265045,0.601
60,0.6282985601822535,0.647
61,0.6468343482414881,0.617
62,0.6523687400420507,0.6265
63,0.6605568857987721,0.618
64,0.6355662377675374,0.621
65,0.6374484624465306,0.633
66,0.6508575743436813,0.604
67,0.6683694698413213,0.618
68,0.6550252505143483,0.621
69,0.6438223721583685,0.6365
70,0.6640198475122452,0.6035
71,0.6369583545128504,0.626
72,0.636459488272667,0.6375
73,0.6445429255565007,0.634
74,0.6525424305597941,0.629
75,0.6427390684684118,0.6375
76,0.6776296158631643,0.5845
77,0.6242375719547272,0.6115
78,0.6096916023890178,0.6475
79,0.6119422223170599,0.651
80,0.6308170928557714,0.6355
81,0.6318398131926855,0.652
82,0.6484346290429434,0.6265
83,0.65488494515419,0.616
84,0.6439713569482167,0.631
85,0.648194655974706,0.629
86,0.6475463805596033,0.6335
87,0.6559037633736928,0.6235
88,0.6734516088167827,0.6175
89,0.663477797905604,0.5975
90,0.6336063271760941,0.633
91,0.6196334685881932,0.656
92,0.6471848607063293,0.621
93,0.643938349088033,0.648
94,0.6692767413457235,0.6185
95,0.6604463656743368,0.6385
96,0.6657516835133235,0.63
97,0.6539803153276443,0.6445
98,0.6567052298784256,0.6475
99,0.6496219871441523,0.639
100,0.644519511461258,0.6505
101,0.6582130491733551,0.635
102,0.648812535405159,0.6385
103,0.6473077497879665,0.648
104,0.6659722123543421,0.6235
105,0.6234396441777548,0.6475
106,0.6514830076694489,0.6435
107,0.6442959310611089,0.646
108,0.6808532843987147,0.6175
109,0.6536189446846644,0.642
110,0.6433477677901586,0.65
111,0.6498837862412135,0.645
112,0.6239725464582443,0.6575
113,0.6457979635397593,0.638
114,0.6334250597159068,0.6495
115,0.6325915068387985,0.6645
116,0.6532060515880584,0.6455
117,0.6714388312896092,0.633
118,0.6652175954977672,0.6235
119,0.6760296177864075,0.6185
120,0.6675605553388596,0.6345
121,0.6633928620815277,0.635
122,0.6575068575143814,0.6365
123,0.6463269213835399,0.6305
124,0.6173914311329524,0.642
125,0.622639286518097,0.6395
126,0.6097949588298798,0.667
127,0.6252494166294734,0.6485
128,0.6303922659158707,0.6705
129,0.6346213058630625,0.6475
