Step,Train Loss,Test Accuracy
0,6.896864668528239,0.0
1,6.88616345193651,0.0
2,6.873852554957072,0.0055
3,6.858986520767212,0.0235
4,6.8395607656902735,0.0515
5,6.81244092517429,0.057
6,6.770333207978142,0.0635
7,6.695293773545159,0.056
8,6.52683486673567,0.05
9,5.939118173387316,0.05
10,4.556051960256364,0.05
11,3.7050924208429126,0.05
12,3.376901231871711,0.0705
13,3.2529389103253683,0.0565
14,3.2176985210842557,0.0715
15,3.180277409818437,0.0705
16,3.1512639456325107,0.0715
17,3.1366955836613974,0.089
18,3.1153598520490857,0.081
19,3.103403617276086,0.073
20,3.0907490068011816,0.093
21,3.0764417476124235,0.1215
22,3.0640246020423043,0.1175
23,3.046680786874559,0.1175
24,3.0345270302560596,0.119
25,3.0202974292967055,0.1065
26,3.0007796658409966,0.12
27,2.994309879673852,0.1115
28,2.9806282771958243,0.134
29,2.9662917282846237,0.1145
30,2.9558523919847275,0.123
31,2.9480014814270867,0.1395
32,2.9348747505082025,0.142
33,2.924708443217807,0.1455
34,2.9152014705869886,0.14
35,2.901128265592787,0.1555
36,2.895345805750953,0.155
37,2.8872927109400432,0.154
38,2.8784188628196716,0.1585
39,2.8705403235223557,0.1405
40,2.8595888548427157,0.1475
41,2.8550615694787767,0.154
42,2.853510496351454,0.1535
43,2.8491933994823033,0.148
44,2.8424932320912677,0.146
45,2.8383692807621426,0.1495
46,2.829281191031138,0.15
47,2.8242007666163973,0.1465
48,2.820223179128435,0.1535
49,2.8134193738301594,0.148
50,2.8064490185843574,0.169
51,2.8041482223404777,0.148
52,2.800465154647827,0.1575
53,2.790669792228275,0.1555
54,2.786920064025455,0.16
55,2.7852188454733953,0.1595
56,2.7829106357362536,0.1645
57,2.779354351096683,0.1545
58,2.7747921466827394,0.1615
59,2.7727731386820476,0.151
60,2.7641552302572463,0.1575
61,2.7612391855981615,0.1595
62,2.75786352025138,0.1555
63,2.7554750310050116,0.162
64,2.747763870822059,0.157
65,2.750213771396213,0.162
66,2.744049213992225,0.16
67,2.743578318754832,0.159
68,2.739869177341461,0.162
69,2.736041271686554,0.1715
70,2.734407345453898,0.1635
71,2.727204149299198,0.1725
72,2.726319948832194,0.167
73,2.7223895125918918,0.1705
74,2.720955406294929,0.178
75,2.7143598318099977,0.169
76,2.715398359298706,0.17
77,2.710582768917084,0.1705
78,2.710576037565867,0.158
79,2.7028140597873263,0.1805
80,2.701477433575524,0.1715
81,2.696680928601159,0.1685
82,2.6936711351076763,0.1725
83,2.6901938279469806,0.1735
84,2.6874085611767238,0.183
85,2.6811407883961995,0.176
86,2.6794988221592373,0.1835
87,2.676624131202698,0.181
88,2.676363470819261,0.1855
89,2.676287353038788,0.184
90,2.670222025447422,0.1825
91,2.668319429291619,0.1825
92,2.665559028254615,0.182
93,2.6635463409953646,0.184
94,2.6631723999977113,0.1895
95,2.657894191477034,0.193
96,2.6552400443289015,0.1895
97,2.654950886302524,0.189
98,2.6551123526361256,0.186
99,2.6491294145584106,0.185
100,11.834980291790432,0.0
101,8.365299778514439,0.0
102,6.547363008393182,0.0
103,5.327810645103455,0.0
104,4.479994135432773,0.0
105,3.947925958368513,0.042
106,3.643560834725698,0.0605
107,3.458030528492398,0.0725
108,3.3452398631307814,0.081
109,3.2610862029923333,0.088
110,3.193945278061761,0.0895
111,3.1621492438846164,0.1
112,3.1156930459870233,0.109
113,3.0911546919080948,0.115
114,3.070167667335934,0.1175
115,3.040299063258701,0.116
116,3.023979349931081,0.1155
117,3.0032849656211007,0.1135
118,2.9914120501942105,0.1175
119,2.9859208544095357,0.1095
120,2.9731430980894302,0.116
121,2.9604780316352843,0.1115
122,2.9426999423238964,0.11
123,2.9338443769348994,0.114
124,2.9286512745751274,0.109
125,2.922333906756507,0.123
126,2.920520861943563,0.121
127,2.9160262756877477,0.1175
128,2.899269918600718,0.124
129,2.8943826185332404,0.1315
130,2.8862649387783472,0.1295
131,2.881632516119215,0.13
132,2.873298766877916,0.1275
133,2.8664973431163365,0.121
134,2.8650735086864896,0.1285
135,2.8624393118752374,0.123
136,2.8635644727283056,0.1285
137,2.8552895228068036,0.126
138,2.852115657594469,0.1345
139,2.8458319505055747,0.126
140,2.8435568173726398,0.139
141,2.838424221674601,0.1405
142,2.840288054943085,0.1395
143,2.838048215707143,0.1395
144,2.8327439970440333,0.1425
145,2.828141997920142,0.1345
146,2.8278867496384517,0.14
147,2.8249688188234967,0.1325
148,2.8184132403797575,0.14
149,2.8146216723654005,0.1415
150,2.8083909458584255,0.14
151,2.8081505291991764,0.133
152,2.8078929715686374,0.131
153,2.8042493012216356,0.143
154,2.8006290409300063,0.143
155,2.800429641538196,0.1405
156,2.7977774255805548,0.146
157,2.7978793329662746,0.1435
158,2.794716184006797,0.145
159,2.794464635186725,0.137
