Step,Train Loss,Test Accuracy
0,6.7920495006773205,0.5105
1,6.770392166243659,0.517
2,6.741077383359273,0.5275
3,6.698623622788324,0.5435
4,6.63256885740492,0.5405
5,6.519184433089363,0.5425
6,6.293049234814114,0.529
7,5.713347752888997,0.5085
8,3.3369605428642695,0.5245
9,0.780785419874721,0.548
10,0.7705006738503773,0.526
11,0.8297731359799703,0.53
12,1.0952722486522464,0.501
13,0.9681177135970858,0.507
14,0.995286066002316,0.5
15,0.8135278162029055,0.528
16,1.1212084975507524,0.502
17,0.9795224997732375,0.5275
18,0.8837637172804939,0.505
19,0.9257890098624759,0.5005
20,0.8895376159085168,0.5325
21,0.9313158296876484,0.5195
22,0.8471033116181691,0.5215
23,0.8815798335605197,0.5315
24,0.894085456762049,0.572
25,0.7696010725365745,0.575
26,0.9295515618390507,0.534
27,0.9302888037429915,0.555
28,0.7486509695649147,0.572
29,0.8996264012323485,0.549
30,0.7661566343572405,0.6125
31,0.7560120809409353,0.5935
32,0.7779934167861938,0.6035
33,0.8124648908774058,0.591
34,0.7335922087232272,0.636
35,0.7273891740375095,0.613
36,0.8293098944756719,0.5945
37,0.6912754378385014,0.627
38,0.7698063068091869,0.5945
39,0.7537015760938327,0.6125
40,0.7210550216337045,0.636
41,0.6656756670938597,0.6665
42,0.7305968850851059,0.6255
43,0.6330134078860283,0.6955
44,0.7084534881015618,0.6595
45,0.6419061270025042,0.6705
46,0.6784155561692184,0.644
47,0.6683240824275547,0.6725
48,0.7488034256630474,0.6405
49,0.6028155521386199,0.682
50,0.7185979300075107,0.633
51,0.671821083376805,0.6635
52,0.7245946544739935,0.667
53,0.680947346571419,0.6765
54,0.7136642252405484,0.652
55,0.6162812240421772,0.683
56,0.7181427092187934,0.657
57,0.6085296399891377,0.683
58,0.7227410207192103,0.672
59,0.6276761202348603,0.685
60,0.6548739297522439,0.6655
61,0.6495672602620389,0.689
62,0.7324592722786798,0.654
63,0.5747493123842611,0.6985
64,0.6899654999375343,0.6655
65,0.6389705311093066,0.686
66,0.6195984319680267,0.7055
67,0.6050976098411613,0.7145
68,0.6998143682877223,0.669
69,0.6587006401684549,0.679
70,0.5963778699437777,0.7135
71,0.6649531349539757,0.688
72,0.594108085334301,0.71
73,0.6546775466865964,0.669
74,0.5994896263711982,0.6975
75,0.642538273251719,0.71
76,0.6079808238479826,0.715
77,0.6425033276279767,0.6875
78,0.6663478059901131,0.6895
79,0.6178888024555312,0.7075
80,0.6135157011449337,0.707
81,0.5775932338502672,0.701
82,0.6008713784317176,0.715
83,0.5536363519728184,0.7175
84,0.5909208937651581,0.7015
85,0.5695490135086907,0.719
86,0.5924000853465663,0.7025
87,0.6300704578558604,0.7025
88,0.5679704575075044,0.732
89,0.6244287322792742,0.702
90,0.5902239888078636,0.709
91,0.5451440616614289,0.72
92,0.5775203831493855,0.733
93,0.5884522010882696,0.707
94,0.5572846074899037,0.7325
95,0.6070625344912212,0.706
96,0.669786378989617,0.691
97,0.6590438202023506,0.686
98,0.6037622618178526,0.6955
99,0.5350737382968267,0.7295
100,0.8662400661243332,0.5245
101,0.799422015912003,0.574
102,0.7283803433179855,0.5705
103,0.8674629934959941,0.55
104,0.9214314618044429,0.555
105,0.9722695676816835,0.5355
106,1.0275150143437914,0.516
107,0.9975907302565045,0.509
108,0.8924476658304532,0.528
109,1.0030255468355285,0.543
110,0.9002193937699,0.5555
111,0.8958665930562549,0.575
112,0.893617110616631,0.5535
113,0.840700072215663,0.5675
114,0.8579689835508665,0.569
115,0.8506025761365891,0.5585
116,0.8933432994617356,0.545
117,0.9409275064865749,0.5375
118,0.825641299949752,0.57
119,0.8190081934134166,0.5855
120,0.8608855519029829,0.5485
121,0.8025960798064867,0.59
122,0.7597832593652937,0.588
123,0.9199143866697947,0.5905
124,0.7858640437324842,0.588
125,0.8548970573478275,0.558
126,0.8477453705337312,0.5535
127,0.8275787832008468,0.5675
128,0.7184134352538321,0.6215
129,0.7332185890939501,0.606
130,0.7343361240294245,0.595
131,0.742587068842517,0.6085
132,0.8746564984321594,0.582
133,0.8662435127629174,0.565
134,0.8611188785069519,0.573
135,0.7620310743649801,0.611
136,0.8061249003642135,0.5775
137,0.7716813594102859,0.6055
138,0.7954548170169194,0.5795
139,0.8065678937567605,0.561
140,0.7928743814428647,0.5705
141,0.6981101802653736,0.599
142,0.8309715312388208,0.5865
143,0.8678735989663336,0.593
144,0.8038107353780005,0.5775
145,0.7564084079530504,0.5995
146,0.709713028702471,0.62
147,0.7296544020374616,0.6215
148,0.659351374871201,0.633
149,0.7503311288025644,0.609
150,0.7388907262020641,0.6115
151,0.6736127921276622,0.63
152,0.7862281420164638,0.5965
153,0.6752326705389553,0.624
154,0.7897896841168404,0.604
155,0.7153550733294752,0.6045
156,0.7139462779793474,0.6295
157,0.8340100742048687,0.6035
158,0.7223219386405415,0.6135
159,0.710037200152874,0.5875
160,0.7529281563229031,0.6105
161,0.6617582302954462,0.6395
162,0.7909741145041254,0.604
163,0.6415631475547949,0.651
164,0.7533670423759354,0.6135
165,0.8083570778369904,0.608
166,0.7473452124330733,0.617
167,0.7213184901409679,0.6255
168,0.7029986685348881,0.619
169,0.6451030390957991,0.6465
170,0.7162521932688024,0.6195
171,0.8169096820884281,0.5965
172,0.8500270704428355,0.6225
173,0.6519875940349367,0.633
174,0.7977333592043983,0.5905
175,0.7240645147032208,0.6145
176,0.7527122086120976,0.6245
177,0.6637611966994074,0.643
178,0.7421439649330245,0.637
179,0.6884802328215704,0.637
