Step,Train Loss,Test Accuracy
0,6.926055317454868,0.0
1,6.16118273999956,0.1
2,5.211022779676649,0.1
3,4.567893437544504,0.098
4,4.190612154536777,0.099
5,3.8967121760050456,0.094
6,3.69329651594162,0.096
7,3.5241873330540128,0.1
8,3.4240806380907696,0.1
9,3.3300596475601196,0.098
10,3.262059728304545,0.105
11,3.2034574508666993,0.104
12,3.1530754804611205,0.1
13,3.1250052452087402,0.119
14,3.071724077065786,0.12
15,3.0576226578818426,0.106
16,3.051252994272444,0.115
17,3.012722769048479,0.12
18,2.9932585914929706,0.123
19,2.965852449999915,0.122
20,2.94888397720125,0.1195
21,2.9315292888217503,0.12
22,2.9181710759798687,0.11
23,2.9268260373009576,0.124
24,2.910370185640123,0.1245
25,2.8917268368932936,0.127
26,2.895609145694309,0.125
27,2.873384690284729,0.1305
28,2.848518357012007,0.1195
29,2.8536972204844155,0.1195
30,2.8481583290629917,0.1195
31,2.8370710637834335,0.129
32,2.819837579462263,0.136
33,2.8094930820994906,0.1355
34,2.8082688993877833,0.1535
35,2.794858474201626,0.1485
36,2.7906919638315837,0.139
37,2.796640478240119,0.1415
38,2.7804185483190746,0.151
39,2.780988513098823,0.15
40,2.768433454301622,0.144
41,2.764980849954817,0.146
42,2.7565040535397,0.1445
43,2.757112341456943,0.1455
44,2.7654984500673083,0.1465
45,2.747386634349823,0.148
46,2.7444900459713404,0.1525
47,2.7322220815552605,0.151
48,2.731939601898193,0.164
49,2.7230242358313665,0.1705
50,2.7233694328202143,0.157
51,2.71396584643258,0.156
52,2.7117052091492546,0.1575
53,2.7163026928901672,0.1645
54,2.7083218799697026,0.171
55,2.702205393049452,0.181
56,2.698343727323744,0.168
57,2.6872771673732334,0.173
58,2.6975764009687637,0.179
59,2.683189558982849,0.173
60,2.6772206558121576,0.1755
61,2.6741687761412725,0.186
62,2.6699311243163213,0.181
63,2.672912813557519,0.1815
64,2.66120259364446,0.1795
65,2.66825907362832,0.178
66,2.662973565525479,0.187
67,2.672144679228465,0.185
68,2.666249003675249,0.175
69,2.6606766316625805,0.1835
70,2.6560051798820496,0.1815
71,2.6631703337033588,0.1845
72,2.6470827288097807,0.193
73,2.6478610343403286,0.1915
74,2.6441673225826685,0.199
75,2.6380306839942933,0.198
76,2.6273932271533544,0.1905
77,2.6298412044843036,0.197
78,2.624883348411984,0.193
79,2.635708018143972,0.1965
80,2.632241137822469,0.206
81,2.621931391292148,0.2065
82,2.6272015372912088,0.205
83,2.6198113918304444,0.21
84,2.623361523946126,0.206
85,2.611607672108544,0.207
86,2.6077138993475173,0.21
87,2.609532884756724,0.2145
88,2.6169156710306805,0.2095
89,2.6120473053720263,0.2185
90,2.6029200063811406,0.2195
91,2.6097491502761843,0.2195
92,2.5999747382269964,0.212
93,2.5985874705844454,0.217
94,2.5920200235313837,0.2125
95,2.595243713590834,0.2095
96,2.60536259147856,0.2185
97,2.592949726846483,0.23
98,2.5948705209626093,0.214
99,2.5847683562172783,0.2135
100,2.5836086485120986,0.221
101,2.5918438500828214,0.2235
102,2.593491905265384,0.222
103,2.59453759988149,0.223
104,2.5878209908803305,0.224
105,2.577504742145538,0.2285
106,2.579312111271752,0.2235
107,2.5728484524620905,0.2245
108,2.5734979457325404,0.23
109,2.575231186548869,0.224
110,2.5751239670647514,0.2235
111,2.568905336327023,0.225
