Step,Train Loss,Test Accuracy
0,0.9950887514485254,0.5105
1,1.0638023164537218,0.5
2,1.0387005024486118,0.504
3,1.0515099104907777,0.5075
4,1.0017759114503861,0.512
5,1.0619797673490312,0.515
6,1.2389624602264828,0.502
7,1.1146742539273369,0.5265
8,1.1470273203319974,0.5065
9,0.8871604522069295,0.563
10,0.940903702378273,0.5105
11,1.1176341758833992,0.515
12,0.93165782392025,0.5015
13,0.9467677281962501,0.5435
14,1.0315254797538123,0.54
15,0.9162689159313838,0.5215
16,1.0074011484781902,0.519
17,0.8804960976044337,0.5325
18,0.8618853784269757,0.557
19,0.806321668293741,0.5945
20,0.9121596958902147,0.591
21,0.7948489261998071,0.585
22,0.9294326096773148,0.528
23,0.8815454012817807,0.5505
24,0.8192529102166494,0.5865
25,0.7835192585984866,0.5805
26,0.8636776622798708,0.547
27,0.8703651997778151,0.588
28,0.8822070913182365,0.547
29,0.7472177088260651,0.597
30,0.7683661073446274,0.5915
31,0.8484187291728126,0.5475
32,0.8223193080888854,0.616
33,0.8948980314864052,0.559
34,0.7589644364184803,0.646
35,0.7031138454874356,0.6265
36,0.8023157387971878,0.607
37,0.7342273053195741,0.631
38,0.794436075952318,0.61
39,0.7244440171453688,0.6125
40,0.6969672900107172,0.6395
41,0.8129768422908253,0.599
42,0.6975049547023243,0.677
43,0.814312444627285,0.5755
44,0.7692765866716703,0.5865
45,0.7721585987342728,0.5855
46,0.6830012450615565,0.6445
47,0.8134883627295494,0.6055
48,0.7458778104848331,0.6025
49,0.7260574721627765,0.6285
50,0.738830186592208,0.602
51,0.9029043753941853,0.5475
52,0.697840864956379,0.6605
53,0.7134389804469214,0.6455
54,0.8139860408173667,0.606
55,0.6713808074593544,0.633
56,0.6774995042218103,0.659
57,0.7180954191419814,0.657
58,0.8064841447605027,0.6655
59,0.7572748723957273,0.622
60,0.7309342154198223,0.6155
61,0.7096749408377542,0.6565
62,0.7110022738575935,0.652
63,0.7755935351053874,0.572
64,0.7439078142245611,0.622
65,0.7177043373386065,0.6425
66,0.7841222908761766,0.614
67,0.6909742558995883,0.672
68,0.7138890047868093,0.6575
69,0.6990013531512684,0.6365
