Step,Train Loss,Test Accuracy
0,6.925086845291985,0.0
1,6.17716011206309,0.1
2,5.240019909540812,0.1
3,4.626109068923526,0.1
4,4.201600547631582,0.105
5,3.9456039667129517,0.099
6,3.700212370024787,0.101
7,3.543927608595954,0.104
8,3.4180010782347785,0.107
9,3.328148439195421,0.105
10,3.2487718886799284,0.118
11,3.211940761407216,0.113
12,3.169825436009301,0.122
13,3.1122580130894977,0.111
14,3.0837004939715067,0.118
15,3.073826861381531,0.121
16,3.026613281832801,0.121
17,3.0005998492240904,0.122
18,2.9647184901767307,0.121
19,2.9592021306355796,0.122
20,2.922278169790904,0.1225
21,2.92042100959354,0.1185
22,2.897216517395443,0.1255
23,2.8914739277627732,0.1255
24,2.8819000760714215,0.1235
25,2.850300625960032,0.1255
26,2.8506251215934753,0.1275
27,2.8252558377054005,0.1375
28,2.8155779441197715,0.1305
29,2.805277954207526,0.1345
30,2.8074827988942466,0.1315
31,2.8012232290373906,0.1355
32,2.7856904824574786,0.137
33,2.771366074350145,0.137
34,2.7695994324154323,0.157
35,2.754842480023702,0.1465
36,2.7531467848353914,0.146
37,2.7558574411604138,0.14
38,2.739832703272502,0.1555
39,2.7330484920077853,0.156
40,2.7227679279115464,0.1565
41,2.7185255765914915,0.158
42,2.710694079928928,0.174
43,2.7179065585136413,0.171
44,2.6966764913664925,0.1825
45,2.7033339036835566,0.176
46,2.6889004429181416,0.176
47,2.689343889554342,0.1745
48,2.6713998807801143,0.1675
49,2.661274246374766,0.1805
50,2.6686937159962123,0.1885
51,2.664371155367957,0.197
52,2.642589437961578,0.1995
53,2.6521345178286233,0.1855
54,2.6419850680563184,0.1845
55,2.641414047612084,0.198
56,2.6371650867991976,0.1985
57,2.6309352146254645,0.197
58,2.6340808298852707,0.1905
59,2.626305807961358,0.196
60,2.620603024959564,0.2025
61,2.617033983601464,0.2015
62,2.617189027203454,0.207
63,2.6197462492518957,0.203
64,2.6198386788368224,0.204
65,2.60965715514289,0.202
66,2.608821115228865,0.202
67,2.605851340293884,0.213
68,2.6065492153167726,0.204
69,2.60049835840861,0.2065
70,2.597309618526035,0.2055
71,2.594106027815077,0.208
72,2.5795353876219855,0.208
73,2.5770456976360743,0.2085
74,2.578698710600535,0.22
75,2.5798623826768665,0.218
76,2.5778402421209545,0.214
77,2.575342220730252,0.2115
78,2.5792198605007597,0.214
79,2.5809409658114117,0.213
80,2.56682096057468,0.2105
81,2.561798405647278,0.2145
82,2.5590796139505176,0.2165
83,2.549447872903612,0.2235
84,2.5530484358469647,0.222
85,2.544537145561642,0.2265
86,2.5546684781710307,0.226
87,2.5449789457850986,0.2275
88,2.5470611691474914,0.221
89,2.5406858285268146,0.221
90,2.5359586344824896,0.2285
91,2.539200990729862,0.2305
92,2.5322462995847066,0.231
93,2.5395578583081564,0.228
94,2.536444158024258,0.231
95,2.5341177701950075,0.2265
96,2.5333502994643315,0.229
97,2.5407981150680117,0.222
98,2.5298470351431104,0.2365
