Step,Train Loss,Test Accuracy
0,0.9784674945804808,0.5025
1,0.9484596037202411,0.5555
2,1.1414554758204354,0.506
3,1.35386610991425,0.5
4,1.0631690190898047,0.501
5,0.9590922113921907,0.525
6,1.085260295205646,0.4995
7,1.04880107972357,0.5165
8,0.9326881524589327,0.51
9,1.0193204906251696,0.541
10,0.9633306682109832,0.5145
11,1.0061168465349408,0.5185
12,0.9547957771354252,0.507
13,0.8905171248647902,0.53
14,0.9161632210016251,0.524
15,0.9210307909382714,0.5305
16,0.8003621455695894,0.5625
17,0.8379411909315321,0.5335
18,0.8417463554276361,0.53
19,0.8684884783294465,0.5345
20,0.7878086504009035,0.573
21,0.8177339919739299,0.5685
22,0.8608975624044736,0.5695
23,0.7947536912229326,0.5725
24,0.7244515596164598,0.635
25,0.7845520584119691,0.6185
26,0.7803907660974396,0.599
27,0.7431686249044206,0.6025
28,0.7490834607018365,0.601
29,0.7155463947190179,0.647
30,0.7318181951840719,0.596
31,0.7791227239701483,0.59
32,0.7180949538946152,0.6585
33,0.819046680132548,0.604
34,0.7278233352634642,0.623
35,0.8222945877247386,0.6045
36,0.7380971963206927,0.6175
37,0.7546054436100854,0.6315
38,0.6782402265403006,0.638
39,0.7676274574465222,0.6225
40,0.6830975087152587,0.664
41,0.7371935261620416,0.6395
42,0.7097328108217981,0.6615
43,0.6405832385023434,0.6775
44,0.7266101910008325,0.6595
45,0.6756131490071614,0.648
46,0.6838612972034348,0.6235
47,0.7575452917151981,0.6195
48,0.7053322525488006,0.6395
49,0.6766299416621526,0.662
50,0.767198107805517,0.597
51,0.7205646110905541,0.6345
52,0.675735530588362,0.6485
53,0.6855285306771596,0.6555
54,0.7058515325188637,0.651
55,0.7278690265284644,0.646
56,0.6730424255132675,0.6505
57,0.7507418211963441,0.615
58,0.7030471866329511,0.643
59,0.7331431814365916,0.647
60,0.7045196786522865,0.6535
61,0.7544511733783617,0.6165
62,0.7226717922422621,0.6275
63,0.6312775201267666,0.6765
64,0.6433176640007231,0.659
65,0.6608601937691371,0.6835
66,0.6832430690526963,0.654
67,0.6289820576707522,0.689
68,0.7193909547395176,0.6165
69,0.6324285899599393,0.6655
70,0.6593715055121316,0.672
71,0.6443494745426708,0.6825
72,0.6149303179648188,0.667
73,0.6331345821420352,0.7085
74,0.6525596929921045,0.6715
75,0.617160537176662,0.682
76,0.6667883258726862,0.6655
77,0.6825001522898674,0.6495
78,0.6458162094155947,0.6675
79,0.6782562875085407,0.67
80,0.6568485205372174,0.669
81,0.6346291181113984,0.6835
82,0.6696322944429186,0.6755
83,0.6641705276237594,0.669
84,0.5799994957115915,0.707
85,0.7206868019368914,0.6645
86,0.6356971118185255,0.6815
87,0.6040230014257961,0.7005
88,0.6485526291860475,0.6975
89,0.6306343562073178,0.714
90,0.6103850800130103,0.682
91,0.6064217668440607,0.722
92,0.6219511994057232,0.7065
93,0.6811214955316649,0.7015
94,0.7155718851420615,0.6625
95,0.6554282552666134,0.6775
96,0.6307638073960941,0.6935
97,0.5786431261234813,0.6975
98,0.5885927774839931,0.7235
99,0.6338206133908696,0.6715
100,0.5624905415707164,0.724
101,0.5847608773244752,0.717
102,0.5989976346492767,0.7165
103,0.5502372341023551,0.7145
104,0.6193045968810718,0.713
105,0.5969215528832541,0.711
106,0.6630853922830687,0.645
107,0.5724051881167623,0.7105
108,0.6021112044652303,0.7
109,0.56810253030724,0.735
110,0.5896305625637372,0.7085
111,0.6354658444722493,0.7035
112,0.5812157839536667,0.7185
113,0.5756832619508108,0.71
114,0.5711365244454808,0.7135
115,0.5952857476141717,0.7135
116,0.6143414547046026,0.7215
117,0.5445848357346322,0.742
118,0.5837891552183363,0.707
119,0.6457509482900302,0.6705
120,0.5889119082027011,0.703
121,0.5792577296495438,0.7005
122,0.5455976419978672,0.7515
123,0.5612274583843019,0.7275
124,0.5309537478619152,0.7595
125,0.56263025270568,0.728
126,0.606454943617185,0.706
127,0.5970596157842212,0.6895
128,0.5522647046380573,0.7255
129,0.5669396004743046,0.7125
130,0.5436079901125696,0.736
131,0.5412709429032273,0.7385
132,0.5563606237371762,0.7155
133,0.5744141613443693,0.7135
134,0.5715298392706447,0.7285
135,0.5392387219601207,0.7515
136,0.5823541929324468,0.718
137,0.5394775767293242,0.7515
138,0.5807166477872265,0.707
139,0.556644349379672,0.72
140,0.5172622802356879,0.7575
141,0.5322497791714138,0.7445
142,0.5293338984251023,0.7605
143,0.5583917995293936,0.7285
144,0.5458497155043814,0.744
145,0.5648058926065763,0.7435
146,0.5017271757125854,0.7695
147,0.5907837591237493,0.7045
148,0.5894042718741629,0.7185
149,0.5394076169364982,0.732
150,0.5820789747767978,0.7295
151,0.5273836880922318,0.745
152,0.5453336111373371,0.734
153,0.5321953569849333,0.741
154,0.5826162447532018,0.709
155,0.5690612468454573,0.7275
156,0.61046158787277,0.702
157,0.5451739327775107,0.723
158,0.5479782367746036,0.7435
159,0.5724580469230811,0.731
160,0.539955531888538,0.751
161,0.5766628152794309,0.716
162,0.5637155170241992,0.725
163,0.6064957928326394,0.6985
164,0.503961921731631,0.7555
165,0.55960211025344,0.7165
166,0.5673686502708329,0.731
167,0.5622316153513061,0.7235
168,0.5000129588776164,0.7765
169,0.5824814786513647,0.692
170,0.5304977363182439,0.7375
171,0.5498685543735822,0.746
172,0.5906957371367348,0.715
173,0.5037167941530546,0.7635
174,0.551616325063838,0.717
175,0.5668907248311572,0.7315
176,0.530102247496446,0.7485
177,0.5381576382451587,0.7355
178,0.523701475891802,0.7555
179,0.5001294313205613,0.7745
180,0.542194994373454,0.7445
181,0.5139324095514085,0.7535
182,0.5369124978780746,0.7545
183,0.5297170730100738,0.7515
184,0.5447301839788755,0.7365
185,0.5154061019420624,0.757
186,0.5619098767638206,0.735
187,0.5179651439189911,0.748
188,0.5580924347043037,0.7235
189,0.5003125568230947,0.7695
190,0.5525981459352706,0.742
191,0.548964737355709,0.735
192,0.4936621540122562,0.7655
193,0.5375968732767635,0.735
194,0.5749884839687083,0.722
195,0.5269320206509696,0.754
196,0.5253630568583806,0.742
197,0.5213986325595114,0.754
198,0.6060874215430684,0.7195
199,0.5029243495729234,0.765
200,0.5474117338657379,0.7355
201,0.5366514703465832,0.7485
202,0.5145841962761349,0.7285
203,0.4883156634039349,0.769
204,0.5225341742237409,0.7365
205,0.5368132395048936,0.7285
206,0.5042588929335277,0.7585
207,0.5081195943057537,0.76
208,0.5220029299457868,0.747
209,0.5277400448918342,0.748
210,0.5034490856859419,0.768
211,0.47496657280458343,0.7825
212,0.5340027675032616,0.749
213,0.4720137578745683,0.792
214,0.5434940341446135,0.742
215,0.5223709173500538,0.74
216,0.49851946814192666,0.7605
217,0.5252709853980276,0.7515
218,0.4905722932683097,0.7545
219,0.49059445990456474,0.7675
220,0.596980221155617,0.709
221,0.49748604231410554,0.7545
222,0.5100056904885504,0.7485
223,0.5227353358434306,0.7425
224,0.490983573678467,0.769
225,0.5428489911887381,0.7555
226,0.5107916596863005,0.7375
227,0.4897458511922095,0.766
228,0.4900491826236248,0.7685
229,0.5084705149134,0.764
230,0.5630196197165384,0.712
231,0.49363619205024506,0.765
232,0.5060350219408671,0.756
233,0.4872455886668629,0.772
234,0.5223401785724693,0.7645
235,0.5287883559862773,0.748
236,0.4981277087496387,0.7615
237,0.5158423427078459,0.7685
238,0.503513341728184,0.7575
239,0.5225279670622613,0.749
240,0.48710518818762566,0.7745
241,0.5115781954593128,0.7425
242,0.5427702850765652,0.7295
243,0.497103756500615,0.7735
244,0.5064691611462169,0.7535
245,0.48309454636441335,0.7815
246,0.47927688832084336,0.7745
247,0.4913265612390306,0.7675
248,0.48541305934389434,0.767
249,0.5216381021671825,0.7535
250,0.48540775287482474,0.776
251,0.486848679681619,0.7585
252,0.49657886458767786,0.7455
253,0.4642768285340733,0.7835
254,0.461640206972758,0.8005
255,0.5158012641800774,0.7495
256,0.5202189031574461,0.747
257,0.4966867633163929,0.7545
258,0.4613424742387401,0.787
259,0.47924526408314705,0.7855
260,0.4772323841022121,0.7635
261,0.4762101661827829,0.7875
262,0.49556613713502884,0.7625
263,0.49921119941605463,0.7595
264,0.48450337797403337,0.7725
265,0.4813940366109212,0.7665
266,0.47588851832681234,0.7765
267,0.5013463844027785,0.751
268,0.4745259539948569,0.78
269,0.506952090230253,0.7435
270,0.47521137280596626,0.7665
271,0.4848107610311773,0.763
272,0.46503238735927477,0.7925
273,0.4631546882291635,0.768
274,0.5342779763870769,0.744
275,0.4901405646569199,0.7655
276,0.49533364673455554,0.7645
277,0.5141562568644683,0.7535
278,0.47280654567811226,0.7745
279,0.4690564142333137,0.778
280,0.5656742968493038,0.72
281,0.4657858050531811,0.784
282,0.4903763770229287,0.7735
283,0.48069095197651124,0.7625
284,0.5342735278109709,0.745
285,0.48639290233453114,0.7655
286,0.4991498365998268,0.752
287,0.4725888564354844,0.77
288,0.49963001236319543,0.749
289,0.4993598115940889,0.7625
290,0.5104415444864168,0.745
291,0.4537556149893337,0.791
292,0.4707065941558944,0.776
293,0.4870269677705235,0.7505
294,0.4736861144502958,0.783
295,0.4656465507215924,0.788
296,0.4775285449292925,0.7625
297,0.44266258486443094,0.795
298,0.47482909990681543,0.7625
299,0.46450565904378893,0.7905
300,0.467808159854677,0.767
301,0.5031090507904689,0.757
302,0.4865512070556482,0.778
303,0.5235739389227496,0.7505
304,0.502024326639043,0.771
305,0.48675812201367485,0.757
306,0.47845592060022885,0.773
307,0.4601914457976818,0.789
308,0.4739353930784596,0.792
309,0.441580888380607,0.8005
310,0.4541678402158949,0.785
311,0.4526853108571635,0.793
312,0.5210882615711954,0.737
313,0.49556221779849796,0.7545
314,0.45566318556666374,0.787
315,0.45270159526003734,0.7915
316,0.5096815926333268,0.7585
317,0.4606370190779368,0.783
318,0.4688650257885456,0.778
319,0.4522782165971067,0.7945
320,0.47481197781032985,0.785
321,0.4908876213762495,0.778
322,0.5068693689174122,0.7685
323,0.4931454087297122,0.777
324,0.4735410448577669,0.774
325,0.5100312327345212,0.757
326,0.4689833644363615,0.7825
327,0.467234872861041,0.776
328,0.4466549845205413,0.7995
329,0.4414098365439309,0.7905
330,0.475281232347091,0.7685
331,0.4412836055788729,0.7935
332,0.4595570079982281,0.7805
333,0.46066246132055916,0.781
334,0.4592854127287865,0.7785
335,0.4384037464029259,0.7995
336,0.4741592299607065,0.783
337,0.4403850720160537,0.794
338,0.46652234055929714,0.7825
339,0.46131760535968674,0.7885
340,0.460829252584113,0.775
341,0.44779349168141686,0.78
342,0.458561073243618,0.7805
343,0.5028385021620326,0.7635
344,0.4618315674364567,0.7755
345,0.47288925424218176,0.7765
346,0.4692449514236715,0.774
347,0.43975840252306725,0.7995
348,0.4719019576907158,0.7715
349,0.47441412152515516,0.7725
350,0.45271467434035406,0.787
351,0.4573867787917455,0.7865
352,0.4859980904393726,0.768
353,0.46258078407910136,0.7775
354,0.4951173939638668,0.7465
355,0.4588908390038543,0.787
356,0.423504743228356,0.807
357,0.45989933295382396,0.7805
358,0.44987095561292434,0.784
359,0.45189718455076217,0.796
360,0.45436712230245274,0.779
361,0.4549603782594204,0.798
362,0.4685867692861292,0.7655
363,0.47662891729010476,0.7715
364,0.4528425614039103,0.791
365,0.46933087781071664,0.779
366,0.4581142538951503,0.7895
367,0.45271315574646,0.771
368,0.4512634389930301,0.787
369,0.4420787379973464,0.794
370,0.5051391217443678,0.767
371,0.44287122049265437,0.785
372,0.4698692462510533,0.772
373,0.45300511775745284,0.783
374,0.45462325852778224,0.7855
375,0.4468806252711349,0.7885
376,0.4400790728628635,0.793
377,0.42898165575332114,0.7935
378,0.4469232463174396,0.79
379,0.47450317781832485,0.758
380,0.4358575589954853,0.794
381,0.4600704765982098,0.7755
382,0.4920865346988042,0.7585
383,0.45012845289376047,0.8
384,0.4541084799501631,0.7755
385,0.4181265502340264,0.8045
386,0.47158955186605456,0.7815
387,0.4405700782106982,0.785
388,0.42836268693208696,0.806
389,0.42796118135253586,0.7975
390,0.4410659711394045,0.8
391,0.46048070962230364,0.768
392,0.41959671303629875,0.799
393,0.4799094029598766,0.784
394,0.45158327784803176,0.7805
395,0.4382838797238138,0.796
396,0.4297445432179504,0.792
397,0.4274089887738228,0.789
398,0.44295667807261146,0.791
399,0.4304217724336518,0.791
400,0.42594900810056263,0.8055
401,0.4292685511211554,0.7935
402,0.45622020206517644,0.7855
403,0.44270334227217567,0.7895
404,0.4525223741100894,0.7865
405,0.4415987376537588,0.7955
406,0.42840296063158245,0.793
407,0.4256138188143571,0.7925
408,0.4734962557752927,0.78
409,0.46865169944034685,0.7705
