Step,Train Loss,Test Accuracy
0,6.92534228430854,0.0
1,6.1756244685914785,0.099
2,5.243955779075622,0.1
3,4.614138412475586,0.1
4,4.230648028850555,0.099
5,3.902300218741099,0.096
6,3.6622547838422985,0.096
7,3.5426274286376107,0.098
8,3.4090047518412274,0.111
9,3.3506743285391067,0.1
10,3.245900563398997,0.105
11,3.215435959233178,0.107
12,3.154282734129164,0.117
13,3.1313010109795463,0.12
14,3.068657946586609,0.122
15,3.0462141195933023,0.123
16,3.013024718231625,0.115
17,2.9911819378534954,0.122
18,2.954424280590481,0.1185
19,2.92831478383806,0.1265
20,2.915717119640774,0.125
21,2.8967305037710402,0.1205
22,2.9009974506166247,0.1245
23,2.8696756349669563,0.1275
24,2.8388848582903545,0.1285
25,2.832929241657257,0.139
26,2.8275039421187507,0.1415
27,2.8129106733534073,0.1445
28,2.7997133334477744,0.1425
29,2.7937463323275247,0.146
30,2.7849733538097805,0.1505
31,2.7718582895067003,0.155
32,2.7674390660391914,0.147
33,2.753890902466244,0.152
34,2.7340137508180407,0.1635
35,2.741078311867184,0.16
36,2.725251399146186,0.161
37,2.7150748292605082,0.172
38,2.706610874334971,0.1705
39,2.703793266084459,0.1655
40,2.6903533233536616,0.1695
41,2.6907094332906936,0.182
42,2.6819396906428867,0.167
43,2.6757860660552977,0.167
44,2.6592209935188293,0.1755
45,2.6461784839630127,0.186
46,2.6499353104167516,0.1745
47,2.6455993360943264,0.1855
48,2.6324448532528346,0.1815
49,2.623460363017188,0.1925
50,2.623940944671631,0.1925
51,2.6169904867808023,0.1925
52,2.613648920589023,0.1925
53,2.6076800889439053,0.1895
54,2.5990032858318752,0.1995
55,2.6008658236927458,0.1925
56,2.5932824598418343,0.197
57,2.59112702343199,0.2045
58,2.593467965390947,0.1975
59,2.5855844153298273,0.2045
60,2.583285278744168,0.2015
61,2.5820489313867356,0.2005
62,2.5696178515752157,0.205
63,2.5689247409502665,0.2035
64,2.5715814405017428,0.2075
65,2.5614358094003467,0.2095
66,2.558269058333503,0.2095
67,2.557275484667884,0.212
68,2.55166838698917,0.207
69,2.550942207707299,0.216
70,2.5477582812309265,0.215
71,2.5391808059480456,0.2085
72,2.5344563868310717,0.219
73,2.5432646142111883,0.212
74,2.543217658996582,0.2165
75,2.5361778338750205,0.2225
76,2.5256592207484774,0.2235
77,2.5242478224966263,0.22
78,2.5156362016995746,0.2145
79,2.509580641322666,0.2285
80,2.5096901853879294,0.23
81,2.5095693469047546,0.229
82,2.50056627591451,0.2275
83,2.5005583471722073,0.2305
84,2.5058667063713074,0.2335
85,2.500101403395335,0.228
86,2.4899636970625982,0.229
87,2.4865197274419994,0.2265
88,2.4815833621554906,0.234
89,2.487332426177131,0.2325
90,2.488262797726525,0.236
91,2.4822451180881924,0.2285
92,2.47654756837421,0.2305
93,2.4689236177338496,0.2325
94,2.4658424801296657,0.2375
95,2.4668635931279925,0.2365
96,2.471624937322405,0.2405
97,2.4741164485613507,0.2295
98,2.459408676624298,0.242
99,2.458961069583893,0.2355
100,2.454985679520501,0.244
101,2.4595905436409846,0.237
102,2.457467563947042,0.243
103,2.4472709801461963,0.243
104,2.448753770192464,0.246
105,2.4479594621393415,0.243
106,2.4374492499563427,0.249
107,2.441584786441591,0.244
108,2.437503551112281,0.2445
109,2.4386557353867424,0.248
110,2.438716599676344,0.249
111,2.435263486703237,0.254
112,2.4350543624824947,0.243
113,2.4343153993288675,0.2465
114,2.435139657391442,0.253
115,2.4307557735178205,0.2455
116,2.423185728655921,0.2465
117,2.4232428630193072,0.2495
118,2.427591570880678,0.248
119,2.4256466388702393,0.25
120,2.416378417942259,0.2515
121,2.4164315819740296,0.257
122,2.418313849634594,0.255
123,2.409845056798723,0.2615
124,2.407466000980801,0.262
125,2.4066513783401913,0.2605
126,2.4094390008184643,0.262
127,2.405157549513711,0.26
128,2.3985955198605855,0.266
129,2.395206832885742,0.264
130,2.396473750140932,0.27
131,2.402762362692091,0.271
