Step,Train Loss,Test Accuracy
0,1.0516635007328456,0.5
1,1.087227044171757,0.514
2,0.9274366021156311,0.518
3,1.003246282868915,0.5
4,1.048347700966729,0.5245
5,1.1493228690491781,0.5
6,1.0654566917154524,0.5
7,1.0576903969049454,0.543
8,0.9242329945166906,0.5
9,0.9612680912017822,0.538
10,0.976989511317677,0.509
11,0.9369257532887989,0.5005
12,0.814385046892696,0.555
13,0.7810462425152461,0.6025
14,0.8934028269516097,0.5425
15,0.9396970265441471,0.556
16,0.8676497807105382,0.5505
17,1.0072456306881374,0.5585
18,0.7356142749389013,0.601
19,0.8334312129351827,0.5645
20,0.9162558456261952,0.5555
21,0.847686035434405,0.551
22,0.7991489327616161,0.573
23,0.7164702531364229,0.637
24,0.6853162710865338,0.631
25,0.7494277819991112,0.6295
26,0.7923059930404027,0.5685
27,0.7118105977773667,0.639
28,0.7771352810992135,0.5985
29,0.7606122952368525,0.611
30,0.69579300036033,0.6305
31,0.7330302655696869,0.6315
32,0.7812591175238291,0.5965
33,0.7568868688411183,0.608
34,0.7376372729738553,0.6225
35,0.6615816336539057,0.6635
36,0.8042614774571525,0.6155
37,0.728709127008915,0.6395
38,0.819614680773682,0.586
39,0.6058133630288972,0.705
40,0.7602873634960916,0.6205
41,0.6953361898660659,0.6345
42,0.6551379652486907,0.6585
43,0.710712173084418,0.629
44,0.6655933250983556,0.672
45,0.641857150859303,0.6645
46,0.6477985953291258,0.6735
47,0.675953602956401,0.652
48,0.6354010745882988,0.6675
49,0.7074720265136825,0.641
50,0.6858517352077697,0.668
51,0.6862597359551323,0.666
52,0.663206588725249,0.6735
53,0.7398543573088117,0.6335
54,0.6659064258138339,0.662
55,0.7228890068001217,0.6115
56,0.6623853166898092,0.6555
57,0.7325469992227025,0.637
58,0.686844302713871,0.656
59,0.6627248227596283,0.658
60,0.6324959933757782,0.6785
61,0.6403677066167196,0.655
62,0.5986446327633328,0.707
63,0.701757464143965,0.656
64,0.6920714812146292,0.67
65,0.7538530561659071,0.612
66,0.6228902065091663,0.6815
67,0.6184192672371864,0.7055
68,0.5805397803584734,0.6985
69,0.6437472196088897,0.6645
70,0.6714921543995539,0.669
71,0.6201607336600622,0.693
72,0.6347790213094817,0.683
73,0.5858137940367063,0.721
74,0.6292514332466655,0.6855
75,0.5812166170941458,0.715
76,0.6048359647393227,0.7115
77,0.629003726111518,0.6965
78,0.6157360621624522,0.6795
79,0.6062683044208421,0.714
80,0.640365430381563,0.6925
81,0.6090599273641905,0.694
82,0.5495244536134932,0.733
83,0.6758268040087488,0.6765
84,0.6143654339843326,0.6755
85,0.6290873237782054,0.678
86,0.5891506440109677,0.7
87,0.5759695400794347,0.709
88,0.6312129850188891,0.6615
89,0.6120438531041146,0.682
90,0.5523917673362626,0.7245
91,0.5928825065493584,0.711
92,0.5862345432241758,0.694
93,0.6939047447509236,0.6535
94,0.573441843688488,0.715
95,0.6299224086933666,0.673
96,0.5539555670486556,0.726
97,0.6397983660300572,0.68
98,0.5517806705501345,0.733
99,0.604855129453871,0.6855
100,0.583546194434166,0.7095
101,0.6183492985036638,0.7025
102,0.5728050526645448,0.7145
103,0.5612794276740816,0.7045
104,0.6259901424249014,0.676
105,0.5236038660009702,0.7365
106,0.5704256408744388,0.705
107,0.5603206607202689,0.713
108,0.5845569627152549,0.6995
109,0.5694410393635432,0.7115
110,0.5937893938687112,0.686
111,0.5743447396490309,0.712
112,0.5941109374165535,0.711
113,0.560086826980114,0.7165
114,0.5686305688487159,0.7045
115,0.5202730490101708,0.732
116,0.5253818069895109,0.7495
117,0.5124920871522691,0.7415
118,0.5391056482990583,0.724
119,0.5114048451185227,0.747
120,0.4926987965901693,0.756
121,0.5268374782469537,0.7355
122,0.5237301644351747,0.747
123,0.6338372093107966,0.688
124,0.5709864750504494,0.725
125,0.5434491159187422,0.7225
126,0.5626884516742494,0.732
127,0.5615723552803199,0.729
128,0.5276956544982062,0.7305
129,0.5418650229771932,0.7235
130,0.5300157370666663,0.7335
131,0.5143441849284702,0.7475
132,0.5259994356996484,0.748
133,0.5659285928640101,0.7205
134,0.646260582572884,0.6825
135,0.543092799352275,0.737
136,0.4949589275651508,0.764
137,0.5606573450896475,0.733
138,0.5709011607699924,0.705
139,0.5004649198717541,0.744
140,0.5101604503062036,0.756
141,0.521612603465716,0.748
142,0.5623644570509593,0.709
143,0.5206335235801008,0.743
144,0.4924025762412283,0.7515
145,0.5097429807815287,0.745
146,0.6179863779081238,0.685
147,0.5359446477558878,0.729
148,0.5073009554710654,0.746
149,0.5063212065233125,0.753
150,0.4926049654682477,0.753
151,0.5659922770327992,0.7215
152,0.5697053586443265,0.695
153,0.6257954365677304,0.703
154,0.4878587202893363,0.752
155,0.4898479400409593,0.7475
156,0.4887410027285417,0.7375
157,0.5047388000620736,0.746
158,0.5436078334020243,0.741
159,0.48600726806455186,0.7585
160,0.5429453973140982,0.71
161,0.49618475718630684,0.753
162,0.45706965451439224,0.7795
163,0.4810597073700693,0.765
164,0.5357449942164951,0.7315
165,0.5347303458385997,0.746
166,0.53874481982655,0.737
167,0.4874088250928455,0.769
168,0.48951830425196224,0.76
169,0.5191230234172609,0.7445
170,0.48870458263489935,0.7665
171,0.47181905516319805,0.7505
172,0.5109388498796357,0.7385
173,0.4873618902431594,0.7685
174,0.5416815060708258,0.722
175,0.4958254422578547,0.7425
176,0.5173248639537229,0.728
177,0.487647153933843,0.7635
178,0.5359689705901676,0.7445
179,0.4907701768808895,0.7565
180,0.48467923601468405,0.769
181,0.49369978457689284,0.7625
182,0.604793264137374,0.705
183,0.47596931308507917,0.773
184,0.5742441121074888,0.71
185,0.5287604720228248,0.741
186,0.47428907826542854,0.766
187,0.44859756761127045,0.7865
188,0.5043128256168631,0.74
189,0.4446796018216345,0.784
190,0.4758317866259151,0.7645
191,0.4854538725482093,0.748
192,0.4693485728568501,0.76
193,0.4844580556783411,0.772
194,0.48661318694551786,0.7665
195,0.5017988969054487,0.7485
196,0.48148845533529916,0.748
197,0.5422935417128933,0.718
198,0.5148707350922955,0.757
199,0.47478522062301637,0.76
200,0.48666156431039176,0.7425
201,0.45595563054084776,0.7725
202,0.46500847877727614,0.7695
203,0.4817775908443663,0.7705
204,0.4407466598682933,0.7905
205,0.48435260976354283,0.7475
206,0.4820915486249659,0.7655
207,0.5016844515999158,0.7575
208,0.4891200725403097,0.752
209,0.480389964994457,0.751
210,0.5052892958124479,0.739
211,0.45519649750656554,0.7785
212,0.46569328291548623,0.765
213,0.47330278240972096,0.7665
214,0.501831184162034,0.7355
215,0.49684670915206275,0.7485
216,0.44737564333611063,0.768
217,0.4861940416196982,0.7515
218,0.4908072912858592,0.7365
219,0.43554527279403477,0.787
220,0.47567860840095416,0.771
221,0.4449532360666328,0.7845
222,0.4582728165719244,0.767
223,0.46156128454539513,0.77
224,0.4550878681242466,0.7755
225,0.47283987767166563,0.7595
226,0.45543053481313917,0.7705
227,0.46608031251364285,0.76
228,0.48321740908755195,0.762
229,0.5205684622956647,0.7325
230,0.4503547234667672,0.791
231,0.4649883003698455,0.7745
232,0.43507322288221784,0.7815
233,0.44404530392752756,0.78
234,0.4632549900975492,0.7645
235,0.44702962785959244,0.7675
236,0.4284560381538338,0.787
237,0.4842196640041139,0.7575
238,0.4634748161666923,0.7645
239,0.4684534211125639,0.7545
240,0.46550428022940954,0.769
241,0.4352141283452511,0.7895
242,0.4919634182420042,0.757
243,0.4550779782235622,0.7665
244,0.4696858163509104,0.763
245,0.4554869603779581,0.7795
246,0.44592404671841196,0.7945
247,0.47679769951436257,0.7675
248,0.4326828858918614,0.7795
249,0.4335242859191365,0.791
250,0.4386394715971417,0.7815
251,0.44991137807567916,0.7785
252,0.4220353752374649,0.802
253,0.4830602064728737,0.7655
