Step,Train Loss,Test Accuracy
0,6.923782663875156,0.0
1,6.156000328063965,0.1
2,5.191698688930935,0.1
3,4.553785269790225,0.1
4,4.14788857433531,0.1
5,3.8576636725001867,0.102
6,3.67035321659512,0.098
7,3.522391731209225,0.099
8,3.399018368456099,0.095
9,3.335275876522064,0.098
10,3.2602319730652702,0.101
11,3.1831619368659125,0.103
12,3.1691696749793157,0.102
13,3.146049031946394,0.107
14,3.0873111923535665,0.111
15,3.067050732506646,0.109
16,3.0576084587309094,0.106
17,3.043855247232649,0.109
18,3.003638117843204,0.117
19,2.9974749803543093,0.119
20,2.9719764802190993,0.12
21,2.9443654987547134,0.1205
22,2.9253925999005634,0.128
23,2.9173168261845905,0.116
24,2.9184337152375117,0.118
25,2.904719478554196,0.1235
26,2.891610540284051,0.117
27,2.8766999390390184,0.1235
28,2.8735241611798603,0.123
29,2.855710306432512,0.1265
30,2.863570955064562,0.128
31,2.8614218301243253,0.126
32,2.8489500178231135,0.1285
33,2.8429285777939692,0.1215
34,2.837287877665626,0.1295
35,2.829079630639818,0.1385
36,2.819313894377814,0.1255
37,2.818344623512692,0.137
38,2.798949576748742,0.14
39,2.8047838356759813,0.139
40,2.7873994880252413,0.134
41,2.7934347457355924,0.156
42,2.797843884097205,0.1425
43,2.782574064201779,0.14
44,2.769020997153388,0.138
45,2.767912981245253,0.1465
46,2.7652455396122404,0.1395
47,2.7561519304911295,0.154
48,2.7529145691129897,0.1545
49,2.7508318410979378,0.157
50,2.7447689096132915,0.1475
51,2.741987040307787,0.1515
52,2.746402370929718,0.15
53,2.737425408098433,0.16
54,2.7342984755833943,0.1555
55,2.7232440537876554,0.157
56,2.720784004529317,0.1565
57,2.722945231861538,0.1635
58,2.722016145123376,0.169
59,2.7201083938280743,0.1755
60,2.713787669605679,0.172
61,2.7118124074406094,0.172
62,2.710207182831234,0.174
63,2.6981633610195583,0.1665
64,2.7086761011017693,0.174
65,2.69367645184199,0.1695
66,2.707514319154951,0.175
67,2.7044324583477444,0.1815
68,2.699410653114319,0.1765
69,2.690409415298038,0.189
70,2.6893983814451428,0.188
71,2.6954007731543648,0.1835
72,2.6894044319788617,0.183
73,2.6798951705296834,0.1845
74,2.6769052452511257,0.185
75,2.6805630816353694,0.1885
76,2.670321762561798,0.1965
77,2.6761143472459583,0.1865
78,2.668082720703549,0.19
79,2.6650030824873183,0.181
80,2.6696082883410983,0.1835
81,2.675874580277337,0.1805
82,2.668206912941403,0.1955
83,2.667867953247494,0.189
84,2.668791053030226,0.1935
85,2.6598066833284166,0.1905
86,2.6628005199962193,0.1875
87,2.6588104592429267,0.1975
88,2.651052485571967,0.1935
89,2.6469068487485248,0.2045
90,2.6524661435021293,0.2025
91,2.6493502259254456,0.1935
92,2.6514456907908124,0.1945
93,2.6442649443944295,0.198
94,2.6398188087675307,0.1995
95,2.6408795131577385,0.212
96,2.643636049164666,0.2045
97,2.6399959484736124,0.2095
98,2.641393858856625,0.2025
99,2.642427122592926,0.211
100,2.631206715106964,0.2025
101,2.6285630332099066,0.2055
102,2.639430406358507,0.199
103,2.6290720767445035,0.2055
104,2.631635750664605,0.2085
105,2.6314631938934325,0.213
106,2.633026361465454,0.2115
107,2.6276440434985693,0.2035
108,2.614618592792087,0.199
109,2.624415343337589,0.205
110,2.619120060073005,0.209
111,2.622579636838701,0.213
112,2.6263739003075495,0.21
113,2.6192100127538045,0.218
114,2.6206531034575566,0.2155
115,2.616264307498932,0.2185
116,2.6139658636516994,0.215
117,2.6197872903611925,0.218
