Step,Train Loss,Test Accuracy
0,0.9024226549598906,0.5455
1,1.0894542107979457,0.5
2,1.0756509059005313,0.501
3,1.1307551049523883,0.5005
4,1.2717326352993648,0.5005
5,1.2935889532168707,0.5
6,1.0968205041355557,0.5
7,1.0804227653476928,0.5
8,1.053630330827501,0.518
9,1.0945214211940766,0.5
10,1.0420131299230788,0.5245
11,0.8957048406203588,0.5215
12,0.8822698944144779,0.5225
13,0.8393398228618834,0.5485
14,0.9688006209002601,0.5575
15,0.9285925481054518,0.5335
16,0.921019188563029,0.5225
17,0.8446146802769767,0.533
18,0.9314631160762575,0.5465
19,0.8308433761199315,0.5635
20,0.7557458519935608,0.5775
21,0.8805460999409358,0.539
22,0.8075924075312084,0.5725
23,0.7630576567517386,0.6145
24,0.8401674601766799,0.57
25,0.9057543890343772,0.546
26,0.9768377704752816,0.506
27,0.7759182284275691,0.623
28,0.9278554462724262,0.605
29,0.7970546858178245,0.5795
30,0.7821255962053935,0.588
31,0.7383522995644145,0.58
32,0.9521306753158569,0.5385
33,0.9329091151555379,0.5345
34,0.8225080105993483,0.556
35,0.8198773894045088,0.5645
36,0.7242879201968511,0.5945
37,0.8218404135770268,0.588
38,0.7838365885946486,0.5835
39,0.7484100666311052,0.6405
40,0.7806403593884574,0.596
41,0.7276697069406509,0.6365
42,0.864442883266343,0.5445
43,0.7246399391028616,0.6255
44,0.7851131151119868,0.6355
45,0.7970653073655234,0.598
46,0.8315499860379431,0.579
47,0.7760398586591085,0.593
48,0.6947443352805244,0.6225
49,0.7405864409274525,0.67
50,0.7747816032833523,0.614
51,0.7547155153420236,0.6045
52,0.8330032014184527,0.575
53,0.6950364344649844,0.676
54,0.8388461611337132,0.623
55,0.8284738399916225,0.5715
56,0.6401063475343917,0.698
57,0.7233747144540151,0.6455
58,0.7248142495751381,0.6275
59,0.702052366733551,0.657
60,0.7472608198722204,0.621
61,0.708817270067003,0.624
62,0.7565481179290348,0.6235
63,0.7554106735520892,0.595
64,0.7619780109988319,0.5965
65,0.774494598309199,0.6045
66,0.8038674821456273,0.5895
67,0.691145831015375,0.6445
68,0.7516961076193386,0.601
69,0.6707326499952211,0.6645
70,0.6752672640813722,0.683
71,0.7579522156053119,0.605
72,0.6751081004738808,0.6515
73,0.7202205641402138,0.641
74,0.7201778057548734,0.6365
75,0.7642722209294637,0.6055
76,0.6892581144968669,0.6575
77,0.7899342791901695,0.644
78,0.7107197771469752,0.6185
79,0.6688859348495801,0.6555
80,0.7059887786706288,0.6235
81,0.7303515368037754,0.6295
82,0.7035800692107942,0.6605
83,0.7078483629557821,0.6905
84,0.6690181467268203,0.688
85,0.6719309253825082,0.6835
86,0.6485403903656536,0.663
87,0.6391959678795602,0.692
88,0.7098791099256939,0.644
89,0.6295666048924128,0.6835
90,0.6133730197946231,0.692
91,0.6296789177589946,0.6895
92,0.6042125817802217,0.6865
93,0.7570584923028946,0.6535
94,0.7210583112306065,0.664
95,0.6629434135225084,0.676
96,0.6678029431237115,0.6895
97,0.6247560953100523,0.6995
98,0.6530978148182233,0.686
99,0.6407798512114419,0.693
100,0.6611555127633942,0.6775
101,0.7173514318135049,0.654
102,0.6668906039661832,0.6745
103,0.6534432106547885,0.687
104,0.7052704403797786,0.6445
105,0.6042758309178882,0.7035
106,0.6659443302286996,0.667
107,0.6827119948135482,0.6545
108,0.6393110781908036,0.694
109,0.6723973121907976,0.6855
110,0.6214616619878345,0.697
111,0.6732248147328694,0.6935
112,0.6340594318177964,0.7025
113,0.6165527332160208,0.7205
114,0.6913790464401245,0.6655
115,0.6353117550412813,0.653
116,0.6826742576228247,0.6865
117,0.6574175089597702,0.7025
118,0.614313944346375,0.6955
119,0.6516851824190881,0.7185
120,0.6567690364188619,0.7045
121,0.6164586044020123,0.724
122,0.7038204813996951,0.648
123,0.6644245205654038,0.688
124,0.6270330503582955,0.671
125,0.6621241233415074,0.6805
126,0.6580464500519965,0.6385
127,0.6220419557558166,0.6885
128,0.620567463669512,0.7135
129,0.6370431194702785,0.697
130,0.6947757826911078,0.6645
131,0.6570462344421281,0.678
