Step,Train Loss,Test Accuracy
0,0.7067056912514899,0.794
1,4.326098742749956,0.244
2,4.372720332940419,0.228
3,3.672408570183648,0.317
4,3.0135793142848546,0.392
5,2.5466447505686016,0.451
6,2.1268575138515895,0.499
7,1.8477009508344862,0.519
8,1.572139283352428,0.565
9,1.4318067524168225,0.585
10,1.247022251619233,0.614
11,1.1422144525580935,0.635
12,1.020055173503028,0.662
13,0.9409699499607086,0.686
14,0.8702274037732018,0.696
15,0.7850360790888469,0.715
16,0.745815043648084,0.729
17,0.7073111764258808,0.728
18,0.6440641860167186,0.747
19,0.6156365036964416,0.751
20,0.5681957220037778,0.775
21,0.5353735920455721,0.782
22,0.5087318683664004,0.781
23,0.4761914039651553,0.796
24,0.45721407540970377,0.791
25,0.4263164201544391,0.806
26,0.4001420873734686,0.806
27,0.38347875823577243,0.82
28,0.36114781598250073,0.825
29,0.345407625204987,0.83
30,0.32591683607962396,0.831
31,0.31449373364448546,0.833
32,0.3000704776909616,0.836
33,0.2947397779259417,0.843
34,0.27928160652518275,0.85
35,0.26695434343483715,0.852
36,0.25635286913149885,0.847
37,0.24295535186926523,0.855
38,0.23519299750526745,0.856
39,0.22543562634123696,0.859
40,0.21822247774236733,0.861
41,0.2044647093034453,0.87
42,0.2022616994463735,0.866
43,0.1880319583747122,0.872
44,0.18411294548875756,0.872
45,0.17494525201618671,0.878
46,0.1676252243005567,0.874
47,0.1616036966856983,0.881
48,0.15556442849338054,0.881
49,0.15466896175510353,0.887
50,0.14948880676594045,0.882
51,0.14314229326943556,0.889
52,0.13541872273716662,0.889
53,0.1315001368108723,0.894
54,0.12480295250813166,0.891
55,0.12603261114822495,0.891
56,0.11839487271176444,0.896
57,0.1144369987770915,0.897
58,0.1113664057933622,0.899
59,0.10653656787342496,0.894
60,0.10109255984425544,0.896
61,0.09839413060496251,0.897
62,0.09506689961999655,0.899
63,0.09294585912591881,0.902
64,0.09225276514059967,0.903
65,0.08645050177971522,0.906
66,0.08291953603426615,0.906
67,0.08147287565386957,0.909
68,0.0814265114772651,0.909
69,0.07989195378290283,0.908
70,0.07643936131563452,0.911
71,0.07176454769861366,0.911
72,0.07064430601894855,0.913
73,0.06871418410705196,0.914
74,0.06721115790100561,0.911
75,0.0645196908670995,0.911
76,0.06328061607976755,0.918
77,0.06180232878153523,0.914
78,0.0611018311439289,0.917
79,0.059558116768797235,0.914
80,0.05886468227124876,0.917
81,0.05567876422363851,0.914
82,0.05340171480137441,0.915
83,0.052147440736492474,0.914
84,0.050729603692889216,0.919
85,0.050525192378295794,0.919
86,0.048974720533523294,0.916
87,0.04789845094912582,0.92
88,0.046768566665964,0.924
89,0.04566401301158799,0.921
90,0.04517052289512422,0.922
91,0.04305474023438162,0.927
92,0.04218706503096554,0.923
93,0.04048358530013098,0.925
94,0.04028237483774622,0.93
95,0.037959693517122,0.926
96,0.037919961526576014,0.927
97,0.03697493617526359,0.929
98,0.03631009270126621,0.93
99,0.03624350703838799,0.927
100,0.03554424019530415,0.927
101,0.03365748350818952,0.933
102,0.03365658032190469,0.935
103,0.03226974587370124,0.928
104,0.031773304054513576,0.931
105,0.03132246180644466,0.932
106,0.03089227323523826,0.93
107,0.02954356044323908,0.932
108,0.028930836331306234,0.933
109,0.02893001839208106,0.933
110,0.027573137445789243,0.933
111,0.027198819904070762,0.931
112,0.02692748796608713,0.932
113,0.026481042398760715,0.934
114,0.026240930628652372,0.938
115,0.02596666655606694,0.933
116,0.024839834625729255,0.936
117,0.024706491336433423,0.941
118,0.024048054471818937,0.938
119,0.023631656588986517,0.937
120,0.022972320522078208,0.935
121,0.022545261525859436,0.937
122,0.02211204221368664,0.94
123,0.021560016367584468,0.94
124,0.021638803706607885,0.939
125,0.021124067819780774,0.94
126,0.021010191324684353,0.937
127,0.020495429262518884,0.94
128,0.019438448915671973,0.94
129,0.0192232148307893,0.943
130,0.01920297048572037,0.941
131,0.019466734330894218,0.944
132,0.018112114175326294,0.943
133,0.018441005951414506,0.944
134,0.01851360022297336,0.942
135,0.017968776589259505,0.94
136,0.017212718963209125,0.944
137,0.017012908837447563,0.944
138,0.016442468772745796,0.943
139,0.016514644419981375,0.94
140,0.016478253290471104,0.944
141,0.01602463603226675,0.947
142,0.01570911183953285,0.944
143,0.01592756929393444,0.945
144,0.015202328381646011,0.943
145,0.015017723245546222,0.946
146,0.015152032750969132,0.944
147,0.015271137639259299,0.941
148,0.014244283076065282,0.944
149,0.014298602234986094,0.942
150,0.014184497480487657,0.945
151,0.013686116205321418,0.945
152,0.013711036317464379,0.943
153,0.01357205320511841,0.948
154,0.013439545640721917,0.947
155,0.012963825766928495,0.946
156,0.013084831807969346,0.945
157,0.012831018197660644,0.944
158,0.012023666105233134,0.947
159,0.012029151641763746,0.944
160,0.01170903323735628,0.946
161,0.012348669216347237,0.945
162,0.011971292699066301,0.947
163,0.01174965499020699,0.947
164,0.011342707829963829,0.946
165,0.011147316322765416,0.947
166,0.010909920894644327,0.945
167,0.010936419073388808,0.948
168,0.01096372403877063,0.951
169,0.010646558061449065,0.949
170,0.010540218291700714,0.951
171,0.010293107479810715,0.951
172,0.010315290165858136,0.951
173,0.010211937046713299,0.946
174,0.00990961648316847,0.951
175,0.009817585662110813,0.95
176,0.010299960642846094,0.952
177,0.009822374106281333,0.953
178,0.009709712601680723,0.951
179,0.009515064680534932,0.953
180,0.009521395930399497,0.952
181,0.009404473379254341,0.949
182,0.009366683941334487,0.953
183,0.009041437033253412,0.95
184,0.0090181758808386,0.951
185,0.009080487862229347,0.949
186,0.008778870237680774,0.95
187,0.008635276667256322,0.951
