Step,Train Loss,Test Accuracy
0,6.976107573509216,0.001
1,5.786956249343024,0.103
2,4.812470714251201,0.134
3,4.238334912723965,0.142
4,3.8589499341117013,0.134
5,3.588096135192447,0.134
6,3.395749021901025,0.135
7,3.226670727464888,0.15
8,3.1098286271095277,0.154
9,3.0231454345915054,0.16
10,2.963168019718594,0.154
11,2.9034924401177302,0.159
12,2.842870189083947,0.164
13,2.8062200705210367,0.172
14,2.7789833492702907,0.177
15,2.753682812054952,0.178
16,2.7235776636335585,0.183
17,2.7068189554744295,0.182
18,2.689960375097063,0.186
19,2.6683422711160447,0.187
20,2.657074111037784,0.197
21,2.647934917608897,0.195
22,2.6379000571038986,0.187
23,2.626044664118025,0.193
24,2.621496068106757,0.192
25,2.6075003001425,0.196
26,2.601202283965217,0.2
27,2.5973311881224315,0.195
28,2.5918513549698723,0.19
29,2.587047462993198,0.196
30,2.5817763911353215,0.205
31,2.565321946144104,0.201
32,2.5646744820806715,0.203
33,2.5643476068973543,0.202
34,2.551966194311778,0.203
35,2.5487117025587294,0.204
36,2.551796739631229,0.212
37,2.536175238423877,0.19
38,2.5304738455348543,0.211
39,2.5309841917620766,0.197
40,2.524171425236596,0.211
41,2.5273636354340447,0.203
42,2.5254459698994953,0.206
43,2.522592865096198,0.212
44,2.513342026869456,0.212
45,2.5093522522184584,0.212
46,2.5053724322054123,0.214
47,2.498603585693571,0.221
48,2.4948633955584634,0.218
49,2.49389638238483,0.224
50,2.488777520921495,0.22
51,2.484485880533854,0.221
52,2.4829948604106904,0.221
53,2.4850552956263225,0.238
54,2.479276450475057,0.225
55,2.476459523042043,0.24
56,2.4669592963324654,0.233
57,2.464718961715698,0.23
