Step,Train Loss,Test Accuracy
0,6.909571165508694,0.0
1,5.8344795809851755,0.1
2,5.121391353342268,0.1
3,4.729986931218042,0.113
4,4.279607036378649,0.124
5,3.955355657471551,0.128
6,3.7222767949104307,0.14
7,3.578822374343872,0.14
8,3.3428193834092883,0.141
9,3.2016362402174208,0.164
10,3.1465491970380146,0.164
11,3.2223573128382363,0.182
12,3.020119211408827,0.178
13,2.9070372965600755,0.197
14,2.9093011127577886,0.217
15,2.8830770174662272,0.199
16,2.837259470091926,0.219
17,2.767322140269809,0.24
18,2.798283792866601,0.243
19,2.738396206167009,0.227
20,2.685439389281803,0.259
21,2.6826690634091697,0.265
22,2.625782338778178,0.26
23,2.607264313432905,0.279
24,2.5922924915949506,0.271
25,2.586046098338233,0.265
26,2.562272208266788,0.273
27,2.522473118040297,0.269
28,2.534539890289307,0.289
29,2.5064280033111572,0.287
30,2.483501215775808,0.294
31,2.478431971867879,0.302
32,2.4747374958462185,0.287
33,2.4416835135883757,0.297
34,2.447878122329712,0.309
35,2.425638724697961,0.307
36,2.425908727116055,0.309
37,2.41378862924046,0.319
38,2.391853247748481,0.312
39,2.3953225678867764,0.313
40,2.368325835466385,0.324
41,2.337476603852378,0.323
42,2.3455918709437054,0.324
43,2.347046505080329,0.324
44,2.3302158289485506,0.32
45,2.326669313510259,0.331
46,2.3041598836580914,0.329
47,2.296988116370307,0.322
48,2.3040965133243136,0.329
49,2.2928440034389497,0.329
50,2.2912836061583626,0.332
51,2.273751147588094,0.326
52,2.3031872689723967,0.338
53,2.2690511716736688,0.332
54,2.260626376999749,0.335
55,2.267052474949095,0.336
56,2.248687292469872,0.323
57,2.253610251347224,0.335
58,2.2315258549319372,0.335
59,2.2212126447094813,0.338
60,2.2223596890767414,0.336
61,2.2277298046482934,0.338
62,2.1985561443699733,0.347
63,2.1796409381760493,0.333
64,2.1711358189582826,0.338
65,2.1781639059384665,0.342
66,2.1901730550660026,0.343
67,2.1567859563562606,0.339
68,2.1787029259734685,0.338
69,2.1735092831982508,0.341
70,2.1666305979092915,0.335
71,2.15811011923684,0.341
72,2.1340532124042513,0.351
73,2.1498079942332375,0.341
74,2.1353551268577577,0.344
75,2.1220868819289738,0.346
76,2.097692248556349,0.351
77,2.1084722757339476,0.35
78,2.1103743851184844,0.343
79,2.103770377900865,0.351
80,2.0898609181245167,0.354
81,2.095821432934867,0.352
82,2.105845472547743,0.356
83,2.1093151523007285,0.345
84,2.082027377022637,0.364
85,2.0861381424797907,0.356
86,2.081267609198888,0.359
87,2.0548392607106103,0.369
88,2.058130229843987,0.365
89,2.0555774377452,0.366
90,2.0529772692256505,0.368
91,2.0344001074632008,0.369
92,2.0426925791634454,0.37
93,2.0333762639098696,0.368
94,2.0339888817734186,0.364
95,2.0208339671293896,0.366
96,2.0127110262711843,0.373
97,2.0301908353964486,0.38
98,2.020094966226154,0.368
99,2.0033342785305446,0.37
100,1.9961779958671995,0.381
101,1.9876400536961025,0.377
102,2.0126865453190272,0.374
103,1.9858073221312629,0.372
104,1.9812290926774343,0.373
105,1.9726669947306315,0.37
106,1.9725846575366126,0.371
107,1.9696512758731841,0.372
108,1.9675565428204007,0.371
109,1.964128507508172,0.377
110,1.9672547373506757,0.374
111,1.9304700685871972,0.368
