Step,Train Loss,Test Accuracy
0,0.9941209332810508,0.57
1,1.0510059499078326,0.574
2,0.9343651557962099,0.606
3,0.8985748835735851,0.581
4,0.7423339732819133,0.651
5,0.7978338360786438,0.628
6,0.8176868102616734,0.662
7,0.7314624513188998,0.67
8,0.752109050585164,0.639
9,0.8341630829705132,0.685
10,0.7923292890191078,0.669
11,0.6728664500845803,0.705
12,0.620958531068431,0.737
13,0.7081336961852179,0.67
14,0.7549397438764572,0.66
15,0.6161534702612295,0.682
16,0.6835952156119877,0.688
17,0.6181160612238779,0.683
18,0.645561475555102,0.674
19,0.6001155015495089,0.695
20,0.6186762235230869,0.689
21,0.5377149448626571,0.75
22,0.5757782078451581,0.739
23,0.6290611220730675,0.688
24,0.5844602796766493,0.72
25,0.5740989380412631,0.724
26,0.5752520711057716,0.739
27,0.5464113847249084,0.738
28,0.5226978903843297,0.726
29,0.48004338352216613,0.747
30,0.4844746261007256,0.768
31,0.555296217981312,0.734
32,0.4917371332645416,0.736
33,0.46945276773638195,0.769
34,0.4745766413708528,0.747
35,0.5185385117100345,0.745
36,0.5644212519956959,0.732
37,0.4623655723200904,0.767
38,0.4367133278813627,0.782
39,0.47465307596657014,0.738
40,0.44019408598542215,0.765
41,0.4460940827926,0.774
42,0.4612272644208537,0.738
43,0.5045860316190455,0.754
44,0.5013540601564779,0.745
45,0.45919227306213645,0.744
46,0.519674843053023,0.736
47,0.46752415315972434,0.771
48,0.5019601710140705,0.75
49,0.5561852022177644,0.718
50,0.4460225706299146,0.758
51,0.41662707469529575,0.777
52,0.43436376245485414,0.762
53,0.41325295062528716,0.792
54,0.45625676442351604,0.758
55,0.41495000355773504,0.769
56,0.472724296980434,0.756
57,0.4348617383175426,0.769
58,0.418573777584566,0.775
59,0.4057413631843196,0.782
60,0.4291799106531673,0.782
61,0.4066484853211376,0.772
62,0.48552754856646063,0.752
63,0.441618196417888,0.764
64,0.46009102745188607,0.787
65,0.4039646815508604,0.766
66,0.3929890359027518,0.773
67,0.43346385790242087,0.77
68,0.3856029224478536,0.765
69,0.4598970654937956,0.743
70,0.4353488685356246,0.753
71,0.3524951416171259,0.8
72,0.39837336473994783,0.771
73,0.40565551353825463,0.79
74,0.363894343500336,0.798
75,0.39630217370059756,0.778
76,0.34987867089609304,0.795
77,0.39447161484923626,0.771
78,0.42348647937178613,0.759
79,0.3460117728759845,0.795
80,0.35796221651964716,0.781
81,0.3746425058278773,0.785
82,0.41351962544851834,0.755
83,0.3690379354274935,0.787
84,0.3619064724693696,0.782
85,0.38361152489152217,0.776
86,0.39207300403051903,0.779
87,0.33427586286432215,0.782
88,0.3528964497148991,0.788
89,0.3173547623886002,0.804
90,0.35728315574427444,0.784
91,0.32382834644781217,0.811
92,0.32506780040760835,0.784
93,0.3137565615069535,0.8
94,0.3832019318723016,0.77
95,0.3629048587133487,0.778
96,0.38892161742680603,0.777
97,0.35563000498546493,0.784
98,0.35163525744444796,0.802
99,0.325680531685551,0.782
100,0.3626686097019248,0.777
101,0.32319364231079817,0.777
102,0.3221249514155918,0.802
103,0.44610688967837225,0.767
104,0.3213936407946878,0.783
105,0.3000752905590667,0.819
106,0.34690374462968776,0.792
107,0.2940512345896827,0.805
108,0.2814968862881263,0.809
109,0.4336818211608463,0.76
110,0.3290059334701962,0.784
111,0.2918922240949339,0.809
