Step,Train Loss,Test Accuracy
0,6.896864668528239,0.0
1,6.870326691203648,0.003
2,6.760928628179762,0.051
3,6.253861496183608,0.0475
4,5.490288260247972,0.042
5,4.7407707479265,0.05
6,4.196977444489797,0.05
7,3.8579364988538956,0.05
8,3.6447437392340767,0.05
9,3.518999906380971,0.0495
10,3.4392719255553352,0.058
11,3.375179676214854,0.062
12,3.3332502325375875,0.0735
13,3.2991388281186422,0.064
14,3.265647930569119,0.057
15,3.233646512031555,0.064
16,3.2105883849991694,0.062
17,3.186947445074717,0.0635
18,3.1617184731695387,0.0615
19,3.1447235809432135,0.0555
20,3.12478465769026,0.0625
21,3.1071462445788915,0.0625
22,3.0884758604897393,0.06
23,3.0706182294421724,0.06
24,3.050233895248837,0.0615
25,3.0325948119163515,0.0615
26,3.0180385973718433,0.0605
27,3.004966550403171,0.061
28,2.9909108956654866,0.0595
29,2.979180567794376,0.0605
30,2.9662686453925238,0.0585
31,2.954982617166307,0.0595
32,2.944816607899136,0.0635
33,2.9349882390764024,0.063
34,2.9265239384439257,0.062
35,2.916622002919515,0.067
36,2.906836465994517,0.0765
37,2.8990914954079523,0.077
38,2.88831545776791,0.0795
39,2.881331359015571,0.0815
40,2.8763609886169434,0.085
41,2.8700214160813227,0.0885
42,2.863811280992296,0.091
43,2.8569987522231206,0.0955
44,2.850490070713891,0.0975
45,2.844083782037099,0.099
46,2.8379005710283915,0.1055
47,2.8304150025049846,0.1025
48,2.8237967610359194,0.1085
49,2.815923635164897,0.11
50,2.8114466044637894,0.117
51,2.8034324685732526,0.12
52,2.797664037015703,0.124
53,2.7906571798854403,0.126
54,2.7876760416560704,0.132
55,2.781141298347049,0.1405
56,2.7731741693284775,0.1445
57,2.767316202322642,0.15
58,2.7623629689216616,0.156
59,2.758400967386034,0.1625
60,2.7541420698165893,0.167
61,2.7479122718175253,0.168
62,2.7454867747094895,0.1695
63,2.7397325078646344,0.1675
64,2.735190561082628,0.1725
65,2.7285251140594484,0.179
66,2.7254442241456776,0.1755
67,2.720936475859748,0.1805
68,2.714328486389584,0.1865
69,2.7115746802753873,0.1875
70,2.708886753188239,0.1835
71,2.702752986219194,0.184
72,2.6980731235610116,0.191
73,2.6967872619628905,0.1865
74,2.694007725185818,0.19
75,2.688549364937676,0.191
76,2.6863973736763,0.1945
77,2.6838167137569853,0.195
78,2.677932772371504,0.197
79,2.676743021276262,0.193
80,2.67182740105523,0.1915
81,2.6685635328292845,0.196
82,2.66622191535102,0.195
83,2.66494683292177,0.1985
84,2.658918997976515,0.1985
85,2.6578374558024938,0.199
86,2.6555042346318563,0.199
87,2.650002039803399,0.2015
88,2.6483305984073215,0.199
89,2.64534891711341,0.1995
90,2.6446671552128262,0.206
91,2.6395597802268136,0.2015
92,2.6404647548993427,0.201
93,2.6377182881037395,0.203
94,2.6355315022998385,0.202
95,2.632825375927819,0.204
96,2.629649057653215,0.208
97,2.6267125712500676,0.2065
98,2.6246359692679513,0.21
99,2.6249095572365655,0.209
100,11.201773240831162,0.0
101,8.981072070863512,0.0
102,7.522481719652812,0.0
103,6.470725223753187,0.0
104,5.659301175011529,0.0
105,5.03031034734514,0.0
106,4.553074273798201,0.0005
107,4.206677163971795,0.029
108,3.960128747092353,0.053
109,3.7678521434466044,0.07
110,3.6275126390986974,0.076
111,3.5159126228756374,0.079
112,3.4388700485229493,0.077
113,3.369773443539937,0.079
114,3.3163732012112934,0.0795
115,3.271656412548489,0.0825
116,3.232076888614231,0.0825
117,3.1906263099776373,0.0835
118,3.1630248520109387,0.084
119,3.134899850686391,0.0865
120,3.115639877319336,0.0875
121,3.092926992310418,0.0915
122,3.0792697509129843,0.094
123,3.057726720968882,0.1035
124,3.042431875069936,0.105
125,3.025574215253194,0.1025
126,3.012248848544227,0.1055
