Step,Train Loss,Test Accuracy
0,6.326269994841682,0.6005
1,4.152594559060203,0.5445
2,0.6830615388022528,0.6155
3,0.6620755732059479,0.5785
4,0.6644719845718807,0.6195
5,0.6636023339298036,0.631
6,0.7118621048000123,0.579
7,0.6745563050111135,0.602
8,0.7092844047480159,0.596
9,0.6605836831861072,0.6295
10,0.6950337914956941,0.5955
11,0.6581920531060961,0.6395
12,0.6654536798596382,0.625
13,0.6167945985164908,0.668
14,0.630789250963264,0.672
15,0.5937656511863073,0.6785
16,0.5979576676256126,0.6825
17,0.6601523055798477,0.6675
18,0.5597066529095173,0.7125
19,0.6451605268650584,0.6735
20,0.5955368752280871,0.677
21,0.5721470503343477,0.716
22,0.5646450024512079,0.696
23,0.7124941373036967,0.6545
24,0.5793093791438474,0.6965
25,0.565239433861441,0.7035
26,0.5739218046267828,0.707
27,0.527667064136929,0.726
28,0.5796038443843524,0.7025
29,0.5531705478827159,0.729
30,0.5298944790330198,0.722
31,0.5314086540705628,0.733
32,0.5987872986329926,0.7025
33,0.5380742395917575,0.7335
34,0.5397800742752022,0.7345
35,0.5378180844088395,0.7035
36,0.5349383598400487,0.731
37,0.558669759084781,0.705
38,0.5632591414782736,0.714
39,0.5783923998475075,0.7045
40,0.5999729125863976,0.691
41,0.5566202545331584,0.719
42,0.5617687001824379,0.724
43,0.5106985172463788,0.7395
44,0.5226361396412055,0.7275
45,0.5225292268726561,0.73
46,0.5505188873244656,0.723
47,0.5190454627904627,0.736
48,0.5079706582758162,0.7515
49,0.5062067512836721,0.744
50,0.568225357019239,0.722
51,0.5266108769509528,0.73
52,0.5547208551731374,0.7095
53,0.5099275165134006,0.747
54,0.5056445161501567,0.7505
55,0.5127604126930236,0.7415
56,0.5062551821271578,0.741
57,0.4780513292385472,0.7655
58,0.5139444541600016,0.7395
59,0.479963971922795,0.7565
60,0.46098911042014756,0.7785
61,0.4715831997493903,0.765
62,0.4783539831638336,0.763
63,0.4832767743203375,0.7525
64,0.47005497904287447,0.772
65,0.5121201185716523,0.7395
66,0.4923753057089117,0.757
67,0.5109947985245122,0.7395
68,0.44624897605843017,0.782
69,0.5253088783886698,0.7435
70,0.47465478910340203,0.7605
71,0.5072813158647882,0.749
72,0.4495907172560692,0.7855
73,0.4919855778415998,0.762
74,0.45379361278480956,0.7655
75,0.4804025763438808,0.755
76,0.4738620799448755,0.7575
77,0.4752495559553305,0.7745
78,0.5246082078251574,0.754
79,0.45750168363253274,0.7705
80,0.45863076431883704,0.7655
81,0.5443728557063474,0.7215
82,0.43644844740629196,0.793
83,0.4317312662800153,0.7835
84,0.4984609101381567,0.732
85,0.478848754035102,0.7555
86,0.4502731338971191,0.785
87,0.5030478071835306,0.7575
88,0.4830959522061878,0.769
89,0.450423300680187,0.7835
90,0.5095649641421106,0.7305
91,0.4799083683225844,0.7585
92,0.45486614613069426,0.7815
93,0.45500087257888583,0.775
94,0.49673211152354874,0.765
95,0.47146638188925055,0.7525
96,0.4435418431957563,0.789
97,0.47330920787321196,0.776
98,0.46391051568918756,0.7725
99,0.4663576556576623,0.761
100,0.6821002390649583,0.6205
101,0.6371832228369183,0.621
102,0.6314232910672823,0.649
103,0.7096557676792145,0.5945
104,0.6530216708779335,0.6185
105,0.6478677584065331,0.625
106,0.6431836057040426,0.635
107,0.656634484231472,0.638
108,0.6527150107754601,0.623
109,0.7781580353776614,0.6385
110,0.6651472260554632,0.6195
111,0.6753150827354855,0.617
112,0.6662868036164178,0.617
